scale,cor,Region
5,0.813,Brazil_all
5,0.957,Brazil_all
5,0.813,Brazil_all
5,0.813,Brazil_all
5,0.813,Brazil_all
5,0.813,Brazil_all
5,0.701,Brazil_all
5,0.701,Brazil_all
5,NA,Brazil_all
5,0.701,Brazil_all
5,0.873,Brazil_all
5,0.844,Brazil_all
5,0.819,Brazil_all
5,0.522,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,0.522,Brazil_all
5,0.601,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,-0.355,Brazil_all
5,-0.069,Brazil_all
5,0.522,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,-0.51,Brazil_all
5,-0.433,Brazil_all
5,-0.433,Brazil_all
5,0.056,Brazil_all
5,0.188,Brazil_all
5,0.265,Brazil_all
5,-0.041,Brazil_all
5,-0.056,Brazil_all
5,0.528,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,NA,Brazil_all
5,-0.604,Brazil_all
5,-0.792,Brazil_all
5,-0.381,Brazil_all
5,0.256,Brazil_all
5,0.744,Brazil_all
5,0.701,Brazil_all
5,0.265,Brazil_all
5,0.321,Brazil_all
10,0.798,Brazil_all
10,0.907,Brazil_all
10,0.899,Brazil_all
10,0.925,Brazil_all
10,0.813,Brazil_all
10,0.813,Brazil_all
10,0.522,Brazil_all
10,0.798,Brazil_all
10,NA,Brazil_all
10,0.701,Brazil_all
10,0.701,Brazil_all
10,0.798,Brazil_all
10,0.798,Brazil_all
10,0.406,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,0.522,Brazil_all
10,0.623,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,-0.528,Brazil_all
10,0.259,Brazil_all
10,0.701,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,-0.174,Brazil_all
10,-0.022,Brazil_all
10,0.43,Brazil_all
10,0.381,Brazil_all
10,0.644,Brazil_all
10,0.423,Brazil_all
10,0.614,Brazil_all
10,0.446,Brazil_all
10,0.899,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,NA,Brazil_all
10,-0.174,Brazil_all
10,-0.164,Brazil_all
10,0.032,Brazil_all
10,0.607,Brazil_all
10,0.635,Brazil_all
10,0.676,Brazil_all
10,0.69,Brazil_all
10,0.594,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,0.522,Brazil_all
20,NA,Brazil_all
20,0.522,Brazil_all
