"Ptt","Date","Latitude","Longitude","Quality","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation"
104833,2011-10-22 23:13:00,29.759,-85.385,"1",NA,NA,NA,NA
104833,2011-10-23 00:00:00,29.767,-85.383,"B",NA,NA,NA,NA
104833,2011-10-23 00:56:00,29.763,-85.378,"0",NA,NA,NA,NA
104833,2011-10-23 05:50:00,29.768,-85.353,"B",NA,NA,NA,NA
104833,2011-10-23 06:59:00,29.763,-85.38,"2",NA,NA,NA,NA
104833,2011-10-23 07:34:00,29.758,-85.386,"0",NA,NA,NA,NA
104833,2011-10-23 11:31:00,29.752,-85.386,"B",NA,NA,NA,NA
104833,2011-10-23 13:15:00,29.745,-85.372,"1",NA,NA,NA,NA
104833,2011-10-23 17:16:00,29.72,-85.343,"A",NA,NA,NA,NA
104833,2011-10-25 01:48:00,29.738,-85.379,"A",NA,NA,NA,NA
104833,2011-10-25 08:55:00,29.751,-85.376,"B",NA,NA,NA,NA
104833,2011-10-25 13:46:00,29.718,-85.305,"B",NA,NA,NA,NA
104833,2011-10-25 17:57:00,29.716,-85.325,"B",NA,NA,NA,NA
104833,2011-10-25 23:46:00,29.728,-85.463,"A",NA,NA,NA,NA
104833,2011-10-26 10:23:00,29.733,-85.385,"A",NA,NA,NA,NA
104833,2011-10-26 13:35:00,29.734,-85.375,"2",NA,NA,NA,NA
104833,2011-10-26 13:43:00,29.771,-85.475,"B",NA,NA,NA,NA
104833,2011-10-26 18:22:00,29.632,-85.461,"B",NA,NA,NA,NA
104833,2011-10-26 19:30:00,29.711,-85.361,"A",NA,NA,NA,NA
104833,2011-10-27 00:50:00,29.7,-85.46,"B",NA,NA,NA,NA
104833,2011-10-27 08:36:00,29.716,-85.373,"2",NA,NA,NA,NA
104833,2011-10-27 18:18:00,29.763,-85.319,"B",NA,NA,NA,NA
104833,2011-10-28 09:35:00,29.717,-85.373,"B",NA,NA,NA,NA
104833,2011-10-28 12:55:00,29.727,-85.38,"A",NA,NA,NA,NA
104833,2011-10-28 19:42:00,29.72,-85.371,"1",NA,NA,NA,NA
104833,2011-10-28 20:47:00,29.719,-85.376,"A",NA,NA,NA,NA
104833,2011-10-29 01:54:00,29.713,-85.392,"B",NA,NA,NA,NA
104833,2011-10-29 06:36:00,29.67,-85.318,"B",NA,NA,NA,NA
104833,2011-10-29 07:32:00,29.712,-85.404,"B",NA,NA,NA,NA
104833,2011-10-29 09:15:00,29.712,-85.381,"A",NA,NA,NA,NA
104833,2011-10-29 12:56:00,29.727,-85.377,"A",NA,NA,NA,NA
104833,2011-10-29 14:17:00,29.714,-85.415,"B",NA,NA,NA,NA
104833,2011-10-29 17:53:00,29.71,-85.39,"A",NA,NA,NA,NA
104833,2011-10-29 19:01:00,29.768,-85.355,"B",NA,NA,NA,NA
104833,2011-10-29 19:36:00,29.725,-85.37,"0",NA,NA,NA,NA
104833,2011-10-29 20:38:00,29.732,-85.361,"B",NA,NA,NA,NA
104833,2011-10-29 22:02:00,29.716,-85.306,"A",NA,NA,NA,NA
104833,2011-10-29 23:42:00,29.734,-85.374,"B",NA,NA,NA,NA
104833,2011-10-30 01:10:00,29.739,-85.368,"B",NA,NA,NA,NA
104833,2011-10-30 01:52:00,29.707,-85.411,"B",NA,NA,NA,NA
104833,2011-10-30 06:25:00,29.711,-85.315,"A",NA,NA,NA,NA
104833,2011-10-30 08:05:00,29.711,-85.33,"B",NA,NA,NA,NA
104833,2011-10-30 09:01:00,29.701,-85.341,"A",NA,NA,NA,NA
104833,2011-10-30 14:31:00,29.729,-85.201,"B",NA,NA,NA,NA
104833,2011-10-30 15:18:00,29.814,-85.547,"B",NA,NA,NA,NA
104833,2011-10-30 17:43:00,29.745,-85.381,"B",NA,NA,NA,NA
104833,2011-10-30 19:23:00,29.73,-85.368,"A",NA,NA,NA,NA
104833,2011-10-30 20:24:00,29.72,-85.361,"2",NA,NA,NA,NA
104833,2011-10-30 21:35:00,29.69,-85.262,"B",NA,NA,NA,NA
104833,2011-10-31 01:47:00,29.725,-85.354,"B",NA,NA,NA,NA
104833,2011-10-31 06:11:00,29.72,-85.365,"2",NA,NA,NA,NA
104833,2011-10-31 07:48:00,29.728,-85.378,"A",NA,NA,NA,NA
104833,2011-10-31 13:23:00,29.664,-85.633,"A",NA,NA,NA,NA
104833,2011-10-31 19:13:00,29.722,-85.376,"A",NA,NA,NA,NA
104833,2011-11-01 03:42:00,29.646,-85.511,"A",NA,NA,NA,NA
104833,2011-11-01 16:11:00,29.726,0,"A",NA,NA,NA,NA
104833,2011-11-01 17:22:00,29.733,-85.354,"B",NA,NA,NA,NA
104833,2011-11-01 20:02:00,29.729,-85.352,"B",NA,NA,NA,NA
104833,2011-11-01 20:49:00,29.727,-85.37,"A",NA,NA,NA,NA
104833,2011-11-01 22:25:00,29.777,-85.35,"B",NA,NA,NA,NA
104833,2011-11-02 05:51:00,29.724,-85.38,"B",NA,NA,NA,NA
104833,2011-11-02 13:49:00,29.72,-85.369,"1",NA,NA,NA,NA
104833,2011-11-02 14:09:00,29.72,-85.374,"A",NA,NA,NA,NA
104833,2011-11-02 14:20:00,29.727,-85.387,"A",NA,NA,NA,NA
104833,2011-11-02 22:10:00,29.741,-85.472,"A",NA,NA,NA,NA
104833,2011-11-03 08:20:00,28.981,-81.958,"1",NA,NA,NA,NA
104833,2011-11-03 21:23:00,29.77,-85.399,"B",NA,NA,NA,NA
104833,2011-11-04 08:53:00,29.701,-85.328,"B",NA,NA,NA,NA
