DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
161638,161638,UT,DS,2,0,0,31,31,12:15:12 09-Mar-2018,MB,,,,,,,,401650000,-132
161638,161638,UT,DS,4,0,0,40,30,12:59:57 09-Mar-2018,MA,2,-25.5779,-48.3578,-25.5779,-48.3578,50,,401677250,-125
161638,161638,UT,DS,10,2,1,,,11:10:55 10-Mar-2018,NN,2,-25.5822,-48.3524,-25.5822,-48.3524,50,,401677238,-129
161638,161638,UT,DS,10,3,1,,,12:41:21 10-Mar-2018,MA,3,-25.5804,-48.3545,-25.5804,-48.3545,58,,401677245,-121
161638,161638,UT,DS,1,0,0,,,06:33:32 11-Mar-2018,NP,B,-25.5689,-48.3503,-25.5689,-48.3503,,,401677238,-136
161638,161638,UT,DS,4,1,1,,,11:01:17 11-Mar-2018,NN,0,-25.5778,-48.3289,-25.5778,-48.3289,58,,401677242,-127
161638,161638,UT,DS,16,6,0,,,12:18:56 11-Mar-2018,MA,3,-25.5803,-48.3582,-25.5803,-48.3582,58,,401677250,-124
161638,161638,UT,DS,8,1,0,,,11:57:06 12-Mar-2018,MA,3,-25.5808,-48.3564,-25.5808,-48.3564,50,,401677247,-127
161638,161638,UT,DS,3,0,2,122,30,12:55:20 12-Mar-2018,MB,A,-25.5841,-48.3547,-25.5841,-48.3547,8,,401677245,-132
161638,161638,UT,DS,20,7,2,,,11:37:15 13-Mar-2018,MA,3,-25.5812,-48.3562,-25.5812,-48.3562,50,,401677240,-116
161638,161638,UT,DS,6,1,2,,,12:35:56 13-Mar-2018,MB,3,-25.5809,-48.3562,-25.5809,-48.3562,68,,401677242,-132
161638,161638,UT,DS,1,0,0,,,08:41:52 14-Mar-2018,SR,B,-25.5904,-48.3832,-25.5904,-48.3832,,,401677242,-132
161638,161638,UT,DS,10,1,0,,,11:13:45 14-Mar-2018,MA,3,-25.5817,-48.3577,-25.5817,-48.3577,58,,401677245,-123
161638,161638,UT,DS,10,2,1,,,12:11:57 14-Mar-2018,MB,3,-25.5812,-48.3549,-25.5812,-48.3549,58,,401677249,-127
161638,161638,UT,DS,5,0,0,99,30,12:53:52 14-Mar-2018,MA,3,-25.5829,-48.3546,-25.5829,-48.3546,58,,401677249,-127
161638,161638,UT,DS,3,0,3,76,31,11:56:23 15-Mar-2018,MB,A,-25.5905,-48.3406,-25.5905,-48.3406,,,401677249,-134
161638,161638,UT,DS,9,1,0,,,12:35:18 15-Mar-2018,MA,3,-25.5807,-48.3547,-25.5807,-48.3547,58,,401677249,-122
161638,161638,UT,DS,1,0,0,,,07:16:32 16-Mar-2018,NP,B,-25.5341,-48.4251,-25.5341,-48.4251,,,401677255,-133
161638,161638,UT,DS,12,2,1,,,12:12:34 16-Mar-2018,MA,3,-25.5806,-48.3585,-25.5806,-48.3585,58,,401677248,-122
161638,161638,UT,DS,16,4,0,,,11:55:37 17-Mar-2018,MA,3,-25.5806,-48.3571,-25.5806,-48.3571,50,,401677241,-121
161638,161638,UT,DS,2,0,0,30,30,12:55:29 17-Mar-2018,MB,B,-25.5775,-48.3582,-25.5775,-48.3582,8,,401677248,-132
161638,161638,UT,DS,6,1,1,,,11:34:16 18-Mar-2018,MA,1,-25.5790,-48.3568,,,50,,401677248,-127
161638,161638,UT,DS,5,0,1,76,30,12:29:34 18-Mar-2018,MB,1,-25.5688,-48.3583,-25.5688,-48.3583,58,,401677246,-135
161638,161638,UT,DS,1,0,0,,,08:07:09 19-Mar-2018,NK,B,-25.4555,-48.3817,-25.4555,-48.3817,,,401677245,-129
161638,161638,UT,DS,2,0,0,31,31,09:48:43 19-Mar-2018,NK,B,-25.4789,-48.3557,-25.4789,-48.3557,,,401677252,-121
161638,161638,UT,DS,1,0,0,,,11:14:22 19-Mar-2018,MA,B,-25.4726,-48.3568,-25.4726,-48.3568,8,,401677246,-124
161638,161638,UT,DS,3,0,1,263,31,19:11:21 19-Mar-2018,NP,A,-25.4869,-48.4445,-25.4869,-48.4445,8,,401677245,-124
161638,161638,UT,DS,1,0,0,,,01:11:05 20-Mar-2018,MA,B,-25.4699,-48.4647,-25.4699,-48.4647,8,,401677236,-131
161638,161638,UT,DS,1,0,0,,,08:08:36 20-Mar-2018,NP,B,-25.4882,-48.4497,-25.4882,-48.4497,8,,401677240,-136
161638,161638,UT,DS,1,0,0,,,09:15:41 20-Mar-2018,NN,B,-25.4859,-48.4502,-25.4859,-48.4502,8,,401677236,-133
161638,161638,UT,DS,1,0,0,,,09:26:55 20-Mar-2018,NK,B,-25.4833,-48.4579,-25.4833,-48.4579,8,,401677239,-124
161638,161638,UT,DS,1,0,0,,,20:35:46 20-Mar-2018,NP,B,-25.4874,-48.4675,-25.4874,-48.4675,8,,401677231,-128
161638,161638,UT,DS,2,0,0,30,30,21:41:15 20-Mar-2018,SR,B,-25.4864,-48.4346,-25.4864,-48.4346,8,,401677231,-129
161638,161638,UT,DS,2,0,0,30,30,21:41:30 20-Mar-2018,NN,B,-25.4852,-48.4282,-25.4852,-48.4282,6,,401677233,-133
161638,161638,UT,DS,1,0,0,,,23:18:15 20-Mar-2018,NN,B,-25.4815,-48.4180,-25.4815,-48.4180,8,,401677241,-128
161638,161638,UT,DS,2,0,1,51,51,06:12:48 21-Mar-2018,NP,B,-25.4845,-48.3948,-25.4845,-48.3948,8,,401677238,-124
161638,161638,UT,DS,1,0,0,,,08:58:55 21-Mar-2018,NK,B,-25.4848,-48.3860,-25.4848,-48.3860,8,,401677246,-130
161638,161638,UT,DS,1,0,0,,,10:01:46 21-Mar-2018,SR,B,-25.4699,-48.3894,-25.4699,-48.3894,8,,401677245,-126
161638,161638,UT,DS,1,0,0,,,10:39:03 21-Mar-2018,NN,B,-25.4831,-48.4008,-25.4831,-48.4008,,,401677253,-127
161638,161638,UT,DS,1,0,0,,,10:39:03 21-Mar-2018,NK,B,-25.4807,-48.3947,-25.4807,-48.3947,8,,401677249,-135
161638,161638,UT,DS,3,0,1,135,57,12:11:09 21-Mar-2018,MA,A,-25.4848,-48.4170,-25.4848,-48.4170,8,,401677243,-118
