DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
161638,161638,0.500000,UT,1.00a,,12:15:12 09-Mar-2018,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,,12:15:42 09-Mar-2018,12:15:43 09-Mar-2018,1,,,,CRC,,,,75,3.600,,,26.15,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
161638,161638,0.500000,UT,,12:58:48 09-Mar-2018,12:58:49 09-Mar-2018,1,2,-25.5779,-48.3578,CRC,,,,160,3.575,,,27.60,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
161638,161638,0.500000,UT,,,12:59:50 09-Mar-2018,,2,-25.5779,-48.3578,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,,,13:00:20 09-Mar-2018,,2,-25.5779,-48.3578,,,,,,,,,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,1.00a,,13:00:50 09-Mar-2018,,2,-25.5779,-48.3578,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,,,11:08:08 10-Mar-2018,,2,-25.5822,-48.3524,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,,,11:10:40 10-Mar-2018,,2,-25.5822,-48.3524,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,,11:11:09 10-Mar-2018,11:11:10 10-Mar-2018,1,2,-25.5822,-48.3524,CRC,,,,285,3.550,,,24.55,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
161638,161638,0.500000,UT,,,11:11:41 10-Mar-2018,,2,-25.5822,-48.3524,,,,,,,,,24.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
161638,161638,0.500000,UT,1.00a,,11:12:11 10-Mar-2018,,2,-25.5822,-48.3524,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
