"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",161641,6071,-25.48206,-48.43412,1,10/01/2016 17:18:34,Argos,0,232,NP,,401677457.34,10/01/2016 17:17:14,1,5,0,-130,401677457.34,-48.43412,-25.48206,-48.43412,-25.48206,60,0,554,1533,200,143,1092,66,16,90,11,232,155,18,124,32,197,20,67,84,5,241,0,1,255,255,208,0,0,0,,,,,,,,,
"",161641,6071,-25.48206,-48.43412,1,10/01/2016 17:18:34,Argos,0,232,NP,,401677457.34,10/01/2016 17:17:43,1,5,0,-130,401677457.34,-48.43412,-25.48206,-48.43412,-25.48206,60,0,554,1533,200,143,1092,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48206,-48.43412,1,10/01/2016 17:18:34,Argos,0,232,NP,,401677457.34,10/01/2016 17:18:12,1,5,0,-130,401677457.34,-48.43412,-25.48206,-48.43412,-25.48206,60,0,554,1533,200,143,1092,40,250,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48206,-48.43412,1,10/01/2016 17:18:34,Argos,0,232,NP,,401677457.34,10/01/2016 17:18:41,1,5,0,-130,401677457.34,-48.43412,-25.48206,-48.43412,-25.48206,60,0,554,1533,200,143,1092,69,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,,,,,,,0,NP,,401650000,10/01/2016 17:21:06,1,1,0,-138,401650000,,,,,,,,,,,,75,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48017,-48.43363,B,10/01/2016 19:01:27,Argos,0,0,NP,,401677461.19,10/01/2016 19:01:28,1,1,0,-131,401677461.19,-48.43363,-25.48017,-48.43363,-25.48017,8,3,1582,1931,1296,105,3881,86,112,90,167,63,196,209,156,96,39,193,12,86,96,86,116,27,63,76,160,46,0,15,,,,,,,,,
"",161641,6071,-25.48291,-48.43428,B,10/01/2016 19:45:37,Argos,0,0,SR,,401677465.75,10/01/2016 19:45:37,1,1,0,-139,401677465.75,-48.43428,-25.48291,-48.43428,-25.48291,8,3,1454,2390,883,103,4101,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.47983,-48.4355,B,10/01/2016 21:21:49,Argos,0,0,SR,,401677465.85,10/01/2016 21:21:50,1,1,0,-129,401677465.85,-48.4355,-25.47983,-48.4355,-25.47983,0,3,1658,3453,796,88,4680,79,48,90,11,232,155,18,124,32,213,93,68,146,7,90,246,1,153,255,204,144,0,0,,,,,,,,,
"",161641,6071,-25.48105,-48.43582,B,10/01/2016 21:21:49,Argos,0,0,NK,,401677468.47,10/01/2016 21:21:50,1,1,0,-123,401677468.47,-48.43582,-25.48105,-48.43582,-25.48105,8,3,1747,3009,1014,86,4933,79,48,90,11,232,155,18,124,32,213,93,68,146,7,90,246,1,153,255,204,144,0,0,,,,,,,,,
"",161641,6071,-25.47923,-48.43325,B,10/01/2016 21:21:49,Argos,0,0,NN,,401677469.36,10/01/2016 21:21:50,1,1,0,-137,401677469.36,-48.43325,-25.47923,-48.43325,-25.47923,0,3,1478,2802,779,94,4170,79,48,90,11,232,147,82,108,32,213,93,68,146,7,90,246,1,153,255,204,144,0,0,,,,,,,,,
"",161641,6071,-25.47843,-48.4349,B,10/02/2016 00:34:20,Argos,0,0,MA,,401677469.87,10/02/2016 00:34:20,1,1,0,-120,401677469.87,-48.4349,-25.47843,-48.4349,-25.47843,8,3,2140,2725,1680,67,6044,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.47612,-48.43785,B,10/02/2016 10:08:21,Argos,0,0,NK,,401677469.66,10/02/2016 10:08:21,1,1,0,-133,401677469.66,-48.43785,-25.47612,-48.43785,-25.47612,8,3,3379,5134,2224,103,9554,26,17,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.47815,-48.43621,B,10/02/2016 11:45:24,Argos,0,0,MA,,401677469.88,10/02/2016 11:45:25,1,1,0,-124,401677469.88,-48.43621,-25.47815,-48.43621,-25.47815,8,3,3244,7101,1481,101,9171,40,41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.47949,-48.4404,B,10/02/2016 17:02:58,Argos,0,0,NP,,401677468.2,10/02/2016 17:02:59,1,1,0,-137,401677468.2,-48.4404,-25.47949,-48.4404,-25.47949,8,3,3587,8194,1570,112,10144,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48231,-48.43978,B,10/02/2016 22:35:33,Argos,0,0,NK,,401677467.43,10/02/2016 22:35:34,1,1,0,-127,401677467.43,-48.43978,-25.48231,-48.43978,-25.48231,8,3,3368,6342,1788,83,9522,75,201,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48573,-48.44015,B,10/03/2016 06:00:02,Argos,0,0,NP,,401677471.15,10/03/2016 06:00:02,1,1,0,-135,401677471.15,-48.44015,-25.48573,-48.44015,-25.48573,8,3,4206,6949,2545,90,11894,32,40,64,0,0,0,0,0,0,255,0,0,0,0,0,207,0,0,0,,,,,,,,,,,,,
"",161641,6071,-25.49035,-48.43508,B,10/03/2016 09:51:03,Argos,0,0,NK,,401677473.43,10/03/2016 09:51:03,1,1,0,-137,401677473.43,-48.43508,-25.49035,-48.43508,-25.49035,8,3,3850,5611,2641,60,10887,66,196,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.49041,-48.43366,B,10/03/2016 18:34:36,Argos,0,0,NP,,401677473.16,10/03/2016 18:34:37,1,1,0,-133,401677473.16,-48.43366,-25.49041,-48.43366,-25.49041,8,3,4090,11508,1453,56,11566,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48927,-48.4293,B,10/03/2016 21:01:49,Argos,0,0,NN,,401677474.27,10/03/2016 21:01:50,1,1,0,-140,401677474.27,-48.4293,-25.48927,-48.4293,-25.48927,8,3,2898,4583,1832,80,8192,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48243,-48.43006,B,10/04/2016 12:45:02,Argos,0,0,MA,,401677471.84,10/04/2016 12:45:02,1,1,0,-125,401677471.84,-48.43006,-25.48243,-48.43006,-25.48243,0,3,4044,12221,1337,87,11434,76,194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48154,-48.42009,B,10/04/2016 20:07:27,Argos,0,0,NK,,401677471.63,10/04/2016 20:07:27,1,1,0,-135,401677471.63,-48.42009,-25.48154,-48.42009,-25.48154,8,3,4355,12190,1556,76,12317,68,240,90,11,232,155,18,124,34,80,120,132,20,11,57,2,1,253,44,204,144,0,64,,,,,,,,,
"",161641,6071,-25.48284,-48.42298,B,10/04/2016 20:51:24,Argos,0,0,NN,,401677470.89,10/04/2016 20:51:24,1,1,0,-135,401677470.89,-48.42298,-25.48284,-48.42298,-25.48284,8,3,4073,10927,1518,81,11518,71,197,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48177,-48.41546,B,10/05/2016 08:54:34,Argos,0,123,NK,,401677474.1,10/05/2016 08:53:33,1,2,0,-129,401677474.1,-48.41546,-25.48177,-48.41546,-25.48177,0,3,4092,352550,47,102,11576,35,240,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",161641,6071,-25.48177,-48.41546,B,10/05/2016 08:54:34,Argos,0,123,NK,,401677474.1,10/05/2016 08:55:36,1,2,0,-129,401677474.1,-48.41546,-25.48177,-48.41546,-25.48177,0,3,4092,352550,47,102,11576,77,240,90,11,232,155,18,124,34,163,122,193,148,11,226,252,5,248,43,204,0,0,0,,,,,,,,,
