DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
161641,161641,UT,19:01:28 01-Oct-2016,,,B,-25.4802,-48.4336,CRC 179.249,19:01:28 01-Oct-2016,Status,86,112,90,167,63,196,209,156,96,39,193,12,86,96,86,116,27,63,76,160,46,0,15,,,,,,,,,
161641,161641,UT,21:21:50 01-Oct-2016,,,B,-25.4792,-48.4333,CRC 121.135,21:21:53 01-Oct-2016,Status,79,48,90,11,232,147,82,108,32,213,93,68,146,7,90,246,1,153,255,204,144,0,0,,,,,,,,,
161641,161641,UT,20:07:27 04-Oct-2016,,,B,-25.4815,-48.4201,CRC 39.224,20:07:34 04-Oct-2016,Status,68,240,90,11,232,155,18,124,34,80,120,132,20,11,57,2,1,253,44,204,144,0,64,,,,,,,,,
161641,161641,UT,10:58:24 06-Oct-2016,,,B,-25.4820,-48.4454,CRC 70.2,10:58:24 06-Oct-2016,Status,72,208,90,15,234,155,75,31,64,84,104,85,111,218,63,132,126,253,43,207,250,239,184,,,,,,,,,
161641,161641,UT,08:52:01 07-Oct-2016,,,B,-25.4719,-48.4400,CRC 35.105,,,32,40,192,0,4,11,161,111,166,201,67,175,174,158,96,105,80,144,73,,,,,,,,,,,,,
161641,161641,UT,21:32:38 07-Oct-2016,,,B,-25.4823,-48.4517,CRC 105.98,21:00:48 07-Oct-2016,Status,77,48,90,11,234,155,22,124,35,212,12,3,145,79,29,52,145,228,93,170,190,89,237,,,,,,,,,
161641,161641,UT,17:30:05 09-Oct-2016,,,B,-25.4762,-48.4413,CRC 2.13,17:30:05 09-Oct-2016,Status,18,155,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,06:22:54 10-Oct-2016,,,B,-25.4810,-48.4366,CRC 79.161,04:23:06 10-Oct-2016,Status,73,240,90,11,232,155,18,124,37,17,113,132,20,18,175,4,25,253,41,204,16,0,0,,,,,,,,,
161641,161641,UT,08:24:19 11-Oct-2016,,,B,-25.4685,-48.4626,CRC 226.32,08:24:32 11-Oct-2016,Status,92,80,90,11,232,155,18,124,5,161,136,2,82,19,239,10,9,255,41,204,0,0,0,,,,,,,,,
161641,161641,UT,09:45:39 11-Oct-2016,,,B,-25.4725,-48.4690,CRC 42.182,,,32,41,64,0,0,0,0,0,0,255,0,0,0,0,0,182,12,169,172,,,,,,,,,,,,,
161641,161641,UT,22:56:22 11-Oct-2016,,,B,-25.4705,-48.4614,CRC 31.211,22:56:52 15-Oct-2016,Status,67,240,90,11,232,219,242,92,39,219,141,5,82,20,183,8,1,253,41,204,48,0,0,,,,,,,,,
161641,161641,UT,09:21:44 12-Oct-2016,,,B,-25.4718,-48.4794,Length 19?,11:00:00 10-Apr-2016,Fast-GPS,98,41,96,0,0,0,0,0,0,255,0,0,0,0,0,212,0,0,0,,,,,,,,,,,,,
161641,161641,UT,13:21:38 12-Oct-2016,,,A,-25.4959,-48.4093,CRC 249.107,13:21:52 12-Oct-2016,Status,95,48,90,11,232,155,18,124,38,53,93,3,20,5,97,12,1,227,42,204,160,0,0,,,,,,,,,
161641,161641,UT,13:22:38 12-Oct-2016,,,A,-25.4959,-48.4093,CRC 5.6,13:22:38 12-Oct-2016,Status,69,208,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,01:01:38 13-Oct-2016,,,B,-25.4748,-48.4195,CRC 173.74,01:14:13 13-Oct-2016,Status,85,176,90,11,232,155,18,124,38,132,227,67,212,22,81,4,51,113,42,204,176,0,0,,,,,,,,,
161641,161641,UT,05:45:41 14-Oct-2016,,,B,-25.4922,-48.4248,CRC 10.14,05:45:41 14-Oct-2016,Status,10,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,09:43:38 14-Oct-2016,,,A,-25.5401,-48.4056,CRC 151.43,01:10:52 18-Oct-2016,Status,82,240,90,34,29,164,21,139,233,4,173,44,114,201,164,72,60,184,81,14,136,105,213,,,,,,,,,
161641,161641,UT,21:16:32 14-Oct-2016,,,B,-25.5625,-48.4290,CRC 7.14,21:16:32 14-Oct-2016,Status,39,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,02:00:25 15-Oct-2016,,,B,-25.4479,-48.4300,CRC 0.9,02:00:25 15-Oct-2016,Status,16,65,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,05:16:30 16-Oct-2016,,,B,-25.4772,-48.4122,CRC 64.10,05:16:48 16-Oct-2016,Status,72,16,90,11,232,155,18,124,40,21,12,3,18,25,143,12,43,51,101,234,231,110,116,,,,,,,,,
161641,161641,UT,09:15:02 16-Oct-2016,,,B,-25.4550,-48.4690,CRC 3.2,,,99,212,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,05:04:00 17-Oct-2016,,,B,-25.4709,-48.4241,CRC 79.33,,,32,42,0,0,0,0,0,0,0,253,136,128,0,64,0,33,0,0,54,,,,,,,,,,,,,
161641,161641,UT,09:09:15 17-Oct-2016,,,A,-25.4777,-48.4734,CRC 2.5,09:09:15 17-Oct-2016,Status,50,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,21:26:35 17-Oct-2016,,,B,-25.4965,-48.4511,CRC 213.86,21:26:54 17-Oct-2016,Status,90,176,90,11,232,155,18,124,40,213,173,133,84,28,25,8,1,152,8,206,59,55,10,,,,,,,,,
161641,161641,UT,00:05:59 18-Oct-2016,,,B,-25.4854,-48.4475,CRC 204.181,00:06:19 18-Oct-2016,Status,89,144,90,11,232,155,18,124,41,0,100,195,148,28,75,12,21,70,39,238,64,64,0,,,,,,,,,
161641,161641,UT,22:33:18 18-Oct-2016,,,B,-25.4586,-48.4762,CRC 4.9,22:33:18 18-Oct-2016,Status,68,243,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,12:32:20 19-Oct-2016,,,A,-25.4566,-48.5434,CRC 188.23,12:32:20 19-Oct-2016,Status,87,144,90,11,232,155,18,112,68,107,106,92,124,233,170,104,7,15,225,185,54,43,248,,,,,,,,,
161641,161641,UT,17:00:27 20-Oct-2016,,,B,-25.4798,-48.4437,CRC 180.38,22:51:06 28-Oct-2016,Status,86,144,90,11,232,153,102,116,30,91,49,160,19,114,2,229,92,177,118,119,34,74,134,,,,,,,,,
161641,161641,UT,18:40:40 20-Oct-2016,,,B,-25.4730,-48.4318,CRC 10.6,18:40:40 20-Oct-2016,Status,74,252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,22:41:47 20-Oct-2016,,,B,-25.4748,-48.4248,CRC 1.3,22:41:47 20-Oct-2016,Status,65,95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,09:54:11 21-Oct-2016,,,A,-25.4833,-48.4329,CRC 10.12,09:54:11 21-Oct-2016,Status,10,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161641,161641,UT,08:34:48 22-Oct-2016,,,B,-25.4787,-48.4266,CRC 184.14,08:35:12 22-Oct-2016,Status,87,16,90,11,232,219,18,124,43,34,51,2,82,35,63,14,3,145,40,206,112,0,0,,,,,,,,,
161641,161641,UT,09:19:50 22-Oct-2016,,,B,-25.4819,-48.4316,CRC 252.169,09:19:50 22-Oct-2016,Status,95,152,45,164,139,194,184,24,205,251,218,25,227,246,16,26,49,138,177,59,236,28,44,,,,,,,,,
161641,161641,UT,18:19:11 22-Oct-2016,,,B,-25.4745,-48.4310,CRC 21.66,18:19:35 22-Oct-2016,Status,66,176,90,11,232,155,18,124,43,73,56,197,20,36,57,10,30,225,135,32,3,255,255,,,,,,,,,
161641,161641,UT,22:22:48 22-Oct-2016,,,A,-25.4811,-48.4375,CRC 181.192,19:55:36 21-Oct-2016,Status,86,178,90,14,224,155,18,126,42,207,121,4,146,180,186,12,3,253,10,228,227,127,86,,,,,,,,,
161641,161641,UT,10:32:46 23-Oct-2016,,,B,-25.4827,-48.4367,CRC 233.220,10:33:11 22-Oct-2016,Status,93,48,90,11,232,155,18,124,43,42,18,194,146,36,130,12,65,239,40,206,128,0,0,,,,,,,,,
161641,161641,UT,12:07:41 23-Oct-2016,,,B,-25.4810,-48.4364,CRC 22.93,12:08:06 23-Oct-2016,Status,66,208,90,11,232,155,18,124,43,176,129,131,82,37,151,12,1,255,40,206,128,16,4,,,,,,,,,
161641,161641,UT,20:35:25 23-Oct-2016,,,B,-25.4771,-48.4434,CRC 184.213,20:35:50 19-Oct-2016,Status,87,16,90,11,232,155,18,124,41,210,60,134,20,38,115,12,1,255,40,207,16,0,0,,,,,,,,,
161641,161641,UT,09:13:28 25-Oct-2016,,,B,-25.4984,-48.4086,CRC 1.13,09:13:28 25-Oct-2016,Status,33,107,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
