DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
161643,161643,UT,18:20:28 21-Mar-2017,Argos,3,-25.5701,-48.3694,211,566,78,75,,,,,,
161643,161643,UT,19:59:37 21-Mar-2017,Argos,B,-25.5592,-48.3698,3384,4069,2813,89,,,,,,
161643,161643,UT,18:02:25 22-Mar-2017,Argos,B,-25.5278,-48.3839,10721,16450,6986,117,,,,,,
161643,161643,UT,20:24:42 22-Mar-2017,Argos,B,-25.5032,-48.3698,9158,45065,1860,113,,,,,,
161643,161643,UT,21:30:53 22-Mar-2017,Argos,A,-25.4644,-48.4356,286,956,85,99,,,,,,
161643,161643,UT,21:42:10 22-Mar-2017,Argos,B,-25.4562,-48.4336,431,2143,86,120,,,,,,
161643,161643,UT,01:13:34 23-Mar-2017,Argos,B,-25.4501,-48.4864,1659,3315,830,86,,,,,,
161643,161643,UT,09:01:16 23-Mar-2017,Argos,B,-25.3696,-48.6205,3065,5605,1675,110,,,,,,
161643,161643,UT,10:23:42 23-Mar-2017,Argos,B,-25.4915,-48.3720,1494,3944,565,149,,,,,,
161643,161643,UT,10:45:12 23-Mar-2017,Argos,B,-25.4870,-48.3653,1229,1705,885,133,,,,,,
161643,161643,UT,12:27:04 23-Mar-2017,Argos,B,-25.4886,-48.3217,1856,3332,1033,104,,,,,,
161643,161643,UT,19:53:05 23-Mar-2017,Argos,B,-25.5405,-48.1282,3692,7670,1777,104,,,,,,
161643,161643,UT,00:49:47 24-Mar-2017,Argos,B,-25.4891,-48.2981,4340,69542,270,84,,,,,,
161643,161643,UT,08:49:17 24-Mar-2017,Argos,B,-25.5353,-48.2209,3227,7214,1443,115,,,,,,
161643,161643,UT,09:49:24 24-Mar-2017,Argos,B,-25.4875,-48.3352,3973,6842,2306,72,,,,,,
161643,161643,UT,09:49:24 24-Mar-2017,Argos,B,-25.4861,-48.2922,5136,14880,1772,99,,,,,,
161643,161643,UT,12:05:58 24-Mar-2017,Argos,B,-25.4694,-48.2585,5010,25184,996,98,,,,,,
161643,161643,UT,22:54:54 24-Mar-2017,Argos,B,-25.4156,-48.1926,5666,13404,2395,92,,,,,,
161643,161643,UT,10:15:28 25-Mar-2017,Argos,B,-25.4460,-48.2601,7175,38846,1325,93,,,,,,
161643,161643,UT,11:39:43 25-Mar-2017,Argos,B,-25.4582,-48.3445,6960,21173,2287,116,,,,,,
161643,161643,UT,17:30:56 25-Mar-2017,Argos,B,-25.4655,-48.4474,5347,14196,2013,87,,,,,,
161643,161643,UT,19:12:19 25-Mar-2017,Argos,B,-25.4640,-48.4389,2194,30533,157,2,,,,,,
161643,161643,UT,20:25:45 25-Mar-2017,Argos,B,-25.4610,-48.4539,1461,1909,1118,9,,,,,,
161643,161643,UT,21:01:47 25-Mar-2017,Argos,B,-25.4589,-48.4460,1711,1881,1555,84,,,,,,
161643,161643,UT,21:51:09 25-Mar-2017,Argos,B,-25.4595,-48.4480,949,8495,106,113,,,,,,
161643,161643,UT,00:15:29 26-Mar-2017,Argos,2,-25.4610,-48.4357,291,354,238,44,,,,,,
161643,161643,UT,08:28:10 26-Mar-2017,Argos,B,-25.4545,-48.4685,6668,8226,5405,133,,,,,,
161643,161643,UT,09:58:52 26-Mar-2017,Argos,B,-25.4534,-48.4745,7915,8561,7316,94,,,,,,
161643,161643,UT,11:27:42 26-Mar-2017,Argos,B,-25.4537,-48.4489,6622,9574,4580,120,,,,,,
161643,161643,UT,13:02:23 26-Mar-2017,Argos,B,-25.4443,-48.4547,3442,5880,2014,110,,,,,,
161643,161643,UT,21:26:09 26-Mar-2017,Argos,1,-25.4558,-48.4379,722,1289,404,68,,,,,,
161643,161643,UT,22:33:41 26-Mar-2017,Argos,B,-25.4525,-48.4404,4622,5508,3877,71,,,,,,
161643,161643,UT,01:31:28 27-Mar-2017,Argos,B,-25.4483,-48.4424,4103,24402,689,65,,,,,,
161643,161643,UT,08:21:08 27-Mar-2017,Argos,B,-25.4384,-48.4479,2774,4801,1602,64,,,,,,
161643,161643,UT,10:18:22 27-Mar-2017,Argos,B,-25.4464,-48.4497,2640,6785,1027,80,,,,,,
161643,161643,UT,11:03:19 27-Mar-2017,Argos,B,-25.4463,-48.4472,2692,5787,1252,81,,,,,,
161643,161643,UT,12:43:20 27-Mar-2017,Argos,3,-25.4505,-48.4431,192,289,126,79,,,,,,
161643,161643,UT,18:43:51 27-Mar-2017,Argos,B,-25.4514,-48.4413,2780,3074,2513,88,,,,,,
161643,161643,UT,01:07:07 28-Mar-2017,Argos,B,-25.4455,-48.4445,3237,4854,2159,66,,,,,,
161643,161643,UT,06:03:22 28-Mar-2017,Argos,B,-25.4268,-48.4209,2568,22776,289,105,,,,,,
161643,161643,UT,07:49:34 28-Mar-2017,Argos,B,-25.4321,-48.4124,2700,7659,952,101,,,,,,
161643,161643,UT,08:08:11 28-Mar-2017,Argos,B,-25.4337,-48.4042,2295,5615,937,92,,,,,,
161643,161643,UT,09:30:29 28-Mar-2017,Argos,B,-25.4441,-48.3935,2054,138317,30,78,,,,,,
161643,161643,UT,09:38:18 28-Mar-2017,Argos,B,-25.4511,-48.4227,793,3643,172,91,,,,,,
161643,161643,UT,09:53:58 28-Mar-2017,Argos,B,-25.4437,-48.3949,2157,11122,418,78,,,,,,
161643,161643,UT,12:23:32 28-Mar-2017,Argos,A,-25.4537,-48.4204,457,5513,37,104,,,,,,
161643,161643,UT,14:01:53 28-Mar-2017,Argos,B,-25.4590,-48.4190,1398,1825,1070,100,,,,,,
161643,161643,UT,18:34:07 28-Mar-2017,Argos,B,-25.4753,-48.4194,2562,3201,2050,94,,,,,,
161643,161643,UT,20:33:50 28-Mar-2017,Argos,B,-25.4626,-48.4242,1952,41163,92,71,,,,,,
