Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6071,165366,3,NP,B,3,03-Oct-2016,16:51:59,-25.5834,-48.3577,,401677410,-135,,0,03-Oct-2016,16:52:00,-25.5834,-48.3577,,3757,5711,2471,113,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NP,B,4,03-Oct-2016,18:39:47,-25.5429,-48.3764,,401677404,-127,8,0,03-Oct-2016,18:38:34,-25.5429,-48.3764,74,2853,60473,134,86,,,83,208,90,12,40,138,2,134,17,202,104,80,22,134,113,25,12,115,135,55,156,119,140,,,,,,,,,
6071,165366,3,NP,B,4,03-Oct-2016,18:39:47,-25.5429,-48.3764,,401677404,-127,8,0,03-Oct-2016,18:39:48,-25.5429,-48.3764,74,2853,60473,134,86,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,3,5,03-Oct-2016,20:27:45,-25.5354,-48.4025,,401677403,-128,68,0,03-Oct-2016,20:24:24,-25.5354,-48.4025,477,189,364,97,22,,,76,103,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,3,5,03-Oct-2016,20:27:45,-25.5354,-48.4025,,401677403,-128,68,0,03-Oct-2016,20:26:40,-25.5354,-48.4025,477,189,364,97,22,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NK,3,5,03-Oct-2016,20:27:45,-25.5354,-48.4025,,401677403,-128,68,0,03-Oct-2016,20:27:37,-25.5354,-48.4025,477,189,364,97,22,,,78,240,90,12,40,138,2,134,17,209,185,29,86,16,68,100,9,151,131,232,216,241,36,,,,,,,,,
6071,165366,3,NK,3,5,03-Oct-2016,20:27:45,-25.5354,-48.4025,,401677403,-128,68,0,03-Oct-2016,20:32:21,-25.5354,-48.4025,477,189,364,97,22,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,6,03-Oct-2016,20:26:14,-25.5374,-48.3804,,401677405,-131,8,0,03-Oct-2016,20:24:24,-25.5374,-48.3804,193,916,13824,60,110,,,76,194,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,6,03-Oct-2016,20:26:14,-25.5374,-48.3804,,401677405,-131,8,0,03-Oct-2016,20:26:40,-25.5374,-48.3804,193,916,13824,60,110,,,10,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,SR,A,6,03-Oct-2016,20:26:14,-25.5374,-48.3804,,401677405,-131,8,0,03-Oct-2016,20:27:37,-25.5374,-48.3804,193,916,13824,60,110,,,78,240,90,12,40,170,128,134,17,241,74,28,224,114,52,52,217,16,33,121,143,249,207,,,,,,,,,
6071,165366,3,NN,1,7,03-Oct-2016,21:00:47,-25.5285,-48.4012,,401677402,-125,58,0,03-Oct-2016,20:56:42,-25.5285,-48.4012,474,517,1145,233,40,,,76,194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,1,7,03-Oct-2016,21:00:47,-25.5285,-48.4012,,401677402,-125,58,0,03-Oct-2016,20:58:20,-25.5285,-48.4012,474,517,1145,233,40,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NN,1,7,03-Oct-2016,21:00:47,-25.5285,-48.4012,,401677402,-125,58,0,03-Oct-2016,21:00:29,-25.5285,-48.4012,474,517,1145,233,40,,,89,48,90,12,40,138,2,134,17,212,7,22,214,2,125,14,1,125,255,204,32,0,0,,,,,,,,,
6071,165366,3,NN,1,7,03-Oct-2016,21:00:47,-25.5285,-48.4012,,401677402,-125,58,0,03-Oct-2016,21:03:49,-25.5285,-48.4012,474,517,1145,233,40,,,41,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,1,7,03-Oct-2016,21:00:47,-25.5285,-48.4012,,401677402,-125,58,0,03-Oct-2016,21:04:36,-25.5285,-48.4012,474,517,1145,233,40,,,76,195,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,A,8,03-Oct-2016,22:41:21,-25.5310,-48.3911,,401677405,-127,8,0,03-Oct-2016,22:39:41,-25.5310,-48.3911,214,363,1620,81,102,,,66,196,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,A,8,03-Oct-2016,22:41:21,-25.5310,-48.3911,,401677405,-127,8,0,03-Oct-2016,22:41:08,-25.5310,-48.3911,214,363,1620,81,102,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NN,A,8,03-Oct-2016,22:41:21,-25.5310,-48.3911,,401677405,-127,8,0,03-Oct-2016,22:43:15,-25.5310,-48.3911,214,363,1620,81,102,,,95,176,90,12,40,138,2,134,17,218,179,151,86,2,165,14,1,164,239,220,208,0,0,,,,,,,,,
6071,165366,23,MA,B,9,03-Oct-2016,23:52:48,-25.5285,-48.3918,,401677392,-130,8,0,03-Oct-2016,23:52:49,-25.5285,-48.3918,,1187,1436,980,88,,,78,112,90,12,40,138,26,170,170,170,149,85,85,85,85,85,72,86,121,122,162,25,137,,,,,,,,,
6071,165366,3,MB,B,10,04-Oct-2016,00:40:38,-25.5277,-48.3886,,401677403,-130,7,0,04-Oct-2016,00:40:39,-25.5277,-48.3886,,1513,1666,1373,98,,,38,227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,MA,B,11,04-Oct-2016,01:31:26,-25.5339,-48.3874,,401677397,-121,8,0,04-Oct-2016,01:31:26,-25.5339,-48.3874,,1626,2247,1177,87,,,26,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,12,04-Oct-2016,04:12:51,-25.5327,-48.3672,,401677403,-135,8,0,04-Oct-2016,04:12:29,-25.5327,-48.3672,45,1365,2444,762,151,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,12,04-Oct-2016,04:12:51,-25.5327,-48.3672,,401677403,-135,8,0,04-Oct-2016,04:13:14,-25.5327,-48.3672,45,1365,2444,762,151,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NK,B,13,04-Oct-2016,07:44:40,-25.5279,-48.3539,,401677395,-137,8,0,04-Oct-2016,07:44:40,-25.5279,-48.3539,,2301,2974,1780,148,,,71,176,90,12,40,138,2,134,18,22,201,215,84,3,79,14,11,183,21,203,192,1,0,,,,,,,,,
6071,165366,3,SR,B,14,04-Oct-2016,08:45:26,-25.5509,-48.3519,,401677391,-129,8,0,04-Oct-2016,08:43:32,-25.5509,-48.3519,230,1560,38509,63,102,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,SR,B,14,04-Oct-2016,08:45:26,-25.5509,-48.3519,,401677391,-129,8,0,04-Oct-2016,08:47:22,-25.5509,-48.3519,230,1560,38509,63,102,,,76,176,90,12,40,131,194,164,18,34,245,23,150,3,99,14,9,172,21,203,192,0,0,,,,,,,,,
6071,165366,3,NK,B,15,04-Oct-2016,09:21:18,-25.5651,-48.3106,,401677414,-130,6,0,04-Oct-2016,09:20:52,-25.5651,-48.3106,54,980,3159,303,32,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,15,04-Oct-2016,09:21:18,-25.5651,-48.3106,,401677414,-130,6,0,04-Oct-2016,09:21:46,-25.5651,-48.3106,54,980,3159,303,32,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,B,16,04-Oct-2016,10:04:24,-25.5711,-48.2957,,401677412,-129,8,0,04-Oct-2016,10:04:24,-25.5711,-48.2957,,1299,1583,1065,38,,,236,244,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,17,04-Oct-2016,10:21:36,-25.5872,-48.2824,,401677404,-131,6,0,04-Oct-2016,10:18:14,-25.5872,-48.2824,520,306,923,101,172,,,70,191,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,17,04-Oct-2016,10:21:36,-25.5872,-48.2824,,401677404,-131,6,0,04-Oct-2016,10:19:41,-25.5872,-48.2824,520,306,923,101,172,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,17,04-Oct-2016,10:21:36,-25.5872,-48.2824,,401677404,-131,6,0,04-Oct-2016,10:26:54,-25.5872,-48.2824,520,306,923,101,172,,,40,219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,18,04-Oct-2016,16:44:36,-25.5585,-48.3211,,401677430,-135,8,0,04-Oct-2016,16:42:57,-25.5585,-48.3211,100,1681,6379,443,5,,,45,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,18,04-Oct-2016,16:44:36,-25.5585,-48.3211,,401677430,-135,8,0,04-Oct-2016,16:44:37,-25.5585,-48.3211,100,1681,6379,443,5,,,89,16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,0,19,04-Oct-2016,18:18:32,-25.4823,-48.2944,,401677406,-133,58,0,04-Oct-2016,18:17:55,-25.4823,-48.2944,707,2812,19875,397,87,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,0,19,04-Oct-2016,18:18:32,-25.4823,-48.2944,,401677406,-133,58,0,04-Oct-2016,18:19:09,-25.4823,-48.2944,707,2812,19875,397,87,,,39,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NP,0,19,04-Oct-2016,18:18:32,-25.4823,-48.2944,,401677406,-133,58,0,04-Oct-2016,18:27:55,-25.4823,-48.2944,707,2812,19875,397,87,,,78,208,90,12,40,138,2,134,18,73,189,87,214,4,83,12,1,194,21,204,176,0,0,,,,,,,,,
6071,165366,3,NP,0,19,04-Oct-2016,18:18:32,-25.4823,-48.2944,,401677406,-133,58,0,04-Oct-2016,18:29:42,-25.4823,-48.2944,707,2812,19875,397,87,,,68,202,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,B,20,04-Oct-2016,19:48:03,-25.4686,-48.3574,,401677400,-133,8,0,04-Oct-2016,19:48:04,-25.4686,-48.3574,384,1780,17008,186,170,,,34,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,SR,B,20,04-Oct-2016,19:48:03,-25.4686,-48.3574,,401677400,-133,8,0,04-Oct-2016,19:54:28,-25.4686,-48.3574,384,1780,17008,186,170,,,77,176,90,12,40,138,2,134,18,79,102,216,86,4,143,8,1,172,23,108,176,124,186,,,,,,,,,
6071,165366,3,NK,B,21,04-Oct-2016,20:01:50,-25.4816,-48.3546,,401677407,-135,6,0,04-Oct-2016,20:00:08,-25.4816,-48.3546,205,521,1336,202,70,,,26,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,21,04-Oct-2016,20:01:50,-25.4816,-48.3546,,401677407,-135,6,0,04-Oct-2016,20:03:33,-25.4816,-48.3546,205,521,1336,202,70,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NN,B,22,04-Oct-2016,20:55:44,-25.4710,-48.3722,,401677401,-130,8,0,04-Oct-2016,20:49:14,-25.4710,-48.3722,390,1232,14750,102,131,,,80,208,90,12,40,138,2,134,18,83,19,24,22,4,163,14,1,193,21,204,64,0,0,,,,,,,,,
6071,165366,3,NN,B,22,04-Oct-2016,20:55:44,-25.4710,-48.3722,,401677401,-130,8,0,04-Oct-2016,20:55:44,-25.4710,-48.3722,390,1232,14750,102,131,,,71,197,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,SR,A,23,04-Oct-2016,21:28:57,-25.4743,-48.3662,,401677401,-129,8,0,04-Oct-2016,21:28:19,-25.4743,-48.3662,548,257,960,68,137,,,45,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,SR,A,23,04-Oct-2016,21:28:57,-25.4743,-48.3662,,401677401,-129,8,0,04-Oct-2016,21:29:35,-25.4743,-48.3662,548,257,960,68,137,,,84,48,90,12,40,138,2,134,18,85,216,152,148,4,173,12,1,79,21,204,64,0,0,,,,,,,,,
6071,165366,3,SR,A,23,04-Oct-2016,21:28:57,-25.4743,-48.3662,,401677401,-129,8,0,04-Oct-2016,21:37:27,-25.4743,-48.3662,548,257,960,68,137,,,14,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,24,04-Oct-2016,21:39:35,-25.4729,-48.3717,,401677403,-131,6,0,04-Oct-2016,21:38:41,-25.4729,-48.3717,109,620,1076,357,93,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,24,04-Oct-2016,21:39:35,-25.4729,-48.3717,,401677403,-131,6,0,04-Oct-2016,21:40:30,-25.4729,-48.3717,109,620,1076,357,93,,,46,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,NN,B,25,04-Oct-2016,22:28:07,-25.4686,-48.3772,,401677399,-133,8,0,04-Oct-2016,22:28:07,-25.4686,-48.3772,,1120,1377,909,89,,,79,208,90,12,40,138,2,214,18,89,193,86,214,4,193,14,1,105,21,204,64,0,0,,,,,,,,,
6071,165366,3,MA,B,26,04-Oct-2016,23:32:49,-25.4650,-48.3842,,401677395,-133,8,0,04-Oct-2016,23:32:50,-25.4650,-48.3842,,1539,1859,1274,82,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,27,05-Oct-2016,04:04:17,-25.4506,-48.4129,,401677400,-138,8,0,05-Oct-2016,04:04:17,-25.4506,-48.4129,,2555,3828,1705,105,,,47,127,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,28,05-Oct-2016,05:49:49,-25.4639,-48.4103,,401677403,-132,8,0,05-Oct-2016,05:48:12,-25.4639,-48.4103,97,3041,10694,864,114,,,46,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,28,05-Oct-2016,05:49:49,-25.4639,-48.4103,,401677403,-132,8,0,05-Oct-2016,05:49:49,-25.4639,-48.4103,97,3041,10694,864,114,,,76,194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NN,B,29,05-Oct-2016,08:04:54,-25.4661,-48.4124,,401677407,-135,8,0,05-Oct-2016,08:04:54,-25.4661,-48.4124,,2966,6147,1430,107,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,30,05-Oct-2016,08:56:34,-25.4630,-48.4107,,401677405,-135,8,0,05-Oct-2016,08:56:35,-25.4630,-48.4107,,2876,11705,706,108,,,47,158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,19,NN,B,31,05-Oct-2016,09:47:28,-25.4654,-48.3954,,401677402,-130,8,0,05-Oct-2016,09:47:29,-25.4654,-48.3954,283,1106,15111,81,169,,,32,40,131,0,0,0,0,0,0,255,0,0,0,0,0,126,0,0,0,,,,,,,,,,,,,
6071,165366,3,NN,B,31,05-Oct-2016,09:47:28,-25.4654,-48.3954,,401677402,-130,8,0,05-Oct-2016,09:52:12,-25.4654,-48.3954,283,1106,15111,81,169,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,19,SR,B,32,05-Oct-2016,09:47:28,-25.4669,-48.3952,,401677401,-138,,0,05-Oct-2016,09:47:29,-25.4669,-48.3952,,974,11632,81,169,,,32,40,131,0,0,0,0,0,0,255,0,0,0,0,0,126,0,0,0,,,,,,,,,,,,,
6071,165366,3,NK,B,33,05-Oct-2016,10:35:58,-25.4661,-48.3951,,401677404,-137,8,0,05-Oct-2016,10:35:58,-25.4661,-48.3951,,1253,1779,882,164,,,73,195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,19,MA,B,34,05-Oct-2016,10:45:05,-25.4664,-48.3951,,401677404,-130,6,0,05-Oct-2016,10:45:05,-25.4664,-48.3951,,1314,1786,967,165,,,32,32,131,0,8,64,131,188,210,92,18,252,40,169,167,116,59,191,183,,,,,,,,,,,,,
6071,165366,3,MA,B,35,05-Oct-2016,12:18:18,-25.4544,-48.3948,,401677404,-120,8,0,05-Oct-2016,12:16:29,-25.4544,-48.3948,219,1220,9222,161,97,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,23,MA,B,35,05-Oct-2016,12:18:18,-25.4544,-48.3948,,401677404,-120,8,0,05-Oct-2016,12:20:08,-25.4544,-48.3948,219,1220,9222,161,97,,,84,80,90,12,40,138,2,134,18,177,65,152,148,4,85,208,44,127,147,251,98,96,147,,,,,,,,,
6071,165366,3,NP,B,36,05-Oct-2016,18:19:30,-25.4548,-48.3964,,401677406,-131,8,0,05-Oct-2016,18:11:55,-25.4548,-48.3964,456,2188,68675,69,94,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,36,05-Oct-2016,18:19:30,-25.4548,-48.3964,,401677406,-131,8,0,05-Oct-2016,18:19:31,-25.4548,-48.3964,456,2188,68675,69,94,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,37,05-Oct-2016,19:52:10,-25.4481,-48.4086,,401677414,-135,8,0,05-Oct-2016,19:52:10,-25.4481,-48.4086,,2249,5705,886,90,,,69,223,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,MA,B,38,06-Oct-2016,00:53:42,-25.4347,-48.4248,,401677408,-126,8,0,06-Oct-2016,00:53:43,-25.4347,-48.4248,,3234,4883,2142,89,,,44,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,39,06-Oct-2016,05:28:05,-25.4255,-48.4436,,401677407,-130,8,0,06-Oct-2016,05:28:05,-25.4255,-48.4436,431,2356,31073,178,17,,,77,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NP,B,39,06-Oct-2016,05:28:05,-25.4255,-48.4436,,401677407,-130,8,0,06-Oct-2016,05:35:16,-25.4255,-48.4436,431,2356,31073,178,17,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,NK,B,40,06-Oct-2016,08:27:53,-25.4215,-48.4545,,401677410,-128,8,0,06-Oct-2016,08:27:54,-25.4215,-48.4545,,3011,5880,1541,19,,,42,62,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,165366,3,MA,A,41,06-Oct-2016,11:58:23,-25.4540,-48.4460,,401677411,-122,8,0,06-Oct-2016,11:58:23,-25.4540,-48.4460,428,182,334,98,64,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
