DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
181925,181925,0.500000,UT,,,13:02:14 30-Aug-2019,,B,-25.4711,-48.4099,,,,,,,,,20.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:04:07 30-Aug-2019,,B,-25.4711,-48.4099,,,,,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,13:31:31 30-Aug-2019,,B,-25.4692,-48.3948,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,14:11:52 30-Aug-2019,,B,-25.4670,-48.3943,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,18:59:49 30-Aug-2019,,1,-25.4655,-48.4627,,,,,,3.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,19:03:37 30-Aug-2019,,1,-25.4655,-48.4627,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,19:05:07 30-Aug-2019,19:05:08 30-Aug-2019,1,1,-25.4655,-48.4627,CRC,,,,2515,3.325,,,20.95,,,,,,,,,,,,,,218,45,255,,,,,,,,0,,,,81
181925,181925,0.500000,UT,,,19:06:02 30-Aug-2019,,1,-25.4655,-48.4627,,,,,,,,,20.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,19:55:47 31-Aug-2019,,A,-25.4973,-48.4790,,,,,2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,19:57:22 31-Aug-2019,,A,-25.4973,-48.4790,,,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,19:57:41 31-Aug-2019,,A,-25.4973,-48.4790,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:36:06 31-Aug-2019,,3,-25.4984,-48.4749,,,,,2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
