"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",160105,6056,-25.5719,-48.3659,B,05/21/2016 12:57:09,Argos,0,44,MA,,401677287.45,05/21/2016 12:56:47,1,2,0,-127,401677287.45,-48.3659,-25.5719,-48.3659,-25.5719,0,3,1420,11388,177,61,4003,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.5719,-48.3659,B,05/21/2016 12:57:09,Argos,0,44,MA,,401677287.45,05/21/2016 12:57:32,1,2,0,-127,401677287.45,-48.3659,-25.5719,-48.3659,-25.5719,0,3,1420,11388,177,61,4003,41,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.58594,-48.38748,B,05/22/2016 10:40:07,Argos,0,0,SR,,401677279.7,05/22/2016 10:40:08,1,1,0,-135,401677279.7,-48.38748,-25.58594,-48.38748,-25.58594,0,3,4227,8933,1999,72,11953,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.57715,-48.35884,A,05/22/2016 10:57:01,Argos,0,318,MA,,401677286.49,05/22/2016 10:54:30,1,3,0,-133,401677286.49,-48.35884,-25.57715,-48.35884,-25.57715,6,3,337,754,150,14,898,81,240,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.57715,-48.35884,A,05/22/2016 10:57:01,Argos,0,318,MA,,401677286.49,05/22/2016 10:56:46,1,3,0,-133,401677286.49,-48.35884,-25.57715,-48.35884,-25.57715,6,3,337,754,150,14,898,65,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.57715,-48.35884,A,05/22/2016 10:57:01,Argos,0,318,MA,,401677286.49,05/22/2016 10:59:48,1,3,0,-133,401677286.49,-48.35884,-25.57715,-48.35884,-25.57715,6,3,337,754,150,14,898,45,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:34:54,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,72,198,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:36:24,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,80,208,90,11,232,156,193,106,187,50,70,24,82,3,87,20,1,255,255,204,144,0,0,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:37:10,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:38:41,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,64,206,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:39:26,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:40:11,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,95,48,90,11,232,28,193,106,187,50,130,151,20,3,97,20,1,255,255,205,16,0,0,,,,,,,,,
"",160105,6056,-25.48029,-48.42545,3,05/22/2016 12:38:21,Argos,0,408,MA,,401677284.52,05/22/2016 12:41:42,1,7,1,-117,401677284.52,-48.42545,-25.48029,-48.42545,-25.48029,58,3,188,755,46,106,274,38,178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47996,-48.42907,3,05/22/2016 17:14:29,Argos,0,543,NP,,401677280.47,05/22/2016 17:08:28,1,8,0,-132,401677280.47,-48.42907,-25.47996,-48.42907,-25.47996,58,3,170,205,141,110,221,75,182,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47996,-48.42907,3,05/22/2016 17:14:29,Argos,0,543,NP,,401677280.47,05/22/2016 17:10:44,2,8,0,-132,401677280.47,-48.42907,-25.47996,-48.42907,-25.47996,58,3,170,205,141,110,221,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47996,-48.42907,3,05/22/2016 17:14:29,Argos,0,543,NP,,401677280.47,05/22/2016 17:11:29,1,8,0,-132,401677280.47,-48.42907,-25.47996,-48.42907,-25.47996,58,3,170,205,141,110,221,39,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47565,-48.4492,1,05/22/2016 17:14:29,Argos,0,226,NP,,401677274.91,05/22/2016 17:12:14,1,4,0,-132,401677274.91,-48.4492,-25.47565,-48.4492,-25.47565,58,3,597,4394,81,97,1609,64,177,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47565,-48.4492,1,05/22/2016 17:14:29,Argos,0,226,NP,,401677274.91,05/22/2016 17:14:30,1,4,0,-132,401677274.91,-48.4492,-25.47565,-48.4492,-25.47565,58,3,597,4394,81,97,1609,26,145,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47565,-48.4492,1,05/22/2016 17:14:29,Argos,0,226,NP,,401677274.91,05/22/2016 17:15:15,1,4,0,-132,401677274.91,-48.4492,-25.47565,-48.4492,-25.47565,58,3,597,4394,81,97,1609,38,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.47565,-48.4492,1,05/22/2016 17:14:29,Argos,0,226,NP,,401677274.91,05/22/2016 17:16:00,1,4,0,-132,401677274.91,-48.4492,-25.47565,-48.4492,-25.47565,58,3,597,4394,81,97,1609,67,174,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:51:18,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,87,16,24,22,211,246,77,223,64,64,0,47,191,226,35,251,240,204,192,27,232,0,0,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:52:03,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:52:49,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,47,79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:53:34,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,77,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:54:19,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49254,-48.43794,2,05/22/2016 18:53:11,Argos,0,226,NP,,401677282.88,05/22/2016 18:55:04,1,6,0,-124,401677282.88,-48.43794,-25.49254,-48.43794,-25.49254,58,3,319,860,118,39,445,65,48,90,11,232,156,193,106,187,75,113,20,212,4,165,16,1,255,255,204,64,0,0,,,,,,,,,
"",160105,6056,-25.49672,-48.43573,B,05/23/2016 00:11:23,Argos,0,45,MB,,401677288.26,05/23/2016 00:11:01,1,2,0,-133,401677288.26,-48.43573,-25.49672,-48.43573,-25.49672,8,3,2552,11480,567,95,4842,32,22,208,0,0,0,0,0,19,255,0,0,0,0,0,23,0,0,0,,,,,,,,,,,,,
"",160105,6056,-25.49672,-48.43573,B,05/23/2016 00:11:23,Argos,0,45,MB,,401677288.26,05/23/2016 00:11:47,1,2,0,-133,401677288.26,-48.43573,-25.49672,-48.43573,-25.49672,8,3,2552,11480,567,95,4842,68,112,90,11,232,156,193,106,187,128,187,150,210,4,205,18,19,114,28,204,192,0,0,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:25:24,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,80,80,90,11,232,156,193,106,187,145,150,21,146,4,235,20,15,94,28,204,144,0,0,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:26:19,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,32,22,208,0,0,0,0,0,19,255,0,0,0,0,0,23,0,0,0,,,,,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:27:05,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,39,119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:27:50,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,77,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:28:35,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49719,-48.40592,2,05/23/2016 04:27:33,Argos,0,282,NP,,401677285.45,05/23/2016 04:30:06,1,6,0,-127,401677285.45,-48.40592,-25.49719,-48.40592,-25.49719,58,3,461,1369,155,139,674,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50405,-48.41316,B,05/23/2016 06:04:37,Argos,0,45,NP,,401677282.6,05/23/2016 06:04:14,1,2,0,-131,401677282.6,-48.41316,-25.50405,-48.41316,-25.50405,8,3,1818,2707,1220,128,3336,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50405,-48.41316,B,05/23/2016 06:04:37,Argos,0,45,NP,,401677282.6,05/23/2016 06:05:00,1,2,0,-131,401677282.6,-48.41316,-25.50405,-48.41316,-25.50405,8,3,1818,2707,1220,128,3336,35,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49424,-48.42165,A,05/23/2016 09:00:30,Argos,0,146,NN,,401677283.29,05/23/2016 08:59:08,1,3,0,-123,401677283.29,-48.42165,-25.49424,-48.42165,-25.49424,8,3,1426,19728,103,112,4023,75,201,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49424,-48.42165,A,05/23/2016 09:00:30,Argos,0,146,NN,,401677283.29,05/23/2016 09:00:49,1,3,0,-123,401677283.29,-48.42165,-25.49424,-48.42165,-25.49424,8,3,1426,19728,103,112,4023,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49424,-48.42165,A,05/23/2016 09:00:30,Argos,0,146,NN,,401677283.29,05/23/2016 09:01:34,1,3,0,-123,401677283.29,-48.42165,-25.49424,-48.42165,-25.49424,8,3,1426,19728,103,112,4023,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49651,-48.40931,B,05/23/2016 10:10:09,Argos,0,611,SR,,401677283.16,05/23/2016 10:05:04,1,2,0,-132,401677283.16,-48.40931,-25.49651,-48.40931,-25.49651,8,3,973,6849,138,165,2737,90,80,90,11,232,156,193,106,187,168,81,23,144,191,205,123,143,66,44,82,172,49,195,,,,,,,,,
"",160105,6056,-25.49651,-48.40931,B,05/23/2016 10:10:09,Argos,0,611,SR,,401677283.16,05/23/2016 10:15:15,1,2,0,-132,401677283.16,-48.40931,-25.49651,-48.40931,-25.49651,8,3,973,6849,138,165,2737,32,22,208,0,0,0,0,0,19,255,0,8,0,0,0,23,0,0,0,,,,,,,,,,,,,
"",160105,6056,-25.49835,-48.41283,B,05/24/2016 05:57:03,Argos,0,0,NP,,401677285.92,05/24/2016 05:57:03,1,1,0,-123,401677285.92,-48.41283,-25.49835,-48.41283,-25.49835,0,3,1981,35922,109,86,5595,67,240,90,11,232,156,193,106,188,23,145,24,148,5,139,20,13,255,24,204,112,0,0,,,,,,,,,
"",160105,6056,-25.49835,-48.41283,B,05/24/2016 05:57:03,Argos,0,0,NP,,401677285.92,05/24/2016 05:57:59,1,1,0,-123,401677285.92,-48.41283,-25.49835,-48.41283,-25.49835,0,3,1981,35922,109,86,5595,32,22,224,0,0,128,0,0,0,1,1,0,0,0,0,199,0,0,0,,,,,,,,,,,,,
"",160105,6056,-25.49571,-48.41086,B,05/24/2016 09:43:42,Argos,0,0,NK,,401677286.59,05/24/2016 09:43:42,1,1,0,-133,401677286.59,-48.41086,-25.49571,-48.41086,-25.49571,8,3,2327,3294,1643,76,6575,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50075,-48.40227,A,05/24/2016 20:48:46,Argos,0,91,SR,,401677287.61,05/24/2016 20:48:01,1,3,0,-121,401677287.61,-48.40227,-25.50075,-48.40227,-25.50075,8,3,1015,19674,52,102,2857,64,208,90,11,232,156,193,106,188,83,0,150,22,5,209,20,1,240,24,204,32,0,0,,,,,,,,,
"",160105,6056,-25.50075,-48.40227,A,05/24/2016 20:48:46,Argos,0,91,SR,,401677287.61,05/24/2016 20:48:47,1,3,0,-121,401677287.61,-48.40227,-25.50075,-48.40227,-25.50075,8,3,1015,19674,52,102,2857,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50075,-48.40227,A,05/24/2016 20:48:46,Argos,0,91,SR,,401677287.61,05/24/2016 20:49:32,1,3,0,-121,401677287.61,-48.40227,-25.50075,-48.40227,-25.50075,8,3,1015,19674,52,102,2857,40,234,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50038,-48.40274,B,05/24/2016 22:06:34,Argos,0,0,NK,,401677284.92,05/24/2016 22:06:34,1,1,0,-132,401677284.92,-48.40274,-25.50038,-48.40274,-25.50038,8,3,1539,2558,926,103,4344,76,194,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50116,-48.41106,0,05/25/2016 08:37:14,Argos,0,146,NN,,401677286.73,05/25/2016 08:35:59,1,4,0,-127,401677286.73,-48.41106,-25.50116,-48.41106,-25.50116,68,3,1921,38550,95,91,5424,90,48,90,11,232,156,193,106,188,162,64,22,148,6,3,22,11,248,23,204,0,0,0,,,,,,,,,
"",160105,6056,-25.50116,-48.41106,0,05/25/2016 08:37:14,Argos,0,146,NN,,401677286.73,05/25/2016 08:36:54,1,4,0,-127,401677286.73,-48.41106,-25.50116,-48.41106,-25.50116,68,3,1921,38550,95,91,5424,32,23,0,0,0,0,0,0,0,255,0,0,0,0,0,50,0,0,0,,,,,,,,,,,,,
"",160105,6056,-25.50116,-48.41106,0,05/25/2016 08:37:14,Argos,0,146,NN,,401677286.73,05/25/2016 08:37:40,1,4,0,-127,401677286.73,-48.41106,-25.50116,-48.41106,-25.50116,68,3,1921,38550,95,91,5424,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50116,-48.41106,0,05/25/2016 08:37:14,Argos,0,146,NN,,401677286.73,05/25/2016 08:38:25,1,4,0,-127,401677286.73,-48.41106,-25.50116,-48.41106,-25.50116,68,3,1921,38550,95,91,5424,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49904,-48.41088,B,05/25/2016 18:12:56,Argos,0,0,NP,,401677285.56,05/25/2016 18:12:57,1,1,0,-129,401677285.56,-48.41088,-25.49904,-48.41088,-25.49904,8,3,3736,5248,2659,89,10563,92,208,90,11,232,156,193,106,188,200,206,150,148,6,43,20,1,237,23,204,0,0,0,,,,,,,,,
"",160105,6056,-25.49321,-48.39314,A,05/25/2016 21:10:13,Argos,0,135,NN,,401677281.09,05/25/2016 21:09:13,1,3,0,-128,401677281.09,-48.39314,-25.49321,-48.39314,-25.49321,8,3,396,2957,52,60,1077,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49321,-48.39314,A,05/25/2016 21:10:13,Argos,0,135,NN,,401677281.09,05/25/2016 21:09:58,1,3,0,-128,401677281.09,-48.39314,-25.49321,-48.39314,-25.49321,8,3,396,2957,52,60,1077,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49321,-48.39314,A,05/25/2016 21:10:13,Argos,0,135,NN,,401677281.09,05/25/2016 21:11:28,1,3,0,-128,401677281.09,-48.39314,-25.49321,-48.39314,-25.49321,8,3,396,2957,52,60,1077,73,130,90,139,232,156,193,106,188,212,183,153,20,6,63,20,1,248,23,203,176,0,0,,,,,,,,,
"",160105,6056,-25.50334,-48.37382,B,05/26/2016 08:27:41,Argos,0,0,NN,,401677285.35,05/26/2016 08:27:42,1,1,0,-132,401677285.35,-48.37382,-25.50334,-48.37382,-25.50334,8,3,2802,6672,1176,89,7921,46,58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49033,-48.37352,B,05/26/2016 08:35:50,Argos,0,0,SR,,401677279.43,05/26/2016 08:35:51,1,1,0,-129,401677279.43,-48.37352,-25.49033,-48.37352,-25.49033,8,3,2873,6217,1327,88,8122,66,187,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.49689,-48.38993,B,05/26/2016 11:19:00,Argos,0,0,MA,,401677288.17,05/26/2016 11:19:01,1,1,0,-128,401677288.17,-48.38993,-25.49689,-48.38993,-25.49689,8,3,2982,6087,1460,101,8430,89,144,90,11,232,156,193,106,189,45,48,215,212,6,143,20,5,137,23,203,176,0,0,,,,,,,,,
"",160105,6056,-25.5032,-48.38697,A,05/26/2016 12:53:38,Argos,0,379,MA,,401677286.08,05/26/2016 12:50:09,1,3,1,-117,401677286.08,-48.38697,-25.5032,-48.38697,-25.5032,8,3,155,345,69,91,286,67,144,90,11,232,156,193,106,189,51,34,215,84,6,173,20,1,245,21,204,0,0,8,,,,,,,,,
"",160105,6056,-25.5032,-48.38697,A,05/26/2016 12:53:38,Argos,0,379,MA,,401677286.08,05/26/2016 12:54:17,1,3,1,-117,401677286.08,-48.38697,-25.5032,-48.38697,-25.5032,8,3,155,345,69,91,286,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.5032,-48.38697,A,05/26/2016 12:53:38,Argos,0,379,MA,,401677286.08,05/26/2016 12:56:28,1,3,1,-117,401677286.08,-48.38697,-25.5032,-48.38697,-25.5032,8,3,155,345,69,91,286,39,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",160105,6056,-25.50892,-48.38108,B,05/26/2016 18:00:58,Argos,0,0,NP,,401677286.97,05/26/2016 18:00:58,1,1,0,-137,401677286.97,-48.38108,-25.50892,-48.38108,-25.50892,8,3,2402,2669,2160,90,6788,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
