DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
160105,160105,UT,10:54:30 22-May-2016,,,A,-25.5772,-48.3588,CRC 1.4,10:54:30 22-May-2016,Status,81,240,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,12:40:11 22-May-2016,,,3,-25.4803,-48.4254,CRC 249.146,12:40:10 22-May-2016,Status,95,48,90,11,232,28,193,106,187,50,130,151,20,3,97,20,1,255,255,205,16,0,0,,,,,,,,,
160105,160105,UT,17:14:30 22-May-2016,,,3,-25.4800,-48.4291,CRC 10.12,17:14:30 22-May-2016,Status,26,145,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,18:51:18 22-May-2016,,,2,-25.4925,-48.4379,CRC 184.152,18:51:18 22-May-2016,Status,87,16,24,22,211,246,77,223,64,64,0,47,191,226,35,251,240,204,192,27,232,0,0,,,,,,,,,
160105,160105,UT,10:05:04 23-May-2016,,,B,-25.4965,-48.4093,CRC 210.183,10:05:04 23-May-2016,Status,90,80,90,11,232,156,193,106,187,168,81,23,144,191,205,123,143,66,44,82,172,49,195,,,,,,,,,
160105,160105,UT,10:15:15 23-May-2016,,,B,-25.4965,-48.4093,CRC 167.23,,,32,22,208,0,0,0,0,0,19,255,0,8,0,0,0,23,0,0,0,,,,,,,,,,,,,
160105,160105,UT,05:57:59 24-May-2016,,,B,-25.4984,-48.4128,CRC 75.199,,,32,22,224,0,0,128,0,0,0,1,1,0,0,0,0,199,0,0,0,,,,,,,,,,,,,
160105,160105,UT,21:11:28 25-May-2016,,,A,-25.4932,-48.3931,CRC 76.177,21:11:28 25-May-2016,Status,73,130,90,139,232,156,193,106,188,212,183,153,20,6,63,20,1,248,23,203,176,0,0,,,,,,,,,
160105,160105,UT,12:50:09 26-May-2016,,,A,-25.5032,-48.3870,CRC 28.224,12:50:11 26-May-2016,Status,67,144,90,11,232,156,193,106,189,51,34,215,84,6,173,20,1,245,21,204,0,0,8,,,,,,,,,
160105,160105,UT,19:47:01 26-May-2016,,,B,-25.4924,-48.4065,CRC 9.85,19:47:01 26-May-2016,Status,65,48,90,11,232,181,171,74,181,107,84,210,149,105,37,172,178,229,176,183,94,253,166,,,,,,,,,
160105,160105,UT,02:09:06 27-May-2016,,,B,-25.4907,-48.4085,CRC 0.10,02:09:06 27-May-2016,Status,32,23,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,11:46:55 27-May-2016,,,B,-25.5138,-48.3865,CRC 0.3,11:46:55 27-May-2016,Status,32,162,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,19:48:13 29-May-2016,,,3,-25.4989,-48.4077,CRC 6.5,19:48:13 29-May-2016,Status,70,192,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,19:55:28 29-May-2016,,,3,-25.4989,-48.4077,CRC 124.119,19:55:33 29-May-2016,Status,79,144,90,11,168,156,193,106,190,207,120,87,18,8,81,20,1,198,23,203,240,0,0,,,,,,,,,
160105,160105,UT,19:52:48 29-May-2016,,,B,-25.4989,-48.4076,CRC 6.14,19:52:48 29-May-2016,Status,38,39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,04:50:26 30-May-2016,,,A,-25.5000,-48.4084,CRC 2.1,04:50:26 30-May-2016,Status,34,68,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,UT,06:37:57 30-May-2016,,,B,-25.5005,-48.4077,CRC 108.61,,,32,23,160,0,0,0,0,0,0,255,0,0,8,0,0,61,0,0,0,,,,,,,,,,,,,
