DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160105,160105,0.500000,UT,,,12:56:47 21-May-2016,,B,-25.5719,-48.3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,12:57:32 21-May-2016,,B,-25.5719,-48.3659,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,10:40:08 22-May-2016,,B,-25.5859,-48.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,10:56:46 22-May-2016,,A,-25.5772,-48.3588,,,,,,,,,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,10:59:48 22-May-2016,,A,-25.5772,-48.3588,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,12:34:54 22-May-2016,,3,-25.4803,-48.4254,,,,,,,,,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,12:36:24 22-May-2016,12:36:24 22-May-2016,0,3,-25.4803,-48.4254,CRC,,,,427,3.450,,,21.25,,,,,,,,,,,,,,255,255,,,,,,,,,0,,,
160105,160105,0.500000,UT,,,12:37:10 22-May-2016,,3,-25.4803,-48.4254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,12:38:41 22-May-2016,,3,-25.4803,-48.4254,,,,,,,,,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,1.00a,,12:39:26 22-May-2016,,3,-25.4803,-48.4254,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,12:41:42 22-May-2016,,3,-25.4803,-48.4254,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:08:28 22-May-2016,,3,-25.4800,-48.4291,,,,,,,,,20.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:10:44 22-May-2016,,3,-25.4800,-48.4291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:11:29 22-May-2016,,3,-25.4800,-48.4291,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:12:14 22-May-2016,,3,-25.4800,-48.4291,,,,,,,,,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:15:15 22-May-2016,,3,-25.4800,-48.4291,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,17:16:00 22-May-2016,,3,-25.4800,-48.4291,,,,,,,,,19.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
160105,160105,0.500000,UT,,,18:52:03 22-May-2016,,2,-25.4925,-48.4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
