Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6056,160105,3,NP,B,3,14-Mar-2018,19:58:59,-25.5802,-48.3539,Speed to avg loc 21 x median,401677321,-138,,0,14-Mar-2018,19:58:59,-25.5802,-48.3539,,5927,6181,5683,80,,,11,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NK,B,4,14-Mar-2018,20:53:17,-25.5294,-48.3410,,401677322,-130,8,0,14-Mar-2018,20:52:55,-25.5294,-48.3410,46,3429,10706,1098,105,,,91,172,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,23,NK,B,4,14-Mar-2018,20:53:17,-25.5294,-48.3410,,401677322,-130,8,0,14-Mar-2018,20:53:41,-25.5294,-48.3410,46,3429,10706,1098,105,,,81,16,131,219,232,156,200,220,199,83,89,214,84,21,91,18,1,255,255,212,176,0,0,,,,,,,,,
6056,160105,3,SR,B,5,14-Mar-2018,21:31:30,-25.5557,-48.3265,Speed to avg loc 21 x median,401677327,-128,8,0,14-Mar-2018,21:31:08,-25.5557,-48.3265,45,2197,20997,229,110,,,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,SR,B,5,14-Mar-2018,21:31:30,-25.5557,-48.3265,Speed to avg loc 21 x median,401677327,-128,8,0,14-Mar-2018,21:31:53,-25.5557,-48.3265,45,2197,20997,229,110,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NN,B,6,14-Mar-2018,22:44:42,-25.5513,-48.3168,Speed to avg loc 22 x median,401677322,-137,8,0,14-Mar-2018,22:44:42,-25.5513,-48.3168,,1836,3819,882,108,,,26,179,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,MA,B,7,14-Mar-2018,23:35:44,-25.5701,-48.3132,Speed to avg loc 25 x median,401677324,-127,8,0,14-Mar-2018,23:35:12,-25.5701,-48.3132,64,1815,6262,526,100,,,79,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,MA,B,7,14-Mar-2018,23:35:44,-25.5701,-48.3132,Speed to avg loc 25 x median,401677324,-127,8,0,14-Mar-2018,23:36:16,-25.5701,-48.3132,64,1815,6262,526,100,,,90,185,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,MA,B,8,15-Mar-2018,12:34:09,-25.5881,-48.2232,Speed to avg loc 40 x median,401677322,-127,,0,15-Mar-2018,12:34:09,-25.5881,-48.2232,,3656,15423,866,106,,,109,139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,SR,B,9,15-Mar-2018,19:20:30,-25.5520,-48.3371,,401677324,-133,8,0,15-Mar-2018,19:20:03,-25.5520,-48.3371,55,2050,6535,643,30,,,75,88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,23,SR,B,9,15-Mar-2018,19:20:30,-25.5520,-48.3371,,401677324,-133,8,0,15-Mar-2018,19:20:58,-25.5520,-48.3371,55,2050,6535,643,30,,,79,208,131,219,232,156,200,220,199,205,78,85,20,21,201,20,1,150,43,214,16,255,128,,,,,,,,,
6056,160105,3,NP,B,10,15-Mar-2018,19:47:55,-25.5526,-48.3377,,401677329,-139,6,0,15-Mar-2018,19:47:55,-25.5526,-48.3377,,1811,3670,893,33,,,85,229,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,SR,B,11,15-Mar-2018,20:56:11,-25.5541,-48.3360,,401677324,-126,8,0,15-Mar-2018,20:56:11,-25.5541,-48.3360,,2046,3062,1366,38,,,65,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NN,B,12,15-Mar-2018,22:33:28,-25.5538,-48.3335,Speed to avg loc 20 x median,401677326,-135,8,0,15-Mar-2018,22:33:28,-25.5538,-48.3335,,2270,2611,1972,46,,,81,241,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NK,B,13,16-Mar-2018,09:26:19,-25.5629,-48.3386,Speed to avg loc 21 x median,401677328,-121,8,0,16-Mar-2018,09:26:20,-25.5629,-48.3386,,3167,7520,1333,106,,,67,64,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,SR,B,14,16-Mar-2018,10:59:33,-25.5712,-48.3246,Speed to avg loc 23 x median,401677324,-134,8,0,16-Mar-2018,10:59:33,-25.5712,-48.3246,,3112,9872,981,97,,,90,40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,MA,B,15,16-Mar-2018,13:50:59,-25.5749,-48.3195,Speed to avg loc 25 x median,401677323,-130,8,0,16-Mar-2018,13:50:59,-25.5749,-48.3195,,3458,9267,1290,98,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NP,B,16,16-Mar-2018,18:05:23,-25.5700,-48.3367,Speed to avg loc 22 x median,401677326,-132,8,0,16-Mar-2018,17:57:32,-25.5700,-48.3367,471,1655,24518,111,4,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NP,B,16,16-Mar-2018,18:05:23,-25.5700,-48.3367,Speed to avg loc 22 x median,401677326,-132,8,0,16-Mar-2018,18:05:23,-25.5700,-48.3367,471,1655,24518,111,4,,,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NP,B,17,16-Mar-2018,19:40:55,-25.5620,-48.3385,Speed to avg loc 20 x median,401677333,-131,8,0,16-Mar-2018,19:40:56,-25.5620,-48.3385,,1961,3513,1094,11,,,66,69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NK,B,18,16-Mar-2018,21:51:01,-25.5594,-48.3378,Speed to avg loc 20 x median,401677326,-123,8,0,16-Mar-2018,21:51:02,-25.5594,-48.3378,,2493,3310,1877,12,,,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NN,B,19,16-Mar-2018,22:23:53,-25.5492,-48.3339,,401677326,-129,8,0,16-Mar-2018,22:23:31,-25.5492,-48.3339,45,1465,3550,604,104,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,23,NN,B,19,16-Mar-2018,22:23:53,-25.5492,-48.3339,,401677326,-129,8,0,16-Mar-2018,22:24:16,-25.5492,-48.3339,45,1465,3550,604,104,,,82,208,131,219,232,156,200,220,200,89,132,21,20,23,49,18,1,255,41,212,112,255,128,,,,,,,,,
6056,160105,3,NN,B,20,17-Mar-2018,00:10:56,-25.5495,-48.3379,,401677327,-130,8,0,17-Mar-2018,00:10:21,-25.5495,-48.3379,71,1771,13620,230,57,,,103,137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,23,NN,B,20,17-Mar-2018,00:10:56,-25.5495,-48.3379,,401677327,-130,8,0,17-Mar-2018,00:11:32,-25.5495,-48.3379,71,1771,13620,230,57,,,83,144,131,219,232,156,200,220,200,128,184,21,22,23,69,18,1,104,38,212,160,247,132,,,,,,,,,
6056,160105,3,NP,B,21,17-Mar-2018,05:22:56,-25.4886,-48.3556,,401677342,-135,8,0,17-Mar-2018,05:22:31,-25.4886,-48.3556,51,2463,8096,749,88,,,98,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NP,B,21,17-Mar-2018,05:22:56,-25.4886,-48.3556,,401677342,-135,8,0,17-Mar-2018,05:23:22,-25.4886,-48.3556,51,2463,8096,749,88,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,3,NP,B,22,17-Mar-2018,07:02:57,-25.4757,-48.3725,,401677310,-129,8,0,17-Mar-2018,07:02:57,-25.4757,-48.3725,,2027,3664,1121,80,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,160105,23,MA,B,23,17-Mar-2018,13:31:00,-25.4592,-48.4195,,401677337,-129,8,0,17-Mar-2018,13:31:00,-25.4592,-48.4195,,4273,5854,3117,110,,,92,16,131,219,232,252,200,92,200,181,240,86,148,24,13,18,1,87,38,212,240,255,128,,,,,,,,,
6056,160105,23,SR,B,24,17-Mar-2018,21:36:18,-25.4774,-48.4041,,401677335,-132,8,0,17-Mar-2018,21:36:18,-25.4774,-48.4041,,3816,9504,1532,99,,,87,208,131,219,232,156,200,220,200,86,68,213,146,29,33,144,3,127,153,6,8,166,222,,,,,,,,,
6056,160105,23,NK,B,25,17-Mar-2018,23:04:24,-25.4820,-48.4225,,401677323,-128,8,0,17-Mar-2018,23:04:24,-25.4820,-48.4225,,3862,18215,818,95,,,65,208,131,219,232,156,200,220,200,220,70,87,82,24,53,18,2,150,165,74,86,165,106,,,,,,,,,
6056,160105,31,MA,B,26,18-Mar-2018,00:14:43,-25.4824,-48.4259,,401677323,-134,8,0,18-Mar-2018,00:14:43,-25.4824,-48.4259,,3208,8833,1165,93,,,32,142,32,0,0,0,0,0,0,2,31,255,4,0,0,69,142,64,0,0,0,0,0,0,0,171,255,0,0,0,123,
6056,160105,31,NP,B,27,18-Mar-2018,05:08:06,-25.4826,-48.4511,,401677326,-135,8,0,18-Mar-2018,05:08:06,-25.4826,-48.4511,,3465,8109,1480,106,,,32,142,32,0,0,0,0,0,0,0,27,255,0,0,0,68,142,0,0,0,0,6,182,181,117,22,252,21,119,255,12,
