,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Luquinha,02-Dec-2020,18:31:00,6,-7198.000000,39,6,1,6,-3.8514,-32.4511,16:31:02.06 02-Dec-2020,FastGPS,-3.8514,-32.4511,,,15.1,0.1,,,,15,23,29107,,,,12,22402,,,,20,17191,,,,18,20621,,,,25,23444,,,,29,31787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,02-Dec-2020,20:01:00,4,-7198.000000,40,8,1,7,-3.8528,-32.4468,18:01:01.11 02-Dec-2020,FastGPS,-3.8528,-32.4468,,,4.4,-0.9,,,,15,18,10055,,,,25,4581,,,,23,2930,,,,20,14532,,,,29,11190,,,,10,6559,,,,15,16582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,02-Dec-2020,21:05:45,1,-7198.000000,41,8,0,7,-3.8544,-32.4453,19:05:47.07 02-Dec-2020,FastGPS,-3.8544,-32.4453,,,13.9,0.1,,,,15,18,17305,,,,32,30806,,,,15,12285,,,,20,15184,,,,25,30507,,,,10,18770,,,,29,15392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,02-Dec-2020,22:39:05,1,-7198.000000,42,9,0,4,-3.8528,-32.4474,18:25:12 02-Dec-2020,User,-3.8545,-32.4464,,,0.1,-0.4,,,,15,10,21592,,,,23,4172,,,,20,6788,,,,29,29803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,02:06:49,2,-7198.000000,43,13,0,6,-3.8539,-32.4465,00:06:51.56 03-Dec-2020,FastGPS,-3.8539,-32.4465,,1,3.1,0.6,,,,15,10,26364,,,,31,32325,,,,21,18158,,,,26,31732,,,,32,31892,,,,11,7877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,07:19:25,3,-7198.000000,44,21,0,6,-3.8542,-32.4460,05:19:27.2 03-Dec-2020,FastGPS,-3.8542,-32.4460,,1,9.2,0.2,,,,15,9,32061,,,,4,6330,,,,8,23824,,,,14,7008,,,,11,19688,,,,28,6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,09:09:18,2,-7198.000000,45,22,0,6,-3.8540,-32.4461,07:09:20.09 03-Dec-2020,FastGPS,-3.8540,-32.4461,,,8.4,0.1,,,,15,28,7925,,,,7,30969,,,,14,15098,,,,30,28456,,,,17,8258,,,,8,14609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,10:11:19,1,-7198.000000,46,22,0,6,-3.8491,-32.4392,08:11:21.05 03-Dec-2020,FastGPS,-3.8491,-32.4392,,,5.9,0.0,,,,15,30,30842,,,,14,686,,,,28,32300,,,,7,19204,,,,9,9517,,,,5,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,17:05:33,1,-7198.000000,52,23,0,5,-3.8493,-32.4431,15:05:34.55 03-Dec-2020,FastGPS,-3.8493,-32.4431,,,1.6,-0.5,,,,15,2,26223,,,,25,30440,,,,12,5066,,,,15,3868,,,,29,18408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,18:07:59,4,-7198.000000,53,23,0,7,-3.8448,-32.4412,16:08:00.58 03-Dec-2020,FastGPS,-3.8448,-32.4412,,,7.1,-0.4,,,,15,20,10726,,,,5,11817,,,,18,17499,,,,23,18191,,,,25,5636,,,,29,28760,,,,12,29722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,19:14:17,2,-7198.000000,54,23,0,7,-3.8535,-32.4448,17:14:18.57 03-Dec-2020,FastGPS,-3.8535,-32.4448,,,16.0,-0.4,,,,15,15,18123,,,,13,6010,,,,12,26518,,,,23,10451,,,,20,11177,,,,10,19232,,,,29,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,03-Dec-2020,20:17:57,2,-7198.000000,55,23,0,8,-3.8533,-32.4449,18:17:58.56 03-Dec-2020,FastGPS,-3.8533,-32.4449,,,10.5,-0.4,,,,15,10,17778,,,,25,15848,,,,18,28880,,,,26,13644,,,,29,13838,,,,32,28247,,,,20,30122,,,,12,14782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
