"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Gustavo",205539,7007,,,,,,,0,NK,,401650000,12/10/2020 21:36:12,1,1,0,-129,401650000,,,,,,,,,,,,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
"Gustavo",205539,7007,-4.69267,-36.1321,1,12/10/2020 21:40:41,Argos,0,540,NK,,401677534.03,12/10/2020 21:45:12,4,4,1,-117,401677534.03,-36.1321,-4.69267,-36.1321,-4.69267,50,0,1076,8255,140,77,833,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
"Gustavo",205539,7007,-3.84402,-32.40114,1,12/10/2020 21:40:41,Argos,0,810,NK,,401677525.53,12/10/2020 21:46:42,9,9,1,-117,401677525.53,-32.40114,-3.84402,-32.40114,-3.84402,48,3,922,4678,181,77,321,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
"Gustavo",205539,7007,-3.84878,-32.42332,1,12/10/2020 21:52:41,Argos,0,180,NP,,401677534.03,12/10/2020 21:54:12,2,2,0,-127,401677534.03,-32.42332,-3.84878,-67.54427,-12.13655,56,4,557,872,355,15,547,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
"Gustavo",205539,7007,-3.84738,-32.4148,3,12/10/2020 23:04:42,Argos,0,630,MA,,401677523.99,12/10/2020 22:57:12,1,7,3,-114,401677523.99,-32.4148,-3.84738,-32.4148,-3.84738,58,3,146,272,77,77,181,6,3,21,110,74,92,99,50,167,165,64,5,0,83,255,253,68,0,2,128,32,0,1,127,192,0,0,,,,,
"Gustavo",205539,7007,-3.84738,-32.4148,3,12/10/2020 23:04:42,Argos,0,630,MA,,401677523.99,12/10/2020 23:00:12,2,7,3,-114,401677523.99,-32.4148,-3.84738,-32.4148,-3.84738,58,3,146,272,77,77,181,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
"Gustavo",205539,7007,-3.84881,-32.42338,B,12/10/2020 23:04:42,Argos,0,0,MA,,401677524.84,12/10/2020 23:04:42,1,1,0,-121,401677524.84,-32.42338,-3.84881,-32.42338,-3.84881,8,3,2877,2904,2849,8,3326,119,222,227,21,101,96,23,72,161,183,222,114,6,229,255,72,1,13,23,92,244,12,76,,,,,,,,,
"Gustavo",205539,7007,-3.84392,-32.41964,A,12/10/2020 23:12:11,Argos,0,180,NN,,401677519.97,12/10/2020 23:12:12,1,3,0,-128,401677519.97,-32.41964,-3.84392,-32.41964,-3.84392,6,3,958,1403,654,44,923,116,88,211,21,92,71,27,137,33,30,186,34,141,205,236,152,2,53,65,252,42,163,158,1,163,128,1,,,,,
"Gustavo",205539,7007,-3.84392,-32.41964,A,12/10/2020 23:12:11,Argos,0,180,NN,,401677519.97,12/10/2020 23:13:42,1,3,0,-128,401677519.97,-32.41964,-3.84392,-32.41964,-3.84392,6,3,958,1403,654,44,923,119,222,227,21,101,96,23,72,161,183,222,114,6,229,255,72,33,13,23,28,244,6,76,,,,,,,,,
"Gustavo",205539,7007,-3.84392,-32.41964,A,12/10/2020 23:12:11,Argos,0,180,NN,,401677519.97,12/10/2020 23:15:12,1,3,0,-128,401677519.97,-32.41964,-3.84392,-32.41964,-3.84392,6,3,958,1403,654,44,923,116,88,211,21,85,96,24,21,207,97,69,17,70,230,246,76,1,26,160,254,21,81,207,0,209,192,0,,,,,
