,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Black 4.4,10-Jan-2021,21:39:00,19,2.000000,30,5,0,6,,,,,,,,,,,,,,15,27,14355,,,,8,28834,,,,16,21885,,,,11,2021,,,,4,29174,,,,22,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,10-Jan-2021,22:39:00,6,2.000000,31,5,1,6,,,,,,,,,,,,,,15,11,4088,,,,27,19541,,,,8,28884,,,,21,9828,,,,1,12858,,,,4,28743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,10-Jan-2021,23:39:00,7,2.000000,32,5,1,5,,,,,,,,,,,,,,15,21,28918,,,,1,20498,,,,7,27187,,,,11,8979,,,,8,16382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,00:39:00,1,2.000000,33,5,1,6,,,,,,,,,,,,,,15,7,31796,,,,1,19755,,,,11,23098,,,,9,13427,,,,21,31070,,,,8,19196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,02:39:00,1,2.000000,35,5,1,4,,,,,,,,,,,,,,15,3,22298,,,,14,25131,,,,6,24944,,,,28,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,03:39:00,1,2.000000,36,5,1,4,,,,,,,,,,,,,,15,28,1805,,,,14,7102,,,,30,20619,,,,17,11947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,05:54:00,1,2.000000,37,10,1,4,,,,,,,,,,,,,,15,19,9623,,,,6,16834,,,,17,28829,,,,5,14010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,07:09:00,1,2.000000,38,11,1,5,,,,,,,,,,,,,,15,6,26518,,,,5,17536,,,,19,18562,,,,13,22587,,,,2,15068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,16:45:00,6,2.000000,40,11,0,8,,,,,,,,,,,,,,15,32,12984,,,,29,24137,,,,20,7766,,,,25,31127,,,,16,26345,,,,23,17388,,,,10,23744,,,,26,28370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,17:45:00,6,2.000000,41,11,1,4,,,,,,,,,,,,,,15,32,26650,,,,10,358,,,,18,11657,,,,26,8006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,18:45:00,4,2.000000,42,11,1,7,,,,,,,,,,,,,,15,32,943,,,,18,5939,,,,16,20170,,,,31,9964,,,,27,16160,,,,26,7787,,,,10,22910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,19:45:19,2,2.000000,43,11,0,5,,,,,,,,,,,,,,15,18,3754,,,,26,21564,,,,27,13715,,,,31,17916,,,,20,13480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,22:06:54,2,2.000000,45,,0,9,,,,,,,,,,,,,,15,21,19926,,,,11,16345,,,,4,18516,,,,31,21304,,,,27,4490,,,,8,25706,,,,10,10509,,,,22,26514,,,,1,10572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-2021,23:46:17,1,2.000000,46,12,0,4,,,,,,,,,,,,,,15,26,25775,,,,22,19954,,,,16,8909,,,,3,30568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-2021,00:54:01,1,2.000000,47,,0,9,,,,,,,,,,,,,,15,4,27998,,,,16,11378,,,,3,13255,,,,21,27904,,,,9,1649,,,,11,27893,,,,26,25783,,,,1,4518,,,,22,27605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-2021,02:44:02,3,2.000000,48,14,0,7,,,,,,,,,,,,,,15,9,24589,,,,7,20180,,,,22,31796,,,,3,27265,,,,8,29835,,,,4,8472,,,,30,21666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-2021,04:31:42,2,2.000000,49,,0,9,,,,,,,,,,,,,,15,30,22021,,,,7,6520,,,,28,5184,,,,14,4702,,,,4,13608,,,,9,19347,,,,11,12930,,,,8,7342,,,,17,17218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-2021,08:10:20,1,2.000000,50,,0,9,,,,,,,,,,,,,,15,2,16717,,,,6,21589,,,,13,7978,,,,7,6733,,,,30,17531,,,,19,15623,,,,15,26108,,,,5,31094,,,,17,22814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
