DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Buddy,205544,Mk10,19:34:00 11-Jan-2021,User,,-3.8720,-32.4352,,,,,,,,,,
Buddy,205544,Mk10,20:01:50.72 11-Jan-2021,FastGPS,8,-3.8730,-32.4301,,,,,,,,,,
Buddy,205544,Mk10,20:20:03 11-Jan-2021,Argos,A,-3.8591,-32.4444,596,2810,126,129,,,,,,
Buddy,205544,Mk10,20:30:59 11-Jan-2021,Argos,B,-3.8667,-32.4431,834,1194,581,98,,,,,,
Buddy,205544,Mk10,20:51:55 11-Jan-2021,Argos,B,-3.8672,-32.4431,1171,1352,1014,92,,,,,,
Buddy,205544,Mk10,21:26:41.68 11-Jan-2021,FastGPS,6,-3.8722,-32.4272,,,,,,,,,,
Buddy,205544,Mk10,22:54:05.72 11-Jan-2021,FastGPS,5,-3.8722,-32.4275,,,,,,,,,,
Buddy,205544,Mk10,23:26:34 11-Jan-2021,Argos,B,-3.8580,-32.4485,2867,2996,2742,114,,,,,,
Buddy,205544,Mk10,00:02:09 12-Jan-2021,Argos,B,-3.8764,-32.4402,1360,42599,43,76,,,,,,
Buddy,205544,Mk10,00:32:18.73 12-Jan-2021,FastGPS,6,-3.8718,-32.4272,,,,,,,,,,
Buddy,205544,Mk10,00:50:28 12-Jan-2021,Argos,B,-3.8801,-32.4390,1646,3900,694,76,,,,,,
Buddy,205544,Mk10,06:52:42.94 12-Jan-2021,FastGPS,4,-3.8712,-32.4258,,,,,,,,,,
Buddy,205544,Mk10,08:26:51.25 12-Jan-2021,FastGPS,8,-3.8731,-32.4303,,,,,,,,,,
Buddy,205544,Mk10,08:28:06 12-Jan-2021,Argos,A,-3.8476,-32.4331,2024,32066,127,13,,,,,,
Buddy,205544,Mk10,08:40:16 12-Jan-2021,Argos,A,-3.8744,-32.4316,236,696,80,126,,,,,,
Buddy,205544,Mk10,08:54:31 12-Jan-2021,Argos,3,-3.8724,-32.4344,154,224,106,143,,,,,,
Buddy,205544,Mk10,09:23:28 12-Jan-2021,Argos,A,-3.8707,-32.4333,350,1577,77,127,,,,,,
Buddy,205544,Mk10,09:29:31.75 12-Jan-2021,FastGPS,8,-3.8715,-32.4347,,,,,,,,,,
Buddy,205544,Mk10,10:09:58 12-Jan-2021,Argos,B,-3.8607,-32.4344,799,1423,448,96,,,,,,
Buddy,205544,Mk10,10:37:16 12-Jan-2021,Argos,B,-3.8791,-32.4363,1361,8371,221,97,,,,,,
Buddy,205544,Mk10,10:37:16 12-Jan-2021,Argos,B,-3.8644,-32.4255,1588,2032,1240,58,,,,,,
Buddy,205544,Mk10,11:05:05 12-Jan-2021,Argos,B,-3.8755,-32.4275,774,4899,122,122,,,,,,
Buddy,205544,Mk10,11:32:41.73 12-Jan-2021,FastGPS,5,-3.8714,-32.4347,,,,,,,,,,
Buddy,205544,Mk10,12:16:11 12-Jan-2021,Argos,B,-3.8718,-32.4285,931,9714,89,92,,,,,,
Buddy,205544,Mk10,12:33:42.73 12-Jan-2021,FastGPS,7,-3.8731,-32.4358,,,,,,,,,,
Buddy,205544,Mk10,15:55:19.75 12-Jan-2021,FastGPS,7,-3.8744,-32.4320,,,,,,,,,,
Buddy,205544,Mk10,16:57:04.73 12-Jan-2021,FastGPS,6,-3.8714,-32.4344,,,,,,,,,,
Buddy,205544,Mk10,18:15:36.74 12-Jan-2021,FastGPS,8,-3.8727,-32.4352,,,,,,,,,,
Buddy,205544,Mk10,20:38:41 12-Jan-2021,Argos,B,-3.8688,-32.4299,2210,6805,717,79,,,,,,
Buddy,205544,Mk10,21:04:59 12-Jan-2021,Argos,B,-3.8684,-32.4271,2295,6457,815,80,,,,,,
Buddy,205544,Mk10,22:01:18 12-Jan-2021,Argos,B,-3.8656,-32.4231,2231,4625,1076,68,,,,,,
Buddy,205544,Mk10,22:28:53.32 12-Jan-2021,FastGPS,5,-3.8715,-32.4264,,,,,,,,,,
Buddy,205544,Mk10,23:46:42 12-Jan-2021,Argos,B,-3.8638,-32.4214,2581,4069,1636,70,,,,,,
Buddy,205544,Mk10,00:55:15 13-Jan-2021,Argos,B,-3.8635,-32.4219,2639,3502,1988,65,,,,,,
Buddy,205544,Mk10,07:39:10.62 13-Jan-2021,FastGPS,4,-3.8709,-32.4277,,,,,,,,,,
Buddy,205544,Mk10,08:19:45 13-Jan-2021,Argos,2,-3.8723,-32.4376,318,3532,28,64,,,,,,
Buddy,205544,Mk10,08:26:15 13-Jan-2021,Argos,B,-3.8725,-32.4357,326,903,117,170,,,,,,
Buddy,205544,Mk10,08:48:51.27 13-Jan-2021,FastGPS,9,-3.8708,-32.4349,,,,,,,,,,
Buddy,205544,Mk10,09:07:55 13-Jan-2021,Argos,2,-3.8740,-32.4341,412,520,325,60,,,,,,
Buddy,205544,Mk10,09:40:44 13-Jan-2021,Argos,B,-3.8741,-32.4337,2292,2301,2282,70,,,,,,
Buddy,205544,Mk10,09:53:50.05 13-Jan-2021,FastGPS,4,-3.8727,-32.4311,,,,,,,,,,
Buddy,205544,Mk10,10:22:39 13-Jan-2021,Argos,B,-3.8742,-32.4333,2811,2818,2802,93,,,,,,
Buddy,205544,Mk10,10:45:43 13-Jan-2021,Argos,B,-3.8726,-32.4401,990,1574,622,9,,,,,,
Buddy,205544,Mk10,11:01:44.78 13-Jan-2021,FastGPS,6,-3.8743,-32.4368,,,,,,,,,,
Buddy,205544,Mk10,11:31:18 13-Jan-2021,Argos,B,-3.8728,-32.4400,1280,1471,1113,11,,,,,,
