DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
Ravi,226066,,Mk10,21:00:00 29-Jan-2022,,,,0.0,28.1,Status
Ravi,226066,,Mk10,08:00:00 01-Feb-2022,,,,0.0,28.0,Status
Ravi,226066,,Mk10,13:00:00 02-Feb-2022,,,,0.0,28.2,Status
Ravi,226066,,Mk10,21:00:00 02-Feb-2022,,,,0.0,28.1,Status
Ravi,226066,,Mk10,11:00:00 03-Feb-2022,,,,0.0,28.0,Status
Ravi,226066,,Mk10,20:00:00 08-Feb-2022,,,,0.0,28.1,Status
Ravi,226066,,Mk10,22:00:00 09-Feb-2022,,,,0.0,28.3,Status
Ravi,226066,,Mk10,00:00:00 11-Feb-2022,,,,0.0,28.2,Status
Ravi,226066,,Mk10,13:00:00 11-Feb-2022,,,,0.0,28.1,Status
Ravi,226066,,Mk10,10:00:00 14-Feb-2022,,,,0.0,28.0,Status
Ravi,226066,,Mk10,23:00:00 15-Feb-2022,,,,0.0,28.2,Status
Ravi,226066,,Mk10,20:00:00 16-Feb-2022,,,,0.0,28.6,Status
Ravi,226066,,Mk10,13:00:00 17-Feb-2022,,,,0.0,28.0,Status
Ravi,226066,,Mk10,11:00:00 21-Feb-2022,,,,0.0,28.0,Status
Ravi,226066,,Mk10,20:00:00 27-Feb-2022,,,,0.0,28.4,Status
Ravi,226066,,Mk10,21:00:00 01-Mar-2022,,,,0.0,28.3,Status
Ravi,226066,,Mk10,11:00:00 06-Mar-2022,,,,0.0,28.4,Status
Ravi,226066,,Mk10,11:00:00 09-Mar-2022,,,,0.0,28.4,Status
Ravi,226066,,Mk10,09:00:00 12-Mar-2022,,,,0.0,28.3,Status
Ravi,226066,,Mk10,20:00:00 14-Mar-2022,,,,0.0,28.7,Status
Ravi,226066,,Mk10,11:00:00 15-Mar-2022,,,,0.0,28.5,Status
Ravi,226066,,Mk10,12:00:00 26-Mar-2022,,,,0.0,28.7,Status
Ravi,226066,,Mk10,23:00:00 26-Mar-2022,,,,0.0,28.7,Status
Ravi,226066,,Mk10,21:00:00 28-Mar-2022,,,,0.0,29.0,Status
Ravi,226066,,Mk10,21:00:00 05-Apr-2022,,,,0.0,28.6,Status
Ravi,226066,,Mk10,01:00:00 07-Apr-2022,,,,0.0,28.6,Status
Ravi,226066,,Mk10,13:00:00 08-Apr-2022,,,,0.0,29.0,Status
