DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Perninha,226072,Mk10,15:52:00 20-Jan-2022,User,,-3.8716,-32.4368,,,,,,,,,,
Perninha,226072,Mk10,20:39:00 20-Jan-2022,User,,-3.9230,-32.6610,,,,,,,,,,
Perninha,226072,Mk10,20:39:09 20-Jan-2022,Argos,0,0.1280,-50.2618,3294,15728,689,68,,,,,,Speed to avg loc 614 x median
Perninha,226072,Mk10,21:06:43 20-Jan-2022,User,,-3.9230,-32.6610,,,,,,,,,,
Perninha,226072,Mk10,22:18:14 20-Jan-2022,User,,-3.9230,-32.6610,,,,,,,,,,
Perninha,226072,Mk10,23:34:54 20-Jan-2022,User,,-3.8720,-32.4381,,,,,,,,,,
Perninha,226072,Mk10,00:18:47 21-Jan-2022,Argos,Z,-0.5046,-49.9463,6746,11389,3995,63,,,,,,Speed to avg loc 599 x median
Perninha,226072,Mk10,01:03:20 21-Jan-2022,User,,-3.8720,-32.4381,,,,,,,,,,
Perninha,226072,Mk10,03:34:22 21-Jan-2022,User,,-3.8720,-32.4381,,,,,,,,,,
Perninha,226072,Mk10,04:49:52 21-Jan-2022,User,,-3.8720,-32.4381,,,,,,,,,,
Perninha,226072,Mk10,06:52:48 21-Jan-2022,User,,-3.8720,-32.4381,,,,,,,,,,
Perninha,226072,Mk10,07:28:29 21-Jan-2022,Argos,B,-3.9239,-32.6614,523,2756,99,94,,,,,,
Perninha,226072,Mk10,08:08:22 21-Jan-2022,Argos,0,-3.8851,-32.6499,7331,10981,4894,97,,,,,,
Perninha,226072,Mk10,09:10:54 21-Jan-2022,Argos,A,-3.8649,-32.4277,5822,47711,710,164,,,,,,
Perninha,226072,Mk10,09:29:06 21-Jan-2022,Argos,0,-3.8933,-32.4235,3457,5044,2368,151,,,,,,
Perninha,226072,Mk10,10:33:07 21-Jan-2022,Argos,0,-3.9025,-32.3548,6374,15586,2606,120,,,,,,
Perninha,226072,Mk10,12:01:15 21-Jan-2022,Argos,B,-3.8967,-32.2636,7605,10397,5562,122,,,,,,
Perninha,226072,Mk10,20:03:04 21-Jan-2022,Argos,0,-3.9131,-32.3602,8965,198805,404,117,,,,,,
Perninha,226072,Mk10,23:11:41 21-Jan-2022,Argos,B,-3.9114,-32.2216,9501,20460,4412,117,,,,,,
Perninha,226072,Mk10,00:29:34 22-Jan-2022,Argos,A,-3.8911,-32.5234,25071,349572,1798,72,,,,,,
Perninha,226072,Mk10,07:50:58 22-Jan-2022,Argos,B,-3.8568,-32.5027,33118,73420,14938,71,,,,,,
Perninha,226072,Mk10,08:38:42 22-Jan-2022,Argos,1,-3.8430,-32.4726,1221,5884,253,126,,,,,,
Perninha,226072,Mk10,10:48:57 22-Jan-2022,Argos,A,-3.8824,-32.4232,340,739,156,51,,,,,,
Perninha,226072,Mk10,10:50:36 22-Jan-2022,Argos,B,-3.8793,-32.4194,305,372,249,134,,,,,,
Perninha,226072,Mk10,11:47:04 22-Jan-2022,Argos,1,-3.8908,-32.4127,667,1163,381,63,,,,,,
Perninha,226072,Mk10,12:30:33 22-Jan-2022,Argos,B,-3.8971,-32.3981,2768,2813,2722,86,,,,,,
Perninha,226072,Mk10,13:22:30 22-Jan-2022,Argos,0,-3.8751,-32.3916,8221,23113,2923,91,,,,,,
Perninha,226072,Mk10,19:39:13 22-Jan-2022,Argos,0,-3.8195,-32.5027,5905,80622,432,126,,,,,,
Perninha,226072,Mk10,21:44:29 22-Jan-2022,Argos,1,-3.8689,-32.4138,1364,2226,835,69,,,,,,
Perninha,226072,Mk10,22:18:30 22-Jan-2022,Argos,0,-3.8549,-32.4487,9880,46017,2121,86,,,,,,
Perninha,226072,Mk10,00:24:05 23-Jan-2022,Argos,A,-3.8701,-32.4387,3687,9612,1414,125,,,,,,
Perninha,226072,Mk10,00:24:20 23-Jan-2022,Argos,B,-3.8704,-32.4383,2245,5070,994,123,,,,,,
Perninha,226072,Mk10,08:06:21 23-Jan-2022,Argos,0,-3.8658,-32.4103,2498,34404,181,78,,,,,,
Perninha,226072,Mk10,09:46:43 23-Jan-2022,Argos,0,-3.8800,-32.4241,5198,8925,3027,150,,,,,,
Perninha,226072,Mk10,10:30:43 23-Jan-2022,Argos,A,-3.8569,-32.4181,3834,6033,2436,113,,,,,,
Perninha,226072,Mk10,11:27:53 23-Jan-2022,Argos,B,-3.8543,-32.4169,5258,7727,3578,122,,,,,,
Perninha,226072,Mk10,11:27:53 23-Jan-2022,Argos,B,-3.8573,-32.4175,3707,5249,2617,118,,,,,,
Perninha,226072,Mk10,12:19:44 23-Jan-2022,Argos,0,-3.8600,-32.4043,7241,21643,2422,66,,,,,,
Perninha,226072,Mk10,23:01:03 23-Jan-2022,Argos,B,-3.8604,-32.3246,18689,27091,12892,94,,,,,,
Perninha,226072,Mk10,07:36:44 24-Jan-2022,Argos,B,-3.8645,-32.3601,29163,117974,7209,83,,,,,,
Perninha,226072,Mk10,09:05:13 24-Jan-2022,Argos,1,-3.8851,-32.4198,599,1269,282,59,,,,,,
Perninha,226072,Mk10,09:16:28 24-Jan-2022,Argos,2,-3.8855,-32.4202,414,616,278,12,,,,,,
Perninha,226072,Mk10,09:56:59 24-Jan-2022,Argos,A,-3.8852,-32.4333,341,1981,58,102,,,,,,
Perninha,226072,Mk10,10:59:36 24-Jan-2022,Argos,B,-3.8886,-32.4489,1112,1159,1066,98,,,,,,
Perninha,226072,Mk10,11:13:18 24-Jan-2022,Argos,B,-3.8862,-32.4409,1374,1971,957,90,,,,,,
Perninha,226072,Mk10,12:41:46 24-Jan-2022,Argos,2,-3.8638,-32.4334,308,719,131,35,,,,,,
Perninha,226072,Mk10,12:48:36 24-Jan-2022,Argos,3,-3.8714,-32.4334,175,211,145,10,,,,,,
Perninha,226072,Mk10,18:34:48 24-Jan-2022,Argos,A,-3.8944,-32.3656,4559,7240,2870,24,,,,,,
Perninha,226072,Mk10,20:11:07 24-Jan-2022,Argos,0,-3.9036,-32.3815,1688,12961,219,113,,,,,,
Perninha,226072,Mk10,20:11:07 24-Jan-2022,Argos,0,-3.8795,-32.4383,2690,10907,663,114,,,,,,
Perninha,226072,Mk10,23:55:16 24-Jan-2022,Argos,A,-3.8686,-32.4548,2018,6767,601,28,,,,,,
Perninha,226072,Mk10,08:46:58 25-Jan-2022,Argos,A,-3.9004,-32.4268,3368,26499,428,52,,,,,,
Perninha,226072,Mk10,09:38:57 25-Jan-2022,Argos,0,-3.8709,-32.3933,8744,16494,4635,58,,,,,,
Perninha,226072,Mk10,10:40:10 25-Jan-2022,Argos,A,-3.8855,-32.4234,1089,12564,94,119,,,,,,
Perninha,226072,Mk10,10:40:10 25-Jan-2022,Argos,B,-3.8862,-32.4224,1331,15061,117,119,,,,,,
Perninha,226072,Mk10,11:05:20 25-Jan-2022,Argos,A,-3.8631,-32.4275,8833,17275,4516,117,,,,,,
Perninha,226072,Mk10,12:23:49 25-Jan-2022,Argos,2,-3.8718,-32.4357,329,616,175,107,,,,,,
Perninha,226072,Mk10,19:39:43 25-Jan-2022,Argos,0,-3.8771,-32.3904,4975,73607,336,87,,,,,,
Perninha,226072,Mk10,21:37:53 25-Jan-2022,Argos,A,-3.8745,-32.4056,7033,54038,915,76,,,,,,
Perninha,226072,Mk10,22:13:27 25-Jan-2022,Argos,A,-3.8780,-32.4099,5231,10951,2499,101,,,,,,
Perninha,226072,Mk10,23:24:30 25-Jan-2022,Argos,B,-3.8857,-32.4347,1578,5956,418,76,,,,,,
Perninha,226072,Mk10,08:11:42 26-Jan-2022,Argos,A,-3.9105,-32.5365,9811,58888,1634,64,,,,,,
Perninha,226072,Mk10,08:49:01 26-Jan-2022,Argos,0,-3.8693,-32.4631,7425,40894,1348,103,,,,,,
Perninha,226072,Mk10,09:10:05 26-Jan-2022,Argos,B,-3.8762,-32.4623,6111,125148,298,100,,,,,,
Perninha,226072,Mk10,10:29:23 26-Jan-2022,Argos,B,-3.8994,-32.4821,10846,17912,6567,106,,,,,,
Perninha,226072,Mk10,10:29:33 26-Jan-2022,Argos,A,-3.8796,-32.4775,8070,59993,1085,89,,,,,,
Perninha,226072,Mk10,10:49:34 26-Jan-2022,Argos,0,-3.8662,-32.3822,7941,16759,3762,107,,,,,,
Perninha,226072,Mk10,10:49:37 26-Jan-2022,Argos,A,-3.8552,-32.4246,3674,5065,2664,110,,,,,,
Perninha,226072,Mk10,11:15:21 26-Jan-2022,Argos,0,-3.8505,-32.4482,4892,11988,1996,128,,,,,,
Perninha,226072,Mk10,19:09:17 26-Jan-2022,Argos,B,-3.8047,-32.3084,10335,15260,6999,75,,,,,,
Perninha,226072,Mk10,22:59:06 26-Jan-2022,Argos,B,-3.8505,-32.4270,11116,124894,989,87,,,,,,
Perninha,226072,Mk10,23:36:08 26-Jan-2022,Argos,0,-3.8604,-32.3670,13630,40953,4536,66,,,,,,
Perninha,226072,Mk10,08:42:58 27-Jan-2022,Argos,0,-3.8310,-32.4356,8333,31607,2196,9,,,,,,
Perninha,226072,Mk10,10:35:04 27-Jan-2022,Argos,A,-3.8080,-32.3780,7740,9862,6074,159,,,,,,
Perninha,226072,Mk10,10:56:07 27-Jan-2022,Argos,A,-3.8577,-32.4166,6471,13960,2998,131,,,,,,
Perninha,226072,Mk10,18:39:36 27-Jan-2022,Argos,0,-3.9651,-32.3829,5071,29619,868,157,,,,,,
Perninha,226072,Mk10,20:13:56 27-Jan-2022,Argos,0,-3.9666,-32.3662,2568,3889,1695,150,,,,,,
Perninha,226072,Mk10,23:28:11 27-Jan-2022,Argos,B,-3.8807,-32.4261,2204,12884,377,50,,,,,,
Perninha,226072,Mk10,08:18:22 28-Jan-2022,Argos,B,-3.8365,-32.3744,4709,6866,3229,112,,,,,,
Perninha,226072,Mk10,08:25:18 28-Jan-2022,Argos,B,-3.8339,-32.3795,4796,6408,3589,131,,,,,,
Perninha,226072,Mk10,08:51:41 28-Jan-2022,Argos,A,-3.8760,-32.4322,153,189,123,93,,,,,,
