Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7007,41587,3,SR,2,1,07-Dec-2021,20:09:52,-3.8495,-32.4176,,401677388,-120,50,0,07-Dec-2021,20:05:50,-3.8495,-32.4176,431,325,1425,74,97,,,92,176,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,SR,2,1,07-Dec-2021,20:09:52,-3.8495,-32.4176,,401677388,-120,50,0,07-Dec-2021,20:08:45,-3.8495,-32.4176,431,325,1425,74,97,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,SR,2,1,07-Dec-2021,20:09:52,-3.8495,-32.4176,,401677388,-120,50,0,07-Dec-2021,20:10:11,-3.8495,-32.4176,431,325,1425,74,97,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,SR,2,1,07-Dec-2021,20:09:52,-3.8495,-32.4176,,401677388,-120,50,0,07-Dec-2021,20:11:35,-3.8495,-32.4176,431,325,1425,74,97,,,68,123,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,SR,2,1,07-Dec-2021,20:09:52,-3.8495,-32.4176,,401677388,-120,50,0,07-Dec-2021,20:13:01,-3.8495,-32.4176,431,325,1425,74,97,,,93,181,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,3,2,07-Dec-2021,21:06:30,-3.8468,-32.4165,,401677411,-127,56,0,07-Dec-2021,21:04:21,-3.8468,-32.4165,345,128,148,111,58,,,75,55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,3,2,07-Dec-2021,21:06:30,-3.8468,-32.4165,,401677411,-127,56,0,07-Dec-2021,21:05:48,-3.8468,-32.4165,345,128,148,111,58,,,94,186,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,3,2,07-Dec-2021,21:06:30,-3.8468,-32.4165,,401677411,-127,56,0,07-Dec-2021,21:07:14,-3.8468,-32.4165,345,128,148,111,58,,,105,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,3,2,07-Dec-2021,21:06:30,-3.8468,-32.4165,,401677411,-127,56,0,07-Dec-2021,21:08:40,-3.8468,-32.4165,345,128,148,111,58,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,3,2,07-Dec-2021,21:06:30,-3.8468,-32.4165,,401677411,-127,56,1,07-Dec-2021,21:10:06,-3.8468,-32.4165,345,128,148,111,58,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,A,3,07-Dec-2021,21:11:30,-3.8460,-32.4142,,401677412,-129,7,0,07-Dec-2021,21:10:06,-3.8460,-32.4142,170,1228,8804,171,94,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,A,3,07-Dec-2021,21:11:30,-3.8460,-32.4142,,401677412,-129,7,0,07-Dec-2021,21:11:31,-3.8460,-32.4142,170,1228,8804,171,94,,,79,51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,23,NP,A,3,07-Dec-2021,21:11:30,-3.8460,-32.4142,,401677412,-129,7,0,07-Dec-2021,21:12:56,-3.8460,-32.4142,170,1228,8804,171,94,,,94,112,131,220,104,101,215,14,243,212,205,212,212,7,127,28,1,255,255,211,48,0,0,,,,,,,,,
7007,41587,3,MC,3,4,26-Dec-2021,11:06:00,-3.8734,-32.4252,,401677403,-125,50,0,26-Dec-2021,11:03:11,-3.8734,-32.4252,340,216,235,197,60,,,78,121,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,MC,3,4,26-Dec-2021,11:06:00,-3.8734,-32.4252,,401677403,-125,50,0,26-Dec-2021,11:04:35,-3.8734,-32.4252,340,216,235,197,60,,,83,220,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,MC,3,4,26-Dec-2021,11:06:00,-3.8734,-32.4252,,401677403,-125,50,0,26-Dec-2021,11:06:01,-3.8734,-32.4252,340,216,235,197,60,,,105,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,MC,3,4,26-Dec-2021,11:06:00,-3.8734,-32.4252,,401677403,-125,50,0,26-Dec-2021,11:07:25,-3.8734,-32.4252,340,216,235,197,60,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,MC,3,4,26-Dec-2021,11:06:00,-3.8734,-32.4252,,401677403,-125,50,0,26-Dec-2021,11:08:51,-3.8734,-32.4252,340,216,235,197,60,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NN,B,5,26-Dec-2021,12:00:56,-3.8707,-32.4226,,401677382,-129,8,0,26-Dec-2021,12:00:15,-3.8707,-32.4226,83,1907,11600,313,112,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NN,B,5,26-Dec-2021,12:00:56,-3.8707,-32.4226,,401677382,-129,8,0,26-Dec-2021,12:01:38,-3.8707,-32.4226,83,1907,11600,313,112,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,B,6,26-Dec-2021,22:31:09,-3.8550,-32.4626,,401677397,-130,8,0,26-Dec-2021,22:30:55,-3.8550,-32.4626,29,1786,4922,648,114,,,80,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,B,6,26-Dec-2021,22:31:09,-3.8550,-32.4626,,401677397,-130,8,0,26-Dec-2021,22:31:24,-3.8550,-32.4626,29,1786,4922,648,114,,,108,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,MC,B,7,27-Dec-2021,01:21:19,-3.8485,-32.4637,,401677408,-127,8,0,27-Dec-2021,01:21:20,-3.8485,-32.4637,,2516,3842,1647,113,,,10,92,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,B,8,27-Dec-2021,08:01:32,-3.8510,-32.4671,,401677416,-137,8,0,27-Dec-2021,08:01:32,-3.8510,-32.4671,29,3396,5278,2184,109,,,99,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NP,B,8,27-Dec-2021,08:01:32,-3.8510,-32.4671,,401677416,-137,8,0,27-Dec-2021,08:02:01,-3.8510,-32.4671,29,3396,5278,2184,109,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,A,9,27-Dec-2021,08:25:58,-3.9111,-32.4290,Lat > 4 deviations from mean,401677405,-126,6,0,27-Dec-2021,08:25:11,-3.9111,-32.4290,86,2721,10622,696,178,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,A,9,27-Dec-2021,08:25:58,-3.9111,-32.4290,Lat > 4 deviations from mean,401677405,-126,6,0,27-Dec-2021,08:26:07,-3.9111,-32.4290,86,2721,10622,696,178,,,72,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,41587,3,NK,A,9,27-Dec-2021,08:25:58,-3.9111,-32.4290,Lat > 4 deviations from mean,401677405,-126,6,0,27-Dec-2021,08:26:37,-3.9111,-32.4290,86,2721,10622,696,178,,,80,63,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
