Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Leoncio,08-Dec-2021,16:02:00,1,29.000000,228,145,1,8,-3.84552,-32.41635,21:04:57 07-Dec-2021,NK,-3.85218,-32.44619,-6,,,4.8,3.2,,,,15,12,13388,,,,29,24352,,,,23,31256,,,,25,12906,,,,5,28154,,,,24,30174,,,,18,23234,,,,10,24622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,08-Dec-2021,17:02:00,1,29.000000,229,145,1,8,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85258,-32.44401,-6,,,18.5,4.3,,,,15,26,14616,,,,18,9656,,,,29,26405,,,,25,25706,,,,32,12183,,,,15,5724,,,,23,12648,,,,10,29790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,08-Dec-2021,18:06:15,2,29.000000,230,145,0,5,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85402,-32.44717,-6,,,7.2,4.3,,,,15,10,23160,,,,26,14642,,,,23,13411,,,,32,859,,,,25,27462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,08-Dec-2021,19:14:18,3,29.000000,231,145,0,5,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85585,-32.44828,-6,,,5.0,4.8,,,,15,32,5403,,,,18,14234,,,,31,32300,,,,16,30889,,,,10,17620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,08-Dec-2021,20:49:20,1,29.000000,232,147,0,7,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85588,-32.44839,-6,,,4.8,3.8,,,,15,18,3081,,,,31,29214,,,,27,6870,,,,8,8421,,,,26,21422,,,,32,9723,,,,16,14280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,09-Dec-2021,07:27:26,2,29.000000,236,157,0,5,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85534,-32.44590,-6,1,,0.9,3.7,,,,15,7,21812,,,,19,5204,,,,17,27797,,,,9,29632,,,,28,30243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,09-Dec-2021,08:29:57,4,29.000000,237,157,0,8,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.85421,-32.44567,-6,2,,10.5,3.2,,,,15,7,13142,,,,9,3724,,,,19,6103,,,,14,22284,,,,6,17951,,,,30,8120,,,,11,2490,,,,28,29068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,09-Dec-2021,09:36:15,1,29.000000,238,,0,9,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.86087,-32.45102,-6,2,,8.7,4.8,,,,15,30,27433,,,,6,13100,,,,13,29625,,,,7,13095,,,,17,7494,,,,11,19440,,,,2,5361,,,,28,31948,,,,19,7294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,09-Dec-2021,11:36:34,1,29.000000,239,159,0,6,-3.85218,-32.44619,16:02:32.240000 08-Dec-2021,FastGPS,-3.86332,-32.45123,-6,2,,0.7,3.2,,,,15,2,6530,,,,24,19383,,,,11,10215,,,,15,26550,,,,28,11750,,,,13,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leoncio,09-Dec-2021,12:36:09,2,29.000000,240,,0,9,-3.84038,-32.45129,10:58:50 09-Dec-2021,NK,-3.85923,-32.44898,-6,2,,14.9,3.8,,,,15,24,2582,,,,12,5229,,,,2,21918,,,,13,4778,,,,20,30448,,,,5,21743,,,,11,31990,,,,15,21668,,,,28,20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
