DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
Leoncio,41614,Mk10,16:02:32.240000 08-Dec-2021,FastGPS,8,-3.8522,-32.4462,,,,,,,,,,
Leoncio,41614,Mk10,17:02:33.256562 08-Dec-2021,FastGPS,8,-3.8526,-32.4440,,,,,,,,,,
Leoncio,41614,Mk10,18:06:48.291562 08-Dec-2021,FastGPS,5,-3.8540,-32.4472,,,,,,,,,,
Leoncio,41614,Mk10,19:14:51.777187 08-Dec-2021,FastGPS,5,-3.8559,-32.4483,,,,,,,,,,Solution error 4.8 sec
Leoncio,41614,Mk10,19:36:09 08-Dec-2021,Argos,A,-3.8434,-32.4690,2969,4692,1878,64,,,,,,
Leoncio,41614,Mk10,20:49:52.756562 08-Dec-2021,FastGPS,7,-3.8559,-32.4484,,,,,,,,,,
Leoncio,41614,Mk10,21:09:25 08-Dec-2021,Argos,B,-3.8400,-32.4877,5604,14970,2097,74,,,,,,
Leoncio,41614,Mk10,22:19:56 08-Dec-2021,Argos,B,-3.8511,-32.4713,4478,15728,1275,71,,,,,,
Leoncio,41614,Mk10,00:55:04 09-Dec-2021,Argos,B,-3.8466,-32.4630,4383,10631,1806,74,,,,,,
Leoncio,41614,Mk10,00:55:04 09-Dec-2021,Argos,B,-3.8474,-32.4697,3944,9281,1676,80,,,,,,
Leoncio,41614,Mk10,07:27:58.671562 09-Dec-2021,FastGPS,4,-3.8553,-32.4459,,,,,,,,,,
Leoncio,41614,Mk10,08:13:53 09-Dec-2021,Argos,A,-3.8512,-32.4436,489,7988,29,77,,,,,,
Leoncio,41614,Mk10,08:30:29.245937 09-Dec-2021,FastGPS,6,-3.8542,-32.4457,,,,,,,,,,
Leoncio,41614,Mk10,09:18:34 09-Dec-2021,Argos,B,-3.8522,-32.4444,1177,1464,945,78,,,,,,
Leoncio,41614,Mk10,09:36:48.776249 09-Dec-2021,FastGPS,7,-3.8609,-32.4510,,,,,,,,,,Solution error 4.8 sec
Leoncio,41614,Mk10,10:58:50 09-Dec-2021,Argos,0,-3.8404,-32.4513,1615,7077,368,50,,,,,,
Leoncio,41614,Mk10,10:59:28 09-Dec-2021,Argos,A,-3.8558,-32.4630,5317,20521,1377,50,,,,,,
Leoncio,41614,Mk10,11:37:06.236054 09-Dec-2021,FastGPS,4,-3.8633,-32.4512,,,,,,,,,,
Leoncio,41614,Mk10,12:36:41.756875 09-Dec-2021,FastGPS,7,-3.8592,-32.4490,,,,,,,,,,
Leoncio,41614,Mk10,12:41:26 09-Dec-2021,Argos,B,-3.8527,-32.4647,23435,28694,19139,50,,,,,,
Leoncio,41614,Mk10,13:41:19.278125 09-Dec-2021,FastGPS,7,-3.8576,-32.4483,,,,,,,,,,
Leoncio,41614,Mk10,19:10:16 09-Dec-2021,Argos,B,-3.8512,-32.4467,14160,260968,768,3,,,,,,
Leoncio,41614,Mk10,06:06:04.746875 10-Dec-2021,FastGPS,6,-3.8544,-32.4444,,,,,,,,,,
Leoncio,41614,Mk10,07:40:00 10-Dec-2021,Argos,B,-3.8457,-32.4515,3213,4903,2105,112,,,,,,
Leoncio,41614,Mk10,08:15:07.288125 10-Dec-2021,FastGPS,8,-3.8543,-32.4441,,,,,,,,,,
Leoncio,41614,Mk10,08:52:46 10-Dec-2021,Argos,B,-3.8509,-32.4487,2884,6327,1314,93,,,,,,
Leoncio,41614,Mk10,09:23:24 10-Dec-2021,Argos,B,-3.8531,-32.4480,1184,10015,139,32,,,,,,
Leoncio,41614,Mk10,09:37:30 10-Dec-2021,Argos,B,-3.8594,-32.4515,736,1183,457,39,,,,,,
Leoncio,41614,Mk10,10:16:42.302187 10-Dec-2021,FastGPS,6,-3.8610,-32.4473,,,,,,,,,,
Leoncio,41614,Mk10,10:36:45 10-Dec-2021,Argos,B,-3.8598,-32.4519,1139,1230,1054,156,,,,,,
Leoncio,41614,Mk10,11:45:11 10-Dec-2021,Argos,B,-3.8669,-32.4510,1364,1923,968,84,,,,,,
Leoncio,41614,Mk10,12:18:39 10-Dec-2021,Argos,B,-3.8679,-32.4517,1525,1886,1232,78,,,,,,
Leoncio,41614,Mk10,12:43:57.741875 10-Dec-2021,FastGPS,8,-3.8593,-32.4481,,,,,,,,,,
Leoncio,41614,Mk10,13:15:49 10-Dec-2021,Argos,B,-3.8658,-32.4534,1207,3778,385,7,,,,,,
Leoncio,41614,Mk10,13:25:03 10-Dec-2021,Argos,B,-3.8668,-32.4536,1269,3190,504,8,,,,,,
Leoncio,41614,Mk10,14:03:52.303125 10-Dec-2021,FastGPS,7,-3.8585,-32.4489,,,,,,,,,,
