Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Black 4.4,11-Jan-21,19:45:19,2,2,43,11,0,5,-3.8719,-32.4381,45:21.4,FastGPS,-3.8719,-32.4381,,,1.6,0.4,,,,15,18,3754,,,,26,21564,,,,27,13715,,,,31,17916,,,,20,13480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-21,22:06:54,2,2,45,,0,9,-3.8755,-32.4456,06:55.4,FastGPS,-3.8755,-32.4456,,1,12.1,-0.6,,,,15,21,19926,,,,11,16345,,,,4,18516,,,,31,21304,,,,27,4490,,,,8,25706,,,,10,10509,,,,22,26514,,,,1,10572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,11-Jan-21,23:46:17,1,2,46,12,0,4,-3.8721,-32.4351,1/11/21 19:33,User,-3.87,-32.4457,,,0.8,-1.5,,,,15,26,25775,,,,22,19954,,,,16,8909,,,,3,30568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,0:54:01,1,2,47,,0,9,-3.8708,-32.4376,54:02.0,FastGPS,-3.8708,-32.4376,,1,5.2,-1,,,,15,4,27998,,,,16,11378,,,,3,13255,,,,21,27904,,,,9,1649,,,,11,27893,,,,26,25783,,,,1,4518,,,,22,27605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,2:44:02,3,2,48,14,0,7,-3.871,-32.4377,44:03.4,FastGPS,-3.871,-32.4377,,,6.9,-0.6,,,,15,9,24589,,,,7,20180,,,,22,31796,,,,3,27265,,,,8,29835,,,,4,8472,,,,30,21666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,4:31:42,2,2,49,,0,9,-3.8709,-32.4389,31:43.4,FastGPS,-3.8709,-32.4389,,1,17.3,-0.6,,,,15,30,22021,,,,7,6520,,,,28,5184,,,,14,4702,,,,4,13608,,,,9,19347,,,,11,12930,,,,8,7342,,,,17,17218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,8:10:20,1,2,50,,0,9,-3.8746,-32.4455,10:21.9,FastGPS,-3.8746,-32.4455,,,2.9,-0.1,,,,15,2,16717,,,,6,21589,,,,13,7978,,,,7,6733,,,,30,17531,,,,19,15623,,,,15,26108,,,,5,31094,,,,17,22814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,9:18:24,2,2,51,24,0,8,-3.8751,-32.4453,18:24.9,FastGPS,-3.8751,-32.4453,,,5.5,-1.1,,,,15,30,25910,,,,6,31500,,,,5,25368,,,,13,19700,,,,15,19443,,,,24,813,,,,19,9970,,,,2,23403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,13:27:30,1,2,52,,0,9,-3.8751,-32.4456,27:31.4,FastGPS,-3.8751,-32.4456,,,7.1,-0.6,,,,15,18,19578,,,,23,7820,,,,29,618,,,,15,23934,,,,25,16471,,,,20,27562,,,,12,29526,,,,5,23868,,,,24,22220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black 4.4,12-Jan-21,17:33:06,2,2,53,31,0,6,-3.8748,-32.444,33:07.4,FastGPS,-3.8748,-32.444,,,10.8,-0.6,,,,15,32,7975,,,,29,19485,,,,31,27584,,,,10,12714,,,,26,12810,,,,25,13138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
