Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Gustavo,29-Dec-20,20:51:41,4,2,82,12,0,6,-3.8721,-32.431,51:42.6,FastGPS,-3.8721,-32.431,,,5.1,-0.4,,,,15,32,29936,,,,10,29670,,,,18,5042,,,,31,10379,,,,23,542,,,,20,4454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,29-Dec-20,22:03:11,1,2,83,,0,9,-3.872,-32.4312,03:13.2,FastGPS,-3.872,-32.4312,,1,13.3,0.2,,,,15,27,29143,,,,16,16983,,,,26,14412,,,,8,3737,,,,21,29152,,,,11,787,,,,32,32404,,,,31,10461,,,,4,14406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,0:36:38,2,2,84,14,0,8,-3.872,-32.4312,36:40.7,FastGPS,-3.872,-32.4312,,1,8.6,0.7,,,,15,21,19510,,,,16,13908,,,,8,28724,,,,4,16790,,,,7,4728,,,,1,4405,,,,26,325,,,,11,14447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,5:14:01,6,2,85,21,0,6,-3.8711,-32.4315,14:03.3,FastGPS,-3.8711,-32.4315,,,2.5,0.3,,,,15,7,17551,,,,28,8603,,,,14,22179,,,,9,28519,,,,30,27738,,,,4,20696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,13:33:17,3,2,86,31,0,8,-3.872,-32.4312,33:18.1,FastGPS,-3.872,-32.4312,,,11.2,-0.9,,,,15,5,6237,,,,15,5518,,,,24,25020,,,,12,32400,,,,2,3497,,,,18,18422,,,,25,22152,,,,20,29271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,15:47:48,5,2,87,32,0,5,-3.872,-32.431,47:49.7,FastGPS,-3.872,-32.431,,,5.2,-0.3,,,,15,15,2962,,,,12,10903,,,,20,14241,,,,10,17284,,,,13,30666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,17:44:51,2,2,88,35,0,8,-3.8717,-32.4328,44:52.7,FastGPS,-3.8717,-32.4328,,,6.2,-0.3,,,,15,20,15677,,,,23,24917,,,,18,14198,,,,32,19268,,,,15,27059,,,,10,16190,,,,29,14740,,,,26,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,18:59:53,2,2,89,35,0,8,-3.8716,-32.4317,59:54.7,FastGPS,-3.8716,-32.4317,,,8.4,-0.3,,,,15,27,16864,,,,10,7070,,,,16,19753,,,,32,20172,,,,20,23533,,,,26,3493,,,,23,14068,,,,18,18370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,21:35:52,1,2,90,38,0,7,-3.8725,-32.4324,35:53.7,FastGPS,-3.8725,-32.4324,,1,11,-0.3,,,,15,32,19806,,,,21,10238,,,,10,4018,,,,11,4342,,,,31,22227,,,,26,31152,,,,8,11458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,30-Dec-20,22:38:52,2,2,91,38,0,8,-3.8713,-32.4315,38:54.7,FastGPS,-3.8713,-32.4315,,1,4,0.7,,,,15,27,19063,,,,26,16455,,,,11,4766,,,,4,14630,,,,16,17016,,,,1,17258,,,,22,14872,,,,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,0:15:50,1,2,92,40,0,8,-3.8706,-32.4366,15:52.2,FastGPS,-3.8706,-32.4366,,1,5.8,0.2,,,,15,1,13380,,,,11,13736,,,,4,28797,,,,3,11157,,,,21,10525,,,,26,31610,,,,22,20978,,,,31,14085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,1:32:28,4,2,93,41,0,5,-3.8701,-32.4354,32:30.2,FastGPS,-3.8701,-32.4354,,,5.5,0.2,,,,15,16,13810,,,,26,8872,,,,1,11971,,,,4,316,,,,21,10726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,3:18:59,5,2,94,43,0,8,-3.8703,-32.4355,19:00.2,FastGPS,-3.8703,-32.4355,,,5.7,-0.8,,,,15,14,26741,,,,28,30302,,,,22,11343,,,,9,3989,,,,3,18866,,,,7,17181,,,,4,13610,,,,30,7372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,4:21:29,5,2,95,43,0,7,-3.8701,-32.4361,21:30.1,FastGPS,-3.8701,-32.4361,,,12.6,-0.8,,,,15,28,2886,,,,30,29962,,,,14,12703,,,,4,29307,,,,7,17567,,,,8,19634,,,,9,11882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,5:29:19,5,2,96,43,0,5,-3.8701,-32.4361,29:21.6,FastGPS,-3.8701,-32.4361,,,12,0.6,,,,15,9,19340,,,,30,29579,,,,4,27839,,,,7,6933,,,,28,8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,7:08:26,3,2,97,44,0,5,-3.871,-32.4337,08:28.6,FastGPS,-3.871,-32.4337,,,2.6,0.7,,,,15,17,23052,,,,6,13121,,,,9,27930,,,,7,28153,,,,13,8732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,8:08:03,5,2,98,44,0,5,-3.8706,-32.4346,08:05.1,FastGPS,-3.8706,-32.4346,,,13,0.2,,,,15,2,28296,,,,17,28383,,,,6,30908,,,,19,6939,,,,13,25588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,9:27:10,3,2,99,,0,9,-3.8713,-32.4353,27:12.2,FastGPS,-3.8713,-32.4353,,,19,0.2,,,,15,17,28660,,,,19,31142,,,,30,27982,,,,7,17746,,,,13,30987,,,,28,13658,,,,6,11388,,,,14,3728,,,,2,19006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,11:32:10,3,2,100,47,0,6,-3.874,-32.4287,32:12.7,FastGPS,-3.874,-32.4287,,,2.3,0.7,,,,15,12,23056,,,,5,32458,,,,2,3483,,,,6,14610,,,,24,6706,,,,13,11918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,14:20:35,2,2,101,49,0,6,-3.874,-32.4205,20:37.7,FastGPS,-3.874,-32.4205,,,8.4,0.7,,,,15,18,13411,,,,5,30835,,,,29,1423,,,,12,22009,,,,15,21688,,,,25,20468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,15:43:33,1,2,102,49,0,8,-3.8748,-32.4211,43:35.1,FastGPS,-3.8748,-32.4211,,,7.5,0.1,,,,15,12,242,,,,15,25036,,,,10,5544,,,,18,13460,,,,25,27904,,,,23,16630,,,,20,3079,,,,24,15720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,16:49:08,2,2,103,49,0,4,-3.8702,-32.4359,12/31/20 8:17,NP,-3.8724,-32.431,,,0.2,0.6,,,,15,10,27067,,,,32,15249,,,,25,13845,,,,23,8302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,31-Dec-20,18:57:50,1,2,105,,0,9,-3.8716,-32.4345,57:52.2,FastGPS,-3.8716,-32.4345,,,4.3,0.2,,,,15,26,9261,,,,32,30067,,,,10,11375,,,,31,29759,,,,23,17660,,,,29,24981,,,,27,196,,,,18,27583,,,,20,27880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,0:44:20,1,2,107,56,0,8,-3.8706,-32.4371,44:22.2,FastGPS,-3.8706,-32.4371,,1,11,0.2,,,,15,21,29271,,,,11,18137,,,,16,11912,,,,3,8747,,,,4,11566,,,,8,18508,,,,1,20579,,,,7,17647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,1:56:44,2,2,108,56,0,8,-3.8703,-32.4358,56:46.6,FastGPS,-3.8703,-32.4358,,,16,0.7,,,,15,7,25322,,,,22,28770,,,,1,9937,,,,16,25697,,,,3,27541,,,,4,32195,,,,30,13151,,,,9,13104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,3:43:55,2,2,109,58,0,8,-3.8707,-32.4366,43:57.6,FastGPS,-3.8707,-32.4366,,1,13.6,0.6,,,,15,7,31302,,,,9,20558,,,,22,29392,,,,30,17305,,,,27,10337,,,,1,5052,,,,11,14219,,,,4,12794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,5:45:40,3,2,110,61,0,7,-3.8714,-32.4317,45:42.2,FastGPS,-3.8714,-32.4317,,,13.1,0.2,,,,15,19,13537,,,,17,1058,,,,30,25066,,,,7,20086,,,,28,15586,,,,14,13390,,,,9,13126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,7:05:09,2,2,111,62,0,8,-3.8715,-32.4314,05:11.2,FastGPS,-3.8715,-32.4314,,,16.8,0.2,,,,15,7,2644,,,,30,4298,,,,9,31979,,,,17,31266,,,,19,10674,,,,14,30278,,,,6,22800,,,,1,3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,14:00:13,1,2,112,72,0,6,-3.8731,-32.4319,00:15.2,FastGPS,-3.8731,-32.4319,,,3.9,0.2,,,,15,29,31670,,,,5,6128,,,,25,28703,,,,12,14338,,,,15,24188,,,,18,31962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,15:42:41,1,2,113,74,0,7,-3.872,-32.4315,42:43.7,FastGPS,-3.872,-32.4315,,,11,0.7,,,,15,10,11654,,,,29,27756,,,,23,15416,,,,18,6768,,,,25,19369,,,,20,220,,,,12,15760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,17:27:20,3,2,114,,0,9,-3.8712,-32.4342,27:22.1,FastGPS,-3.8712,-32.4342,,,7.8,0.1,,,,15,32,7352,,,,26,21690,,,,10,13875,,,,20,28167,,,,23,5278,,,,15,17836,,,,18,31119,,,,16,19667,,,,31,5307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,19:00:08,1,2,115,77,0,8,-3.8721,-32.4324,00:10.1,FastGPS,-3.8721,-32.4324,,,9.9,0.1,,,,15,31,7725,,,,26,31011,,,,29,28728,,,,32,30718,,,,16,23767,,,,10,28785,,,,27,21190,,,,23,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,1-Jan-21,20:19:09,1,2,116,78,0,7,-3.8712,-32.4347,19:11.7,FastGPS,-3.8712,-32.4347,,,9.3,0.7,,,,15,31,11564,,,,27,18743,,,,26,32115,,,,18,24439,,,,8,18604,,,,16,13183,,,,32,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,0:31:17,2,2,117,85,0,6,-3.8708,-32.439,31:19.2,FastGPS,-3.8708,-32.439,,1,3.8,0.2,,,,15,3,6181,,,,26,10742,,,,21,20322,,,,11,26093,,,,7,17700,,,,1,22581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,2:42:05,1,2,119,85,0,5,-3.8726,-32.4361,1/1/21 20:41,NK,-3.8709,-32.4407,,1,0.7,1.1,,,,15,8,7790,,,,4,7829,,,,11,6640,,,,3,4194,,,,1,17110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,7:51:32,1,2,120,98,0,7,-3.8716,-32.4327,51:34.1,FastGPS,-3.8716,-32.4327,,,5.9,0.1,,,,15,6,22618,,,,7,13550,,,,30,8613,,,,13,18896,,,,5,31160,,,,19,28209,,,,2,12653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,17:18:11,2,2,126,107,0,8,-3.8715,-32.4349,18:13.7,FastGPS,-3.8715,-32.4349,,,10.7,0.7,,,,15,26,20132,,,,10,18905,,,,15,4432,,,,18,30319,,,,16,7937,,,,29,18822,,,,32,22672,,,,20,9350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,18:42:08,3,2,127,108,0,8,-3.8713,-32.4345,42:10.2,FastGPS,-3.8713,-32.4345,,,4.7,0.2,,,,15,18,13371,,,,29,11540,,,,31,3615,,,,10,15473,,,,23,24244,,,,20,32055,,,,26,7834,,,,24,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,2-Jan-21,20:07:56,3,2,128,109,0,6,-3.8711,-32.435,07:58.7,FastGPS,-3.8711,-32.435,,,2,0.7,,,,15,10,19846,,,,27,4052,,,,18,27476,,,,31,19428,,,,32,12068,,,,8,21374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,3:06:34,2,2,129,,0,9,-3.8705,-32.4353,06:36.2,FastGPS,-3.8705,-32.4353,,1,13.4,0.2,,,,15,8,25917,,,,22,31843,,,,11,25522,,,,27,29157,,,,3,6778,,,,14,12893,,,,4,756,,,,1,5754,,,,28,17198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,5:01:10,1,2,130,126,0,5,-3.8715,-32.4315,01:12.2,FastGPS,-3.8715,-32.4315,,,4.5,0.2,,,,15,4,18338,,,,17,236,,,,14,26831,,,,7,23812,,,,28,17884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,6:03:11,1,2,131,126,0,8,-3.8706,-32.4376,03:13.7,FastGPS,-3.8706,-32.4376,,,9.9,0.7,,,,15,30,5881,,,,7,10042,,,,5,3535,,,,28,11927,,,,9,16270,,,,14,17818,,,,19,32673,,,,4,26096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,7:03:28,1,2,132,,0,9,-3.8714,-32.4325,03:30.7,FastGPS,-3.8714,-32.4325,,,8.1,0.7,,,,15,5,3027,,,,30,29006,,,,19,5131,,,,14,1745,,,,17,18424,,,,13,29176,,,,28,27410,,,,9,21853,,,,6,24195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,8:23:08,1,2,133,127,0,8,-3.8713,-32.4346,23:09.2,FastGPS,-3.8713,-32.4346,,,25.1,-0.8,,,,15,2,22638,,,,6,17307,,,,15,9141,,,,5,31380,,,,17,10098,,,,19,14979,,,,14,455,,,,7,13527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,13:39:18,1,2,134,138,0,6,-3.8722,-32.4317,39:19.2,FastGPS,-3.8722,-32.4317,,,11.2,-0.8,,,,15,18,12221,,,,29,3636,,,,5,29118,,,,25,7499,,,,12,28984,,,,24,30078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,14:53:33,1,2,135,138,0,7,-3.8713,-32.4316,53:35.2,FastGPS,-3.8713,-32.4316,,,8.7,0.2,,,,15,20,29051,,,,18,19645,,,,25,19250,,,,23,24589,,,,29,15254,,,,15,25811,,,,12,3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,3-Jan-21,22:52:18,1,2,140,143,0,8,-3.8715,-32.4315,52:20.1,FastGPS,-3.8715,-32.4315,,,12,0.1,,,,15,16,28026,,,,31,18970,,,,26,12236,,,,22,1518,,,,4,22770,,,,1,27261,,,,21,2680,,,,3,6566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,4-Jan-21,1:50:32,1,2,141,,0,9,-3.871,-32.4379,50:34.2,FastGPS,-3.871,-32.4379,,1,9.7,0.2,,,,15,8,28512,,,,1,12167,,,,21,21521,,,,11,8099,,,,22,5093,,,,7,15335,,,,27,27286,,,,3,19639,,,,16,27840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,4-Jan-21,11:04:25,1,2,144,162,0,8,-3.8731,-32.4411,04:27.2,FastGPS,-3.8731,-32.4411,,,8.4,0.2,,,,15,12,1242,,,,2,28837,,,,6,5828,,,,5,17047,,,,24,31937,,,,13,13565,,,,19,1412,,,,15,28440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,4-Jan-21,12:06:53,2,2,145,162,0,5,-3.8715,-32.4315,06:55.7,FastGPS,-3.8715,-32.4315,,,1.9,0.7,,,,15,24,30738,,,,5,32304,,,,2,17374,,,,15,12793,,,,12,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,4-Jan-21,13:07:45,1,2,146,162,0,7,-3.8715,-32.4348,07:47.7,FastGPS,-3.8715,-32.4348,,,5.2,0.7,,,,15,24,24859,,,,18,29742,,,,12,10732,,,,25,21822,,,,15,20309,,,,29,29821,,,,20,26850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo,4-Jan-21,16:34:17,1,2,149,162,0,7,-3.8715,-32.4346,34:19.7,FastGPS,-3.8715,-32.4346,,,8.2,0.7,,,,15,10,30579,,,,25,11676,,,,32,24683,,,,23,8398,,,,26,18562,,,,18,2547,,,,20,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
