DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Gustavo,205539,Mk10,19:18:03 29-Dec-2020,Argos,B,-3.8772,-32.4376,7943,36089,1748,156,,,,,,
Gustavo,205539,Mk10,19:44:36 29-Dec-2020,Argos,B,-3.8729,-32.4392,3713,5089,2708,139,,,,,,
Gustavo,205539,Mk10,20:51:42.63 29-Dec-2020,FastGPS,6,-3.8721,-32.4310,,,,,,,,,,
Gustavo,205539,Mk10,20:52:18 29-Dec-2020,Argos,B,-3.8646,-32.4514,1070,1143,1001,4,,,,,,
Gustavo,205539,Mk10,21:26:04 29-Dec-2020,Argos,B,-3.8651,-32.4480,1008,1302,780,115,,,,,,
Gustavo,205539,Mk10,21:26:04 29-Dec-2020,Argos,B,-3.8651,-32.4387,2729,3618,2058,125,,,,,,
Gustavo,205539,Mk10,22:03:13.16 29-Dec-2020,FastGPS,8,-3.8720,-32.4312,,,,,,,,,,
Gustavo,205539,Mk10,22:03:36 29-Dec-2020,Argos,0,-3.8782,-32.4392,3888,11245,1343,98,,,,,,
Gustavo,205539,Mk10,22:42:53 29-Dec-2020,Argos,B,-3.8803,-32.4398,3569,5892,2161,95,,,,,,
Gustavo,205539,Mk10,00:36:40.7 30-Dec-2020,FastGPS,7,-3.8720,-32.4312,,,,,,,,,,
Gustavo,205539,Mk10,01:15:31 30-Dec-2020,Argos,B,-3.8445,-32.5236,5454,7877,3776,45,,,,,,Lat > 4 deviations from mean
Gustavo,205539,Mk10,05:14:03.3 30-Dec-2020,FastGPS,6,-3.8711,-32.4315,,,,,,,,,,
Gustavo,205539,Mk10,08:43:51 30-Dec-2020,Argos,B,-3.8663,-32.4355,7613,31392,1846,22,,,,,,
Gustavo,205539,Mk10,10:36:05 30-Dec-2020,Argos,B,-3.8675,-32.4455,5555,6286,4908,104,,,,,,
Gustavo,205539,Mk10,11:19:35 30-Dec-2020,Argos,B,-3.8681,-32.4441,3070,3383,2784,106,,,,,,
Gustavo,205539,Mk10,12:14:45 30-Dec-2020,Argos,A,-3.8651,-32.4365,1702,5946,486,35,,,,,,
Gustavo,205539,Mk10,13:33:18.14 30-Dec-2020,FastGPS,8,-3.8720,-32.4312,,,,,,,,,,
Gustavo,205539,Mk10,15:47:49.67 30-Dec-2020,FastGPS,5,-3.8720,-32.4310,,,,,,,,,,
Gustavo,205539,Mk10,17:44:52.67 30-Dec-2020,FastGPS,8,-3.8717,-32.4328,,,,,,,,,,
Gustavo,205539,Mk10,18:59:54.67 30-Dec-2020,FastGPS,8,-3.8716,-32.4317,,,,,,,,,,
Gustavo,205539,Mk10,19:06:54 30-Dec-2020,Argos,0,-3.8626,-32.4606,6660,57477,771,111,,,,,,
Gustavo,205539,Mk10,19:49:42 30-Dec-2020,Argos,B,-3.8661,-32.4516,5685,14370,2249,110,,,,,,
Gustavo,205539,Mk10,21:35:53.66 30-Dec-2020,FastGPS,6,-3.8725,-32.4324,,,,,,,,,,
Gustavo,205539,Mk10,21:35:55 30-Dec-2020,Argos,B,-3.8674,-32.4509,6032,10141,3588,106,,,,,,
Gustavo,205539,Mk10,21:38:20 30-Dec-2020,Argos,A,-3.8732,-32.4460,1610,81780,31,78,,,,,,
