Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Luquinha,2-Dec-20,18:31:00,6,-7198,39,6,1,6,-3.8514,-32.4511,31:02.1,FastGPS,-3.8514,-32.4511,,,15.1,0.1,,,,15,23,29107,,,,12,22402,,,,20,17191,,,,18,20621,,,,25,23444,,,,29,31787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,2-Dec-20,20:01:00,4,-7198,40,8,1,7,-3.8528,-32.4468,01:01.1,FastGPS,-3.8528,-32.4468,,,4.4,-0.9,,,,15,18,10055,,,,25,4581,,,,23,2930,,,,20,14532,,,,29,11190,,,,10,6559,,,,15,16582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,2-Dec-20,21:05:45,1,-7198,41,8,0,7,-3.8544,-32.4453,05:47.1,FastGPS,-3.8544,-32.4453,,,13.9,0.1,,,,15,18,17305,,,,32,30806,,,,15,12285,,,,20,15184,,,,25,30507,,,,10,18770,,,,29,15392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,2-Dec-20,22:39:05,1,-7198,42,9,0,4,-3.8528,-32.4474,12/2/20 18:25,User,-3.8545,-32.4464,,,0.1,-0.4,,,,15,10,21592,,,,23,4172,,,,20,6788,,,,29,29803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,2:06:49,2,-7198,43,13,0,6,-3.8539,-32.4465,06:51.6,FastGPS,-3.8539,-32.4465,,1,3.1,0.6,,,,15,10,26364,,,,31,32325,,,,21,18158,,,,26,31732,,,,32,31892,,,,11,7877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,7:19:25,3,-7198,44,21,0,6,-3.8542,-32.446,19:27.2,FastGPS,-3.8542,-32.446,,1,9.2,0.2,,,,15,9,32061,,,,4,6330,,,,8,23824,,,,14,7008,,,,11,19688,,,,28,6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,9:09:18,2,-7198,45,22,0,6,-3.854,-32.4461,09:20.1,FastGPS,-3.854,-32.4461,,,8.4,0.1,,,,15,28,7925,,,,7,30969,,,,14,15098,,,,30,28456,,,,17,8258,,,,8,14609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,10:11:19,1,-7198,46,22,0,6,-3.8491,-32.4392,11:21.0,FastGPS,-3.8491,-32.4392,,,5.9,0,,,,15,30,30842,,,,14,686,,,,28,32300,,,,7,19204,,,,9,9517,,,,5,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,17:05:33,1,-7198,52,23,0,5,-3.8493,-32.4431,05:34.6,FastGPS,-3.8493,-32.4431,,,1.6,-0.5,,,,15,2,26223,,,,25,30440,,,,12,5066,,,,15,3868,,,,29,18408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,18:07:59,4,-7198,53,23,0,7,-3.8448,-32.4412,08:00.6,FastGPS,-3.8448,-32.4412,,,7.1,-0.4,,,,15,20,10726,,,,5,11817,,,,18,17499,,,,23,18191,,,,25,5636,,,,29,28760,,,,12,29722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,19:14:17,2,-7198,54,23,0,7,-3.8535,-32.4448,14:18.6,FastGPS,-3.8535,-32.4448,,,16,-0.4,,,,15,15,18123,,,,13,6010,,,,12,26518,,,,23,10451,,,,20,11177,,,,10,19232,,,,29,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,20:17:57,2,-7198,55,23,0,8,-3.8533,-32.4449,17:58.6,FastGPS,-3.8533,-32.4449,,,10.5,-0.4,,,,15,10,17778,,,,25,15848,,,,18,28880,,,,26,13644,,,,29,13838,,,,32,28247,,,,20,30122,,,,12,14782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,3-Dec-20,23:38:39,1,-7198,56,27,0,7,-3.8542,-32.4464,38:40.5,FastGPS,-3.8542,-32.4464,,,5,-0.5,,,,15,31,16408,,,,10,3113,,,,32,21056,,,,18,32660,,,,20,30136,,,,23,6773,,,,26,26789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,1:42:23,4,-7198,57,28,0,5,-3.8542,-32.4467,42:24.1,FastGPS,-3.8542,-32.4467,,,4.9,-0.9,,,,15,27,26546,,,,32,10480,,,,16,24759,,,,26,19916,,,,31,27418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,3:01:29,2,-7198,58,28,0,7,-3.8543,-32.4463,01:30.0,FastGPS,-3.8543,-32.4463,,1,1.4,-0.9,,,,15,16,9709,,,,27,18448,,,,8,20774,,,,11,11090,,,,21,16103,,,,22,16307,,,,26,22620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,4:22:33,2,-7198,59,28,0,7,-3.8541,-32.4464,22:34.6,FastGPS,-3.8541,-32.4464,,1,11.9,-0.4,,,,15,21,26023,,,,11,24816,,,,1,15080,,,,3,4210,,,,16,25289,,,,26,6109,,,,7,24687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,6:08:32,3,-7198,60,29,0,5,-3.854,-32.4467,08:34.0,FastGPS,-3.854,-32.4467,,,15.9,0,,,,15,4,11832,,,,3,1421,,,,27,4997,,,,16,8956,,,,8,15409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,9:32:12,2,-7198,61,35,0,4,-3.8457,-32.4392,12/3/20 8:40,NP,-3.851,-32.4414,,,0.4,0.6,,,,15,17,22093,,,,7,5268,,,,19,6219,,,,4,10114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,10:38:24,5,-7198,62,35,0,6,-3.8471,-32.4391,38:25.1,FastGPS,-3.8471,-32.4391,,,2.4,-0.9,,,,15,28,26878,,,,14,6592,,,,30,11472,,,,9,23638,,,,7,29367,,,,13,30914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,11:42:33,4,-7198,63,35,0,7,-3.8442,-32.4404,42:35.1,FastGPS,-3.8442,-32.4404,,,11.7,0.1,,,,15,7,7042,,,,6,27073,,,,13,22052,,,,5,31695,,,,9,9479,,,,30,26578,,,,2,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,12:47:14,2,-7198,64,,0,9,-3.8463,-32.4378,47:16.6,FastGPS,-3.8463,-32.4378,,,8.8,0.6,,,,15,17,11985,,,,2,23016,,,,30,7314,,,,7,5940,,,,28,27990,,,,14,4986,,,,13,2118,,,,15,32386,,,,5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,16:35:20,1,-7198,67,37,0,7,-3.845,-32.4422,35:22.1,FastGPS,-3.845,-32.4422,,,7,0.1,,,,15,15,29960,,,,18,8417,,,,12,7372,,,,24,13451,,,,2,29273,,,,29,15370,,,,25,29536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,18:07:25,2,-7198,68,38,0,8,-3.8514,-32.4448,07:27.1,FastGPS,-3.8514,-32.4448,,,7.8,0.1,,,,15,15,22977,,,,5,4514,,,,20,27799,,,,24,25493,,,,23,3338,,,,18,21691,,,,13,785,,,,12,32632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,19:16:07,2,-7198,69,38,0,5,-3.8539,-32.4455,16:09.6,FastGPS,-3.8539,-32.4455,,,2.8,0.6,,,,15,29,16143,,,,12,3753,,,,15,16214,,,,18,24332,,,,13,31619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,22:40:25,1,-7198,71,42,0,4,-3.8542,-32.4493,12/5/20 8:20,NP,-3.8537,-32.4459,,,1.1,0.1,,,,15,32,14149,,,,29,12770,,,,26,13480,,,,31,9184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luquinha,4-Dec-20,23:50:25,1,-7198,72,42,0,6,-3.8542,-32.4466,50:26.1,FastGPS,-3.8542,-32.4466,,,5,-0.9,,,,15,31,28976,,,,32,561,,,,26,18402,,,,29,21682,,,,18,26401,,,,10,20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
