,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
159774,11-May-2016,00:03:00,16,2.000000,33,5,0,4,28.8956,-82.6135,02:05:45 11-May-2016,MA,28.8952,-82.6128,,,0.2,-2.0,,,,15,3,6430,,,,19,32048,,,,28,4404,,,,17,17050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,11-May-2016,01:00:00,3,2.000000,34,5,0,5,28.8959,-82.6131,00:59:59.56 11-May-2016,FastGPS,28.8959,-82.6131,,,0.1,-2.4,,,,15,6,12958,,,,19,6727,,,,24,21128,,,,28,10447,,,,17,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,11-May-2016,02:00:00,2,2.000000,35,5,0,6,28.8950,-82.6132,02:00:00.85 11-May-2016,FastGPS,28.8950,-82.6132,,,12.8,-1.1,,,,15,12,433,,,,17,18786,,,,6,20113,,,,19,4145,,,,2,6292,,,,24,10501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,11-May-2016,17:00:00,1,2.000000,50,5,0,8,28.8419,-82.7467,17:00:00.960001 11-May-2016,FastGPS,28.8419,-82.7467,,,12.2,-1.0,,,,15,16,27371,,,,9,9849,,,,23,792,,,,27,30597,,,,8,18091,,,,4,8224,,,,26,10635,,,,7,23393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,12-May-2016,20:04:01,2,2.000000,58,37,0,6,28.8533,-82.7383,20:04:02.040001 12-May-2016,FastGPS,28.8533,-82.7383,,,14.8,-1.0,,,,15,9,10379,,,,8,5647,,,,30,3551,,,,17,29304,,,,7,19700,,,,28,18241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,13-May-2016,03:06:40,2,2.000000,59,54,0,4,28.8476,-82.7402,15:01:54.1 13-May-2016,FastGPS,28.8480,-82.7325,,,1.0,-0.9,,,,15,12,2449,,,,5,18086,,,,25,31367,,,,2,6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,13-May-2016,05:03:03,2,2.000000,61,54,0,8,28.8501,-82.7422,05:03:03.57 13-May-2016,FastGPS,28.8501,-82.7422,,,9.6,-1.4,,,,15,29,9616,,,,20,24069,,,,2,554,,,,5,19735,,,,12,30441,,,,25,10226,,,,13,8074,,,,15,22736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,13-May-2016,15:01:54,1,2.000000,65,68,0,6,28.8476,-82.7402,15:01:54.1 13-May-2016,FastGPS,28.8476,-82.7402,,,13.1,-1.9,,,,15,22,29446,,,,31,3512,,,,26,4380,,,,16,19633,,,,3,1379,,,,4,17044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,14-May-2016,11:07:12,1,2.000000,72,110,0,6,28.8451,-82.7346,11:07:13.19 14-May-2016,FastGPS,28.8451,-82.7346,,,6.9,-0.8,,,,15,10,28935,,,,32,264,,,,12,12881,,,,18,13197,,,,25,1995,,,,14,5027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159774,14-May-2016,12:38:02,2,2.000000,73,112,0,6,28.8433,-82.7373,12:38:03.73 14-May-2016,FastGPS,28.8433,-82.7373,,,0.9,-0.3,,,,15,32,23117,,,,31,14292,,,,14,3982,,,,10,27951,,,,25,3961,,,,22,30699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
