"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",159774,6047,30.49411,-84.31025,A,05/02/2016 23:43:36,Argos,0,360,SR,,401677080.8,05/02/2016 23:40:17,1,3,0,-133,401677080.8,-84.31025,30.49411,-76.52944,28.89591,40,3,16655,107088,2590,101,464,142,125,219,17,121,5,26,,,,,,,,,,,,,,,,,,,,,,,,,
"",159774,6047,30.49411,-84.31025,A,05/02/2016 23:43:36,Argos,0,360,SR,,401677080.8,05/02/2016 23:44:17,1,3,0,-133,401677080.8,-84.31025,30.49411,-76.52944,28.89591,40,3,16655,107088,2590,101,464,144,126,219,17,113,5,24,,,,,,,,,,,,,,,,,,,,,,,,,
"",159774,6047,30.49411,-84.31025,A,05/02/2016 23:43:36,Argos,0,360,SR,,401677080.8,05/02/2016 23:46:17,1,3,0,-133,401677080.8,-84.31025,30.49411,-76.52944,28.89591,40,3,16655,107088,2590,101,464,145,125,219,17,113,5,24,,,,,,,,,,,,,,,,,,,,,,,,,
"",159774,6047,29.01634,-82.66048,0,05/11/2016 00:21:10,Argos,0,350,NN,,401677009.22,05/11/2016 00:23:41,5,5,0,-131,401677009.22,-82.66048,29.01634,-82.60459,28.85407,40,3,9122,25361,3281,133,374,121,2,49,86,4,48,16,102,71,167,244,195,132,77,35,10,105,136,65,72,0,0,0,,,,,,,,,
"",159774,6047,28.89599,-82.61143,3,05/11/2016 00:31:35,Argos,0,400,SR,,401677056.56,05/11/2016 00:27:01,1,9,1,-118,401677056.56,-82.61143,28.89599,-82.61143,28.89599,56,3,183,521,64,91,232,121,130,49,86,4,48,16,102,71,167,244,195,132,77,35,10,105,136,65,72,0,0,0,,,,,,,,,
"",159774,6047,28.89599,-82.61143,3,05/11/2016 00:31:35,Argos,0,400,SR,,401677056.56,05/11/2016 00:33:41,8,9,1,-118,401677056.56,-82.61143,28.89599,-82.61143,28.89599,56,3,183,521,64,91,232,121,2,49,86,4,48,16,102,71,167,244,195,132,77,35,10,105,136,65,72,0,0,0,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:05:21,1,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,244,129,86,20,0,20,204,167,166,105,31,20,162,56,163,62,35,201,24,136,20,228,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:06:11,1,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,2,49,86,4,48,16,102,71,167,244,195,132,77,35,10,105,136,65,72,0,0,0,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:07:01,2,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,120,35,17,86,36,0,25,128,108,99,37,136,211,164,102,64,196,70,37,48,164,21,136,193,88,192,0,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:07:51,2,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,244,129,86,20,0,20,204,167,166,105,31,20,162,56,163,62,35,201,24,136,20,228,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:09:31,1,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,120,3,145,80,68,0,217,128,126,10,36,137,213,130,78,239,30,224,136,105,178,3,210,6,42,65,170,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:10:21,1,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,244,129,86,20,0,20,204,167,166,105,31,20,162,56,163,62,35,201,24,200,20,228,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:11:11,3,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,2,49,86,4,48,16,102,71,167,244,195,132,77,35,10,105,136,65,72,0,0,0,,,,,,,,,
"",159774,6047,28.8956,-82.61355,3,05/11/2016 02:05:45,Argos,0,150,MA,,401677053.87,05/11/2016 02:12:51,1,4,0,-122,401677053.87,-82.61355,28.8956,-82.61355,28.8956,58,3,129,196,84,83,148,121,244,129,86,20,0,20,204,167,162,105,31,20,162,56,163,62,35,201,24,136,20,228,,,,,,,,,
