DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
159781,159781,Mk10,23:04:27 02-May-2016,Argos,A,30.9790,-81.6663,55091,469204,6468,71,,,,,,
159781,159781,Mk10,23:44:08 02-May-2016,Argos,A,30.7165,-84.2869,93153,495441,17514,99,,,,,,
159781,159781,Mk10,00:14:08 03-May-2016,Argos,A,23.1902,-115.3682,27571,96912,7844,71,,,,,,
159781,159781,Mk10,14:28:01.3 04-May-2016,FastGPS,,30.4720,-84.3217,,,,,,,,,,
159781,159781,Mk10,14:58:01.05 04-May-2016,FastGPS,,30.4713,-84.3228,,,,,,,,,,
159781,159781,Mk10,15:17:11 04-May-2016,Argos,0,30.4771,-84.3587,2515,12086,523,99,,,,,,
159781,159781,Mk10,19:09:41 04-May-2016,Argos,B,30.4441,-84.3883,19881,246664,1602,73,,,,,,
159781,159781,Mk10,23:53:01.45 05-May-2016,FastGPS,,28.8949,-82.6130,,,,,,,,,,
159781,159781,Mk10,00:53:01.28 06-May-2016,FastGPS,,28.8953,-82.6125,,,,,,,,,,
159781,159781,Mk10,01:53:00.23 06-May-2016,FastGPS,,28.8950,-82.6130,,,,,,,,,,
159781,159781,Mk10,03:07:01 06-May-2016,Argos,B,28.8974,-82.6138,1015,1174,876,93,,,,,,
159781,159781,Mk10,03:50:31 06-May-2016,Argos,B,28.8943,-82.6120,1298,1589,1060,79,,,,,,
159781,159781,Mk10,07:33:16 06-May-2016,Argos,B,28.8928,-82.6004,1718,12196,242,106,,,,,,
159781,159781,Mk10,10:59:01 06-May-2016,Argos,3,28.8949,-82.6150,154,707,33,78,,,,,,
159781,159781,Mk10,10:59:01 06-May-2016,Argos,3,28.8949,-82.6150,154,707,33,78,,,,,,
159781,159781,Mk10,11:51:16 06-May-2016,Argos,1,28.8923,-82.6118,620,3200,120,95,,,,,,
159781,159781,Mk10,03:30:50 07-May-2016,Argos,B,28.9271,-82.6147,9145,24943,3353,85,,,,,,
159781,159781,Mk10,08:04:22.4 07-May-2016,FastGPS,,28.8354,-82.7466,,,,,,,,,,
159781,159781,Mk10,08:53:19 07-May-2016,Argos,B,28.8795,-82.6750,8855,17039,4601,92,,,,,,
159781,159781,Mk10,18:41:19 07-May-2016,Argos,B,28.8743,-82.7487,8469,14086,5091,65,,,,,,
159781,159781,Mk10,20:16:52 07-May-2016,Argos,B,28.8624,-82.7502,4227,8830,2022,69,,,,,,
159781,159781,Mk10,21:36:47 07-May-2016,Argos,B,28.8558,-82.7536,4399,8737,2214,69,,,,,,
159781,159781,Mk10,22:44:16 07-May-2016,Argos,B,28.8466,-82.7481,4053,14371,1142,60,,,,,,
159781,159781,Mk10,22:44:16 07-May-2016,Argos,B,28.8530,-82.7562,4507,8491,2392,70,,,,,,
159781,159781,Mk10,10:01:28 08-May-2016,Argos,B,28.7617,-82.7721,4767,12000,1893,50,,,,,,
159781,159781,Mk10,17:12:08 08-May-2016,Argos,B,28.7790,-82.7441,4025,7052,2297,79,,,,,,
159781,159781,Mk10,20:55:35.6 08-May-2016,FastGPS,,28.8377,-82.7493,,,,,,,,,,
159781,159781,Mk10,00:52:38.14 09-May-2016,FastGPS,,28.8395,-82.7498,,,,,,,,,,
159781,159781,Mk10,11:25:59.88 10-May-2016,FastGPS,,28.8240,-82.7560,,,,,,,,,,
159781,159781,Mk10,11:56:42 10-May-2016,Argos,A,28.8334,-82.7399,601,7435,48,124,,,,,,
159781,159781,Mk10,19:43:21 10-May-2016,Argos,B,28.8515,-82.7449,2356,5616,988,81,,,,,,
159781,159781,Mk10,08:43:14.02 12-May-2016,FastGPS,,28.8441,-82.7362,,,,,,,,,,
159781,159781,Mk10,07:51:32 13-May-2016,Argos,B,28.8351,-82.7540,3324,154564,71,46,,,,,,
159781,159781,Mk10,09:33:18 13-May-2016,Argos,B,28.8116,-82.7796,4776,24014,949,47,,,,,,
159781,159781,Mk10,10:47:17 13-May-2016,Argos,B,28.8284,-82.7622,3458,9038,1323,49,,,,,,
159781,159781,Mk10,13:48:56 13-May-2016,Argos,B,28.8434,-82.7376,3534,6297,1982,44,,,,,,
159781,159781,Mk10,21:50:18 13-May-2016,Argos,B,28.8531,-82.7120,3340,7461,1495,90,,,,,,
159781,159781,Mk10,05:57:32.78 14-May-2016,FastGPS,,28.8342,-82.7401,,,,,,,,,,
159781,159781,Mk10,10:37:40 14-May-2016,Argos,B,28.8438,-82.7317,4213,9307,1906,111,,,,,,
159781,159781,Mk10,22:24:10 14-May-2016,Argos,B,28.8768,-82.6762,4357,5539,3427,55,,,,,,
159781,159781,Mk10,14:52:52.65 17-May-2016,FastGPS,,28.8375,-82.7489,,,,,,,,,,
159781,159781,Mk10,07:52:37.21 18-May-2016,FastGPS,,28.8379,-82.7472,,,,,,,,,,
159781,159781,Mk10,04:22:40 19-May-2016,Argos,A,28.8322,-82.7468,455,1820,113,152,,,,,,
159781,159781,Mk10,08:21:38 19-May-2016,Argos,B,28.8406,-82.7378,1852,3009,1140,94,,,,,,
159781,159781,Mk10,12:29:31 19-May-2016,Argos,B,28.8444,-82.7318,2508,4711,1335,80,,,,,,
159781,159781,Mk10,12:58:56 19-May-2016,Argos,B,28.8377,-82.7375,2404,6847,844,83,,,,,,
159781,159781,Mk10,19:39:20 19-May-2016,Argos,B,28.8331,-82.7348,2816,53244,148,84,,,,,,
159781,159781,Mk10,20:57:55 19-May-2016,Argos,B,28.8355,-82.7292,2880,10678,776,82,,,,,,
159781,159781,Mk10,21:20:45 19-May-2016,Argos,B,28.8338,-82.7432,963,6326,146,163,,,,,,
159781,159781,Mk10,23:08:24 19-May-2016,Argos,B,28.8386,-82.7467,1415,1638,1222,80,,,,,,
159781,159781,Mk10,02:24:33 20-May-2016,Argos,B,28.8387,-82.7483,1701,24730,117,62,,,,,,
