,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
159781,04-May-2016,14:28:00,1,2.000000,32,10,0,5,,,,,,,,,,,,,,15,4,3781,,,,26,7949,,,,3,29905,,,,22,19722,,,,31,17660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,04-May-2016,14:43:00,1,2.000000,33,10,0,7,,,,,,,,,,,,,,15,26,12490,,,,22,7532,,,,4,27381,,,,31,22735,,,,32,7985,,,,25,12850,,,,7,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,04-May-2016,14:58:00,1,2.000000,34,10,1,6,,,,,,,,,,,,,,15,26,15545,,,,3,26512,,,,22,26264,,,,31,180,,,,4,14699,,,,32,14534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,05-May-2016,23:53:00,4,2.000000,35,10,0,4,,,,,,,,,,,,,,15,19,2070,,,,17,24704,,,,28,14179,,,,1,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,06-May-2016,00:53:00,7,2.000000,36,10,1,5,,,,,,,,,,,,,,15,6,26402,,,,28,23552,,,,19,10472,,,,17,31633,,,,3,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,06-May-2016,01:53:00,5,2.000000,37,10,1,8,,,,,,,,,,,,,,15,6,28557,,,,19,17311,,,,17,20792,,,,5,18126,,,,24,29310,,,,28,11667,,,,12,6898,,,,2,8878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,07-May-2016,08:04:22,1,2.000000,40,35,0,4,,,,,,,,,,,,,,15,15,18158,,,,18,31480,,,,29,21077,,,,20,18949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,08-May-2016,20:55:34,1,2.000000,52,,0,9,,,,,,,,,,,,,,15,7,14881,,,,30,4705,,,,11,10244,,,,28,24576,,,,8,28997,,,,17,26760,,,,1,11546,,,,13,10552,,,,9,22390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,09-May-2016,00:52:37,1,3.000000,53,74,0,7,,,,,,,,,,,,,,15,28,23370,,,,6,22094,,,,24,31800,,,,19,7862,,,,17,17542,,,,2,11338,,,,12,30747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,10-May-2016,11:25:59,1,3.000000,61,126,0,4,,,,,,,,,,,,,,15,10,24773,,,,32,28714,,,,25,2703,,,,14,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159781,12-May-2016,08:43:13,1,3.000000,67,181,0,5,,,,,,,,,,,,,,15,32,25048,,,,20,25585,,,,24,15398,,,,15,19324,,,,14,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
