DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
159781,159781,,Mk10,,,20:51:09 26-Jun-2016,,B,28.8239,-82.7414,,0,0,,7189,3.568,0.944,0.048,33.40,30.5,616.0,9,,,,,,,,,,,,80,204,48,24596,,,,,,,,,
159781,159781,,Mk10,,,19:20:01 04-Jul-2016,,,,,CRC,0,0,,8153,3.568,1.008,0.176,32.00,,-40.0,0,,,,,,,,,,,57,25,105,50,,,,,,,,2985,2751,
159781,159781,,Mk10,,,02:04:02 06-Jul-2016,,B,28.8310,-82.7730,CRC,0,0,,8322,3.568,1.008,0.196,31.90,,-40.0,0,,,,,,,,,,,50,24,123,50,,,,,,,,3067,2833,
159781,159781,,Mk10,,,09:08:14 07-Jul-2016,,B,28.8491,-82.7711,CRC,0,0,,8512,3.568,1.008,0.176,31.40,,-40.0,0,,,,,,,,,,,53,24,125,50,,,,,,,,3150,2916,
159781,159781,,Mk10,,,11:07:55 07-Jul-2016,,B,28.8375,-82.7468,,0,0,,8651,3.568,1.040,0.948,31.30,39.5,638.0,4,,,,,,,,,,,,54,189,64,11279,,,,,,,62467,40968,
159781,159781,,Mk10,,,08:58:39 08-Jul-2016,,A,28.8335,-82.7388,,0,0,,8670,3.568,1.008,0.196,31.70,14.5,-40.0,0,,,,,,,,,,,,24,147,50,39791,,,,,,,,,
159781,159781,,Mk10,,,03:33:18 09-Jul-2016,,A,28.8369,-82.7506,,0,0,,8818,3.568,1.008,0.168,31.00,52.0,732.0,8,,,,,,,,,,,,205,218,167,24845,,,,,,,,,
159781,159781,,Mk10,,,21:33:17 09-Jul-2016,,B,28.8290,-82.7398,,0,0,,8938,3.568,1.008,0.176,33.80,25.0,-40.0,0,,,,,,,,,,,,25,119,50,33424,,,,,,,,,
159781,159781,,Mk10,,,09:23:08 24-Jul-2016,,B,28.8616,-82.7190,,0,0,,10650,3.568,1.016,0.188,30.70,,-40.0,0,,,,,,,,,,,,25,94,50,160,,,,,,,,,
159781,159781,,Mk10,,23:11:57 25-Jul-2016,23:12:06 25-Jul-2016,9,B,28.8325,-82.7367,CRC,0,0,,,,1.008,0.188,,,-40.0,0,,,,,,,,,,,58,25,132,50,,,,,,,,4279,4041,
