,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
159783,04-May-2016,14:29:00,1,,32,10,0,4,30.4713,-84.3185,15:15:14 04-May-2016,MA,,,,,,,,,,15,4,31841,,,,16,6648,,,,31,9334,,,,32,28918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,04-May-2016,14:44:00,1,,33,10,0,6,30.4712,-84.3228,14:43:59.86 04-May-2016,FastGPS,30.4712,-84.3228,,,4.1,-0.1,,,,15,22,22275,,,,26,28360,,,,4,9528,,,,31,1767,,,,14,25590,,,,3,28313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,04-May-2016,14:59:00,1,,34,10,1,6,30.4713,-84.3227,14:59:00.86 04-May-2016,FastGPS,30.4713,-84.3227,,,2.1,0.9,,,,15,26,11114,,,,22,20696,,,,3,22911,,,,4,9158,,,,14,18856,,,,16,14833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,06-May-2016,20:10:00,3,,35,12,0,6,28.8951,-82.6133,20:10:01.02 06-May-2016,FastGPS,28.8951,-82.6133,,,14.0,1.0,,,,15,8,18310,,,,1,2418,,,,11,27893,,,,30,31836,,,,7,14383,,,,27,18375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,06-May-2016,21:10:00,2,,36,12,0,6,28.8951,-82.6131,21:10:01.02 06-May-2016,FastGPS,28.8951,-82.6131,,,7.8,1.0,,,,15,7,6700,,,,28,29526,,,,1,17602,,,,30,10520,,,,11,3696,,,,17,5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,06-May-2016,22:10:00,1,,37,12,0,7,28.8954,-82.6132,22:10:00.01 06-May-2016,FastGPS,28.8954,-82.6132,,,2.4,0.0,,,,15,11,21840,,,,1,21487,,,,28,4948,,,,17,26434,,,,30,250,,,,7,14690,,,,13,26186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,07-May-2016,00:13:00,1,,39,13,0,5,28.8951,-82.6135,00:13:00.91 07-May-2016,FastGPS,28.8951,-82.6135,,,10.2,0.9,,,,15,3,16929,,,,17,23634,,,,28,13751,,,,19,31110,,,,6,32658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,07-May-2016,01:13:00,2,,40,13,0,5,28.8955,-82.6132,01:12:59.97 07-May-2016,FastGPS,28.8955,-82.6132,,,4.2,-0.0,,,,15,17,24456,,,,6,7,,,,19,24488,,,,28,6141,,,,24,8272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,07-May-2016,02:13:00,2,,41,13,0,6,28.8949,-82.6130,02:13:00.09 07-May-2016,FastGPS,28.8949,-82.6130,,,8.0,0.1,,,,15,2,25623,,,,12,12906,,,,6,14667,,,,17,12522,,,,24,6490,,,,19,28340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159783,14-May-2016,18:52:28,1,1.000000,94,90,0,8,28.8974,-82.7047,18:52:29.94 14-May-2016,FastGPS,28.8974,-82.7047,,,11.5,0.9,,,,15,9,17634,,,,8,6186,,,,11,18869,,,,23,5777,,,,7,356,,,,30,3632,,,,27,25512,,,,1,26601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
