DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
169272,169272,UT,08:43:38 26-Apr-2017,Argos,3,30.4310,-84.2732,163,193,137,174,,,,,,
169272,169272,UT,23:05:11 27-Apr-2017,Argos,1,30.4266,-84.2625,621,5133,75,108,,,,,,
169272,169272,UT,23:23:14 27-Apr-2017,Argos,3,30.4313,-84.2738,141,172,114,170,,,,,,
169272,169272,UT,23:24:37 27-Apr-2017,Argos,3,30.4314,-84.2732,181,727,44,79,,,,,,
169272,169272,UT,22:58:27 28-Apr-2017,Argos,2,30.4323,-84.2731,257,641,102,39,,,,,,
169272,169272,UT,02:16:28 03-May-2017,Argos,2,25.7002,-79.3033,335,1154,97,65,,,,,,
169272,169272,UT,20:20:08 03-May-2017,Argos,A,25.7367,-79.2660,4676,83683,261,63,,,,,,
169272,169272,UT,22:13:27 03-May-2017,Argos,B,25.7375,-79.2648,8629,27715,2686,64,,,,,,
169272,169272,UT,22:36:19 03-May-2017,Argos,B,25.7394,-79.2613,5796,15685,2141,65,,,,,,
169272,169272,UT,23:21:59 03-May-2017,Argos,B,25.7473,-79.2521,3432,9473,1243,87,,,,,,
169272,169272,UT,00:10:00 04-May-2017,Argos,B,25.7505,-79.2487,2182,6264,760,91,,,,,,
169272,169272,UT,18:28:51 04-May-2017,Argos,B,25.7436,-79.2541,4747,7430,3032,96,,,,,,
169272,169272,UT,20:15:23 04-May-2017,Argos,B,25.7241,-79.2439,3657,67506,198,78,,,,,,
169272,169272,UT,22:08:43 04-May-2017,Argos,A,25.7227,-79.2594,187,302,115,118,,,,,,
169272,169272,UT,00:33:12 05-May-2017,Argos,B,25.7182,-79.2606,1604,1872,1374,80,,,,,,
169272,169272,UT,01:40:53 05-May-2017,Argos,B,25.7132,-79.2559,1728,2595,1150,58,,,,,,
169272,169272,UT,02:28:30 05-May-2017,Argos,B,25.7213,-79.2537,1649,3463,784,70,,,,,,
169272,169272,UT,11:37:23 05-May-2017,Argos,B,25.7330,-79.2461,2917,7676,1108,69,,,,,,
169272,169272,UT,12:06:37 05-May-2017,Argos,B,25.7337,-79.2537,2940,9703,890,67,,,,,,
169272,169272,UT,12:06:37 05-May-2017,Argos,B,25.7313,-79.2607,2514,6983,905,66,,,,,,
169272,169272,UT,23:20:09 05-May-2017,Argos,B,25.7342,-79.2647,2203,65246,74,117,,,,,,
169272,169272,UT,23:23:53 05-May-2017,Argos,B,25.7348,-79.2658,1710,15121,193,117,,,,,,
169272,169272,UT,23:58:41 05-May-2017,Argos,B,25.7338,-79.2642,1704,5885,493,111,,,,,,
169272,169272,UT,01:21:33 06-May-2017,Argos,B,25.7298,-79.2685,2254,5153,985,90,,,,,,
169272,169272,UT,02:08:16 06-May-2017,Argos,B,25.7291,-79.2702,2064,3210,1326,92,,,,,,
169272,169272,UT,03:02:18 06-May-2017,Argos,B,25.7276,-79.2721,2290,3299,1590,91,,,,,,
169272,169272,UT,10:15:17 06-May-2017,Argos,B,25.7297,-79.2907,3272,5384,1987,90,,,,,,
169272,169272,UT,11:59:03 06-May-2017,Argos,B,25.7311,-79.2862,3226,8483,1226,92,,,,,,
169272,169272,UT,15:21:54 06-May-2017,Argos,B,25.7232,-79.3017,2982,4337,2050,104,,,,,,
169272,169272,UT,23:01:02 06-May-2017,Argos,B,25.7075,-79.3293,3853,6006,2471,98,,,,,,
169272,169272,UT,00:36:06 07-May-2017,Argos,B,25.7224,-79.3211,4045,7513,2177,89,,,,,,
169272,169272,UT,00:58:09 07-May-2017,Argos,B,25.7234,-79.3132,3791,6719,2138,88,,,,,,
169272,169272,UT,00:58:09 07-May-2017,Argos,B,25.7173,-79.3247,4068,7404,2235,82,,,,,,
169272,169272,UT,01:07:21 07-May-2017,Argos,B,25.7316,-79.3172,3606,15738,826,90,,,,,,
169272,169272,UT,01:45:49 07-May-2017,Argos,B,25.7295,-79.2742,1474,24425,88,35,,,,,,
169272,169272,UT,13:24:48 07-May-2017,Argos,B,25.6735,-79.1322,4424,5716,3424,141,,,,,,Lat > 4 deviations from mean
169272,169272,UT,22:56:15 07-May-2017,Argos,B,25.7337,-79.1983,6095,22294,1666,84,,,,,,
169272,169272,UT,00:09:25 08-May-2017,Argos,B,25.7409,-79.1725,6086,39269,943,83,,,,,,
169272,169272,UT,00:42:02 08-May-2017,Argos,B,25.7423,-79.1762,5800,32587,1032,83,,,,,,
169272,169272,UT,02:15:28 08-May-2017,Argos,B,25.7294,-79.2318,4355,22211,853,92,,,,,,
169272,169272,UT,08:05:49 08-May-2017,Argos,B,25.7286,-79.3029,3960,11166,1404,78,,,,,,
169272,169272,UT,11:33:01 08-May-2017,Argos,B,25.7372,-79.2782,2024,45210,90,4,,,,,,
169272,169272,UT,11:39:27 08-May-2017,Argos,B,25.7317,-79.2787,1652,9389,290,4,,,,,,
169272,169272,UT,12:34:53 08-May-2017,Argos,B,25.7285,-79.2873,1377,1935,980,171,,,,,,
169272,169272,UT,23:46:29 08-May-2017,Argos,A,25.7275,-79.2716,186,453,76,128,,,,,,
169272,169272,UT,00:09:51 09-May-2017,Argos,B,25.7276,-79.2714,686,768,613,97,,,,,,
169272,169272,UT,02:00:23 09-May-2017,Argos,B,25.7267,-79.2827,1570,1714,1438,82,,,,,,
169272,169272,UT,07:54:42 09-May-2017,Argos,B,25.7237,-79.3100,2599,4267,1582,69,,,,,,
169272,169272,UT,12:05:58 09-May-2017,Argos,B,25.7224,-79.3086,3416,5384,2167,64,,,,,,
169272,169272,UT,13:04:16 09-May-2017,Argos,A,25.7288,-79.2743,241,1009,57,134,,,,,,
169272,169272,UT,03:09:34 10-May-2017,Argos,B,25.7494,-79.2324,3746,4107,3417,47,,,,,,Lon > 4 deviations from mean
169272,169272,UT,13:55:05 10-May-2017,Argos,B,25.7315,-79.2746,2481,74671,82,145,,,,,,
169272,169272,UT,22:51:31 10-May-2017,Argos,B,25.7122,-79.2741,2638,13271,524,157,,,,,,
169272,169272,UT,23:04:18 10-May-2017,Argos,B,25.7161,-79.2755,1633,4635,575,151,,,,,,
169272,169272,UT,00:09:04 11-May-2017,Argos,B,25.7245,-79.2780,1003,28586,35,89,,,,,,
169272,169272,UT,02:55:16 11-May-2017,Argos,B,25.7305,-79.2768,1125,7375,171,57,,,,,,
