Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:41:00,27.6950,-71.8283,352,135,253,72,113,,,74,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:42:58,27.6950,-71.8283,352,135,253,72,113,,,35,227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,1,26-Apr-2017,08:43:56,27.6950,-71.8283,352,135,253,72,113,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,23,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:44:25,27.6950,-71.8283,352,135,253,72,113,,,74,240,90,12,40,148,117,52,61,34,199,215,22,1,205,26,1,255,255,195,208,0,0,,,,,,,,,
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,1,26-Apr-2017,08:44:55,27.6950,-71.8283,352,135,253,72,113,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:45:24,27.6950,-71.8283,352,135,253,72,113,,,36,232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,3,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:45:53,27.6950,-71.8283,352,135,253,72,113,,,79,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6056,169273,23,NP,3,1,26-Apr-2017,08:43:01,30.4310,-84.2735,,401677278,-131,60,0,26-Apr-2017,08:46:52,27.6950,-71.8283,352,135,253,72,113,,,91,248,90,28,56,148,117,180,61,34,238,87,22,1,215,58,1,255,255,195,192,0,0,,,,,,,,,
6056,169273,23,SR,2,2,27-Apr-2017,23:06:38,30.4290,-84.2734,,401677268,-131,50,0,27-Apr-2017,23:05:40,30.4290,-84.2734,147,288,738,111,169,,,79,48,90,140,40,148,117,52,61,220,91,83,214,5,51,22,1,255,255,214,64,0,0,,,,,,,,,
6056,169273,3,SR,2,2,27-Apr-2017,23:06:38,30.4290,-84.2734,,401677268,-131,50,0,27-Apr-2017,23:06:09,30.4290,-84.2734,147,288,738,111,169,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
