DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
169274,169274,UT,08:45:29 26-Apr-2017,Argos,A,27.8146,-71.9869,5011,35174,713,93,,,,,,
169274,169274,UT,23:06:56 27-Apr-2017,Argos,A,30.4385,-84.2685,6942,39061,1233,51,,,,,,
169274,169274,UT,23:21:21 27-Apr-2017,Argos,A,30.4378,-84.2693,663,2322,189,66,,,,,,
169274,169274,UT,23:24:29 27-Apr-2017,Argos,2,30.4301,-84.2784,301,2152,42,75,,,,,,
169274,169274,UT,22:58:20 28-Apr-2017,Argos,B,30.3769,-84.3262,1451,18175,115,43,,,,,,
169274,169274,UT,13:47:32 01-May-2017,Argos,B,30.3674,-84.4025,2855,25568,318,64,,,,,,
169274,169274,UT,14:34:26 01-May-2017,Argos,A,30.3973,-84.3456,986,6434,151,85,,,,,,
169274,169274,UT,15:05:09 02-May-2017,Argos,Z,26.4237,-83.3350,165,442,61,87,,,,,,
169274,169274,UT,02:16:02 03-May-2017,Argos,Z,26.1314,-75.4512,612099,,,,,,,,,
169274,169274,UT,22:51:04 04-May-2017,Argos,B,21.3079,-57.3680,196,577,66,97,,,,,,
169274,169274,UT,23:46:44 04-May-2017,Argos,A,25.7753,-79.2615,1135,6811,189,40,,,,,,
169274,169274,UT,23:46:44 04-May-2017,Argos,B,25.8195,-79.3683,925,1335,641,76,,,,,,
169274,169274,UT,08:39:06 05-May-2017,Argos,B,25.4577,-78.8622,12739,14608,11108,88,,,,,,
169274,169274,UT,23:25:08 05-May-2017,Argos,B,25.7166,-79.1292,21117,62997,7078,103,,,,,,
169274,169274,UT,23:58:11 05-May-2017,Argos,B,25.7068,-79.1013,5919,54947,637,106,,,,,,
169274,169274,UT,11:02:41 06-May-2017,Argos,B,25.7504,-79.2336,2625,13187,522,4,,,,,,
169274,169274,UT,13:45:51 06-May-2017,Argos,B,25.7333,-79.1593,2777,4734,1628,9,,,,,,
169274,169274,UT,15:23:06 06-May-2017,Argos,1,25.7687,-79.2824,607,2371,155,115,,,,,,
169274,169274,UT,23:00:44 06-May-2017,Argos,B,25.7135,-79.2668,9577,11137,8235,65,,,,,,
169274,169274,UT,23:16:04 06-May-2017,Argos,B,25.7189,-79.2729,5516,203209,149,113,,,,,,
169274,169274,UT,23:27:59 06-May-2017,Argos,A,25.7362,-79.2944,223,720,68,93,,,,,,
169274,169274,UT,00:34:12 07-May-2017,Argos,B,25.7357,-79.2721,10758,13841,8361,171,,,,,,
169274,169274,UT,01:00:34 07-May-2017,Argos,B,25.7337,-79.2923,922,6058,140,59,,,,,,
169274,169274,UT,01:07:43 07-May-2017,Argos,B,25.7302,-79.2958,887,2605,301,60,,,,,,
169274,169274,UT,01:48:03 07-May-2017,Argos,B,25.7251,-79.2961,1153,1719,772,70,,,,,,
169274,169274,UT,02:34:35 07-May-2017,Argos,2,25.7346,-79.2792,374,2557,54,79,,,,,,
169274,169274,UT,03:26:37 07-May-2017,Argos,B,25.7330,-79.2745,1391,1598,1209,82,,,,,,
169274,169274,UT,22:33:21 07-May-2017,Argos,A,25.7343,-79.2822,157,265,92,51,,,,,,
169274,169274,UT,22:53:14 07-May-2017,Argos,3,25.7336,-79.2848,178,319,99,119,,,,,,
169274,169274,UT,23:09:34 07-May-2017,Argos,B,25.7333,-79.2832,785,870,707,89,,,,,,
169274,169274,UT,00:16:07 08-May-2017,Argos,1,25.7405,-79.2789,606,1271,289,170,,,,,,
169274,169274,UT,00:30:20 08-May-2017,Argos,1,25.7377,-79.2743,807,5493,118,66,,,,,,
169274,169274,UT,00:45:33 08-May-2017,Argos,A,25.7340,-79.2749,455,1654,125,136,,,,,,
169274,169274,UT,02:10:26 08-May-2017,Argos,A,25.7254,-79.2994,385,2671,55,60,,,,,,
169274,169274,UT,03:08:10 08-May-2017,Argos,B,25.7228,-79.3006,1079,1348,863,67,,,,,,
169274,169274,UT,03:55:18 08-May-2017,Argos,A,25.7266,-79.2834,338,760,150,165,,,,,,
169274,169274,UT,08:02:48 08-May-2017,Argos,3,25.7301,-79.2826,142,284,71,97,,,,,,
169274,169274,UT,08:02:48 08-May-2017,Argos,3,25.7301,-79.2826,142,284,71,97,,,,,,
169274,169274,UT,10:03:11 08-May-2017,Argos,B,25.7314,-79.2822,1042,14019,77,126,,,,,,
169274,169274,UT,10:51:51 08-May-2017,Argos,A,25.7288,-79.2747,262,701,98,42,,,,,,
169274,169274,UT,11:30:59 08-May-2017,Argos,A,25.7326,-79.2776,170,264,108,130,,,,,,
169274,169274,UT,11:45:09 08-May-2017,Argos,B,25.7333,-79.2802,389,1618,93,13,,,,,,
169274,169274,UT,12:33:54 08-May-2017,Argos,A,25.7306,-79.2784,177,264,118,44,,,,,,
169274,169274,UT,22:03:25 08-May-2017,Argos,3,25.7260,-79.2813,222,382,128,26,,,,,,
169274,169274,UT,22:23:19 08-May-2017,Argos,B,25.7259,-79.2809,630,702,564,81,,,,,,
169274,169274,UT,22:53:21 08-May-2017,Argos,B,25.7235,-79.2853,643,4108,100,137,,,,,,
169274,169274,UT,23:42:54 08-May-2017,Argos,A,25.7245,-79.2776,460,3844,55,122,,,,,,
169274,169274,UT,00:03:59 09-May-2017,Argos,B,25.7249,-79.2767,569,5190,62,147,,,,,,
169274,169274,UT,00:40:03 09-May-2017,Argos,B,25.7254,-79.2755,983,1298,744,137,,,,,,
169274,169274,UT,01:53:11 09-May-2017,Argos,A,25.7278,-79.2827,513,2011,130,174,,,,,,
169274,169274,UT,03:37:04 09-May-2017,Argos,B,25.7284,-79.2811,972,7004,135,65,,,,,,
169274,169274,UT,07:51:51 09-May-2017,Argos,B,25.7307,-79.2794,2340,3116,1757,72,,,,,,
169274,169274,UT,10:29:43 09-May-2017,Argos,B,25.7301,-79.2793,2636,3978,1746,86,,,,,,
169274,169274,UT,11:08:33 09-May-2017,Argos,B,25.7348,-79.2591,1388,8024,240,147,,,,,,
169274,169274,UT,11:21:26 09-May-2017,Argos,B,25.7516,-79.2730,583,3447,98,14,,,,,,
169274,169274,UT,12:11:18 09-May-2017,Argos,B,25.7287,-79.2734,699,11620,42,107,,,,,,
169274,169274,UT,13:06:51 09-May-2017,Argos,B,25.7286,-79.2673,995,13240,74,99,,,,,,
169274,169274,UT,14:18:46 09-May-2017,Argos,B,25.7248,-79.2805,823,8387,80,168,,,,,,
169274,169274,UT,20:52:04 09-May-2017,Argos,B,25.6912,-79.2562,1696,36257,79,146,,,,,,
169274,169274,UT,22:41:22 09-May-2017,Argos,B,25.7034,-79.2621,2352,4934,1120,141,,,,,,
169274,169274,UT,23:34:05 09-May-2017,Argos,B,25.7386,-79.2799,1447,9297,225,94,,,,,,
169274,169274,UT,00:24:50 10-May-2017,Argos,B,25.7312,-79.2849,1971,47685,81,88,,,,,,
169274,169274,UT,01:30:19 10-May-2017,Argos,A,25.7294,-79.2824,175,321,95,56,,,,,,
169274,169274,UT,02:26:15 10-May-2017,Argos,B,25.7313,-79.2854,1036,1171,914,86,,,,,,
169274,169274,UT,03:14:13 10-May-2017,Argos,B,25.7274,-79.2889,918,6002,140,122,,,,,,
169274,169274,UT,07:50:15 10-May-2017,Argos,B,25.7285,-79.3038,2380,3109,1822,111,,,,,,
169274,169274,UT,10:39:04 10-May-2017,Argos,B,25.7274,-79.2962,1822,87361,38,77,,,,,,
169274,169274,UT,11:17:37 10-May-2017,Argos,B,25.7293,-79.2906,1668,4737,586,78,,,,,,
169274,169274,UT,11:44:40 10-May-2017,Argos,B,25.7302,-79.2899,1769,4424,707,80,,,,,,
169274,169274,UT,20:42:01 10-May-2017,Argos,B,25.7087,-79.2748,3186,5680,1786,69,,,,,,
169274,169274,UT,22:28:41 10-May-2017,Argos,B,25.7064,-79.2970,2006,29150,138,1,,,,,,
169274,169274,UT,22:55:34 10-May-2017,Argos,B,25.7101,-79.2968,2071,7229,593,1,,,,,,
169274,169274,UT,00:06:52 11-May-2017,Argos,B,25.7155,-79.3018,2012,3325,1217,177,,,,,,
169274,169274,UT,01:11:06 11-May-2017,Argos,B,25.7340,-79.2810,1743,29213,104,151,,,,,,
169274,169274,UT,02:07:31 11-May-2017,Argos,B,25.7330,-79.2750,1463,2593,824,139,,,,,,
169274,169274,UT,02:55:12 11-May-2017,Argos,B,25.7292,-79.2759,1061,26718,42,84,,,,,,
169274,169274,UT,07:29:34 11-May-2017,Argos,B,25.7396,-79.2512,2404,3401,1698,78,,,,,,
