DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
169274,169274,UT,DS,3,0,1,78,63,08:45:29 26-Apr-2017,NP,A,27.8146,-71.9869,30.4287,-84.0727,40,,401677279,-135
169274,169274,UT,DS,3,0,2,79,32,23:06:56 27-Apr-2017,SR,A,30.4385,-84.2685,30.4385,-84.2685,,,401677233,-136
169274,169274,UT,DS,3,0,0,31,31,23:21:21 27-Apr-2017,NN,A,30.4378,-84.2693,30.4378,-84.2693,6,,401677227,-131
169274,169274,UT,DS,5,2,0,,,23:24:29 27-Apr-2017,NK,2,30.4301,-84.2784,30.4301,-84.2784,56,,401677232,-128
169274,169274,UT,DS,2,0,1,63,63,22:58:20 28-Apr-2017,NK,B,30.3769,-84.3262,30.3769,-84.3262,,,401677226,-130
169274,169274,UT,DS,1,0,1,,,15:00:36 30-Apr-2017,MB,,,,,,,,401650000,-135
169274,169274,UT,DS,2,0,1,94,94,13:47:32 01-May-2017,NK,B,30.3674,-84.4025,30.3674,-84.4025,,,401677220,-135
169274,169274,UT,DS,3,0,0,110,63,14:34:26 01-May-2017,NN,A,30.3973,-84.3456,30.3973,-84.3456,7,,401677242,-127
169274,169274,UT,DS,3,0,0,141,31,15:05:09 02-May-2017,MA,Z,26.4237,-83.3350,26.4237,-83.3350,30,,401680476,-131
169274,169274,UT,DS,7,0,0,52,31,02:16:02 03-May-2017,MA,Z,26.1314,-75.4512,26.1314,-75.4512,31,,401677872,-128
169274,169274,UT,DS,1,0,1,,,20:07:11 04-May-2017,NP,,,,,,,,401650000,-131
169274,169274,UT,DS,1,0,0,,,22:04:52 04-May-2017,NK,,,,,,,,401650000,-133
169274,169274,UT,DS,2,0,1,296,296,22:51:04 04-May-2017,SR,B,21.3079,-57.3680,25.8944,-79.4006,,,401677279,-130
169274,169274,UT,DS,3,0,0,111,40,23:46:44 04-May-2017,NK,A,25.7753,-79.2615,25.7753,-79.2615,8,,401677145,-122
169274,169274,UT,DS,1,0,0,,,23:46:44 04-May-2017,NN,B,25.8195,-79.3683,25.8195,-79.3683,,,401677223,-133
169274,169274,UT,DS,1,0,0,,,08:39:06 05-May-2017,NP,B,25.4577,-78.8622,25.4577,-78.8622,8,,401677193,-126
169274,169274,UT,DS,1,0,0,,,23:25:08 05-May-2017,NK,B,25.7166,-79.1292,25.7166,-79.1292,,,401677233,-124
169274,169274,UT,DS,1,0,0,,,23:58:11 05-May-2017,SR,B,25.7068,-79.1013,25.7068,-79.1013,8,,401677230,-124
