uid,uuid,prognum,tag_id,utc,lc,iq,lat1,dir1,lon1,dir2,lat2,dir3,lon2,dir4,nb_mes,big_nb_mes,best_level,pass_duration,nopc,calcul_freq,altitude,sensors,error_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,GDOP,POSIX,local_time,Swapped,POSIX,Local Time,Day of Year,Depth (m),SST daily (C),SST weekly (C),SST monthly (C),Current U (cm/s),Current V (cm s-1),Current Mag (cm s-1),Current Dir (deg),Wind U (m s-1),Wind V (m s-1),Wind Mag (m s-1),Wind Dir (deg),CHL daily (mg m-3),CHL weekly (mg m-3),CHL monthly (mg m-3),Productivity weekly (mg C/m^2/Day),Productivity monthly (mg C/m^2/Day),From Shore (km),Wet/Dry,Country,Displacement (km),Distance (km),Cummulative (km),Hours,Cummulative (days),Speed (kph),Bearing (deg),Azimuth (deg),sensors,,,,,,,
5825791,,4296,104833,10/22/2011 23:13,1,60,29.759,N,-85.385,W,22.133,N,-120.723,W,4,0,-134,273,1,401 677606.4,0,01 114 221 46 82 106 136,,,,,,1319357628,10/22/2011 23:13,0,1319357628,10/22/2011 23:13,295,-0.46,22.65,23.42,23.73,99999.99,99999.99,,,,,,,5.20755,4.95074,6.31902,,,0,ocean,United States,0.3,0.29,0.29,5.15,0.21,0.06,89.99925547,,01 114 221 46 82 106 136,1,114,221,46,82,106,136
5825792,,4296,104833,10/23/2011 0:00,B,0,29.767,N,-85.383,W,37.025,N,-50.951,W,2,0,-127,212,2,401 677606.4,0,01 115 220 51 84 106 133,,,,,,1319360418,10/23/2011 0:00,0,1319360418,10/23/2011 0:00,296,-2,22.24,24.21,23.68,99999.99,99999.99,,,,,,,-9.99999999,5.32044,6.70948,,,0,ocean,United States,1,0.91,1.2,0.78,0.25,1.17,12.30434295,,01 115 220 51 84 106 133,1,115,220,51,84,106,133
5825793,,4296,104833,10/23/2011 0:56,0,50,29.763,N,-85.378,W,32.107,N,-74.018,W,4,0,-121,338,0,401 677606.6,0,01 102 218 66 70 110 129,,,,,,1319363807,10/23/2011 0:56,0,1319363807,10/23/2011 0:56,296,-1.55,22.23,24.19,23.63,99999.99,99999.99,,,,,,,-9.99999999,5.41193,6.89679,,,1,ocean,United States,1.1,0.66,1.86,0.94,0.29,0.7,132.5173796,,01 102 218 66 70 110 129,1,102,218,66,70,110,129
5828800,,4296,104833,10/23/2011 5:50,B,0,29.768,N,-85.353,W,18.794,N,-36.73,W,2,0,-137,59,2,401 677609.8,0,03 83 217 50 114 111 125,,,,,,1319381415,10/23/2011 5:50,0,1319381415,10/23/2011 5:50,296,-2,-99.99,-99.99,23.66,99999.99,99999.99,,,,,,,-9.99999999,-9.99999999,-9.99999999,,,3,ocean,United States,3.5,2.48,4.34,4.89,0.49,0.51,77.08274976,,03 83 217 50 114 111 125,3,83,217,50,114,111,125
5828801,,4296,104833,10/23/2011 6:59,2,66,29.763,N,-85.38,W,20.375,N,-42.856,W,4,0,-131,467,3,401 677609.8,0,01 118 216 178 141 70 214,,,,,,1319385580,10/23/2011 6:59,0,1319385580,10/23/2011 6:59,296,-1.47,22.26,24.2,23.66,99999.99,99999.99,,,,,,,-9.99999999,5.31917,6.76869,,,1,ocean,United States,0.9,2.67,7.01,1.16,0.54,2.31,258.023333,,01 118 216 178 141 70 214,1,118,216,178,141,70,214
5828802,,4296,104833,10/23/2011 7:34,0,68,29.758,N,-85.386,W,29.843,N,-85.734,W,4,0,-127,691,2,401 677610.7,0,01 107 209 63 64 110 121,,,,,,1319387662,10/23/2011 7:34,0,1319387662,10/23/2011 7:34,296,-0.21,22.48,24.26,23.74,99999.99,99999.99,,,,,,,-9.99999999,4.87264,6.22481,,,0,ocean,United States,0.2,0.8,7.81,0.58,0.56,1.38,226.3173497,,01 107 209 63 64 110 121,1,107,209,63,64,110,121
5828803,,4296,104833,10/23/2011 11:31,B,0,29.752,N,-85.386,W,35.217,N,-111.233,W,2,0,-129,46,2,401 677609.8,0,01 111 215 51 85 102 119,,,,,,1319401902,10/23/2011 11:31,0,1319401902,10/23/2011 11:31,296,0.7,22.6,24.28,23.75,99999.99,99999.99,,,,,,,-9.99999999,4.67071,6.0333,,,0,ocean,United States,0.8,0.67,8.48,3.96,0.73,0.17,180,,01 111 215 51 85 102 119,1,111,215,51,85,102,119
5828805,,4296,104833,10/23/2011 13:15,1,58,29.745,N,-85.372,W,25.772,N,-65.921,W,4,0,-123,277,4,401 677609.7,0,01 77 68 72 67 110 59,,,,,,1319408146,10/23/2011 13:15,0,1319408146,10/23/2011 13:15,296,-1.04,-99.99,-99.99,23.65,99999.99,99999.99,,,,,,,-9.99999999,-9.99999999,-9.99999999,,,1,ocean,United States,2.2,1.56,10.04,1.73,0.8,0.9,119.8086086,,01 77 68 72 67 110 59,1,77,68,72,67,110,59
5828806,,4296,104833,10/23/2011 17:16,A,8,29.72,N,-85.343,W,39.391,N,-38.846,W,3,0,-131,284,3,401 677620.3,0,01 115 213 53 83 110 129,,,,,,1319422613,10/23/2011 17:16,0,1319422613,10/23/2011 17:16,296,-2,-99.99,-99.99,23.5,99999.99,99999.99,,,,,,,-9.99999999,-9.99999999,-9.99999999,,,2,ocean,United States,6.1,3.95,13.99,4.02,0.97,0.98,134.6396198,,01 115 213 53 83 110 129,1,115,213,53,83,110,129
5831358,,4296,104833,10/25/2011 1:48,A,0,29.738,N,-85.379,W,26.801,N,-99.484,W,3,0,-125,96,2,401 677615.9,0,02 117 211 51 84 110 113,,,,,,1319539714,10/25/2011 1:48,0,1319539714,10/25/2011 1:48,298,0.22,22.42,21.45,23.71,99999.99,99999.99,,,,,,,-9.99999999,3.96534,5.95807,,,0,ocean,United States,2.5,4.02,18.01,32.53,2.32,0.12,299.8161536,,02 117 211 51 84 110 113,2,117,211,51,84,110,113
