DeployID,Platform ID No.,Prg No.,Latitude,Longitude,Loc. quality,Loc. date,Loc. type,Altitude,Pass,Sat.,Mote Id,Frequency,Msg Date,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
,142658,23141,29.68398,-85.36981,B,6/10/2017 1:08,Argos,0,92,NN,,401650000,6/10/2017 1:07,1,2,0,-130,401650000,-85.36981,29.68398,-85.36981,29.68398,8,3,0,0,0,47,3488,3,133,224,33,87,114,184,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68398,-85.36981,B,6/10/2017 1:08,Argos,0,92,NN,,401650000,6/10/2017 1:08,1,2,0,-130,401650000,-85.36981,29.68398,-85.36981,29.68398,8,3,0,0,0,47,3488,3,133,224,34,87,114,184,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68617,-85.37221,2,6/10/2017 2:37,Argos,0,0,MA,,401650000,6/10/2017 2:33,1,1,0,-134,401650000,-85.37221,29.68617,-85.37221,29.68617,60,0,309,1134,84,102,801,3,135,223,35,87,134,175,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68617,-85.37221,2,6/10/2017 2:37,Argos,0,0,MA,,401650000,6/10/2017 2:37,1,1,0,-134,401650000,-85.37221,29.68617,-85.37221,29.68617,60,0,309,1134,84,102,801,3,135,222,33,86,114,175,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68617,-85.37221,2,6/10/2017 2:37,Argos,0,0,MA,,401650000,6/10/2017 2:39,1,1,0,-134,401650000,-85.37221,29.68617,-85.37221,29.68617,60,0,309,1134,84,102,801,3,135,222,32,86,134,175,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68617,-85.37221,2,6/10/2017 2:37,Argos,0,0,MA,,401650000,6/10/2017 2:40,1,1,0,-134,401650000,-85.37221,29.68617,-85.37221,29.68617,60,0,309,1134,84,102,801,3,135,223,35,87,114,175,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68448,-85.36926,A,6/10/2017 4:15,Argos,0,184,MA,,401677301.9,6/10/2017 4:12,1,3,0,-131,401677301.9,-85.36926,29.68448,-85.36926,29.68448,8,3,592,1962,178,147,1651,3,130,222,36,86,122,169,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68448,-85.36926,A,6/10/2017 4:15,Argos,0,184,MA,,401677301.9,6/10/2017 4:14,1,3,0,-131,401677301.9,-85.36926,29.68448,-85.36926,29.68448,8,3,592,1962,178,147,1651,3,130,222,36,86,126,169,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.68448,-85.36926,A,6/10/2017 4:15,Argos,0,184,MA,,401677301.9,6/10/2017 4:15,1,3,0,-131,401677301.9,-85.36926,29.68448,-85.36926,29.68448,8,3,592,1962,178,147,1651,3,130,221,33,86,130,110,,,,,,,,,,,,,,,,,,,,,,,,,
,142658,23141,29.69061,-85.37377,B,6/11/2017 1:14,Argos,0,0,SR,,401677300.3,6/11/2017 1:14,1,1,0,-140,401677300.3,-85.37377,29.69061,-85.37377,29.69061,0,3,2063,31971,133,153,5825,4,127,220,165,91,110,181,,,,,,,,,,,,,,,,,,,,,,,,,
