"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",172678,23141,37.62999,-135.89618,A,07/16/2018 17:32:51,Argos,0,386,MB,,401677554.67,07/16/2018 17:30:28,1,3,0,-132,401677554.67,-135.89618,37.62999,-95.1833,29.0652,0,0,0,0,0,11,2451,88,112,131,220,104,74,191,225,56,69,228,213,70,15,131,28,1,255,255,218,194,0,0,,,,,,,,,
"",172678,23141,37.62999,-135.89618,A,07/16/2018 17:32:51,Argos,0,386,MB,,401677554.67,07/16/2018 17:31:11,1,3,0,-132,401677554.67,-135.89618,37.62999,-95.1833,29.0652,0,0,0,0,0,11,2451,86,193,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,37.62999,-135.89618,A,07/16/2018 17:32:51,Argos,0,386,MB,,401677554.67,07/16/2018 17:36:54,1,3,0,-132,401677554.67,-135.89618,37.62999,-95.1833,29.0652,0,0,0,0,0,11,2451,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.03191,-95.2028,B,07/17/2018 21:31:55,Argos,0,568,NP,,401677417.75,07/17/2018 21:22:28,1,2,0,-129,401677417.75,-95.2028,29.03191,-95.2028,29.03191,0,3,0,0,0,150,9914,76,208,131,220,104,74,185,225,24,213,102,152,150,17,187,18,1,255,36,218,0,255,128,,,,,,,,,
"",172678,23141,29.03191,-95.2028,B,07/17/2018 21:31:55,Argos,0,568,NP,,401677417.75,07/17/2018 21:31:56,1,2,0,-129,401677417.75,-95.2028,29.03191,-95.2028,29.03191,0,3,0,0,0,150,9914,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.02989,-95.21007,B,07/17/2018 22:54:49,Argos,0,0,SR,,401677416.82,07/17/2018 22:54:50,1,1,0,-135,401677416.82,-95.21007,29.02989,-95.21007,29.02989,8,3,1782,10308,308,144,5032,109,139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.02989,-95.21007,B,07/17/2018 22:54:49,Argos,0,0,SR,,401677416.82,07/17/2018 22:56:49,1,1,0,-135,401677416.82,-95.21007,29.02989,-95.21007,29.02989,8,3,1782,10308,308,144,5032,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.03128,-95.21091,B,07/17/2018 23:09:58,Argos,0,0,NP,,401677417.29,07/17/2018 23:09:59,1,1,0,-131,401677417.29,-95.21091,29.03128,-95.21091,29.03128,6,3,1305,3302,515,139,3678,83,208,131,220,104,74,185,225,24,220,158,88,22,17,227,20,1,255,36,218,48,255,128,,,,,,,,,
"",172678,23141,29.03126,-95.20968,3,07/18/2018 00:03:28,Argos,0,284,NK,,401677418.6,07/18/2018 00:00:37,1,3,0,-122,401677418.6,-95.20968,29.03126,-95.20968,29.03126,58,3,219,457,104,63,272,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.03126,-95.20968,3,07/18/2018 00:03:28,Argos,0,284,NK,,401677418.6,07/18/2018 00:04:29,1,3,0,-122,401677418.6,-95.20968,29.03126,-95.20968,29.03126,58,3,219,457,104,63,272,75,169,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.03126,-95.20968,3,07/18/2018 00:03:28,Argos,0,284,NK,,401677418.6,07/18/2018 00:05:21,1,3,0,-122,401677418.6,-95.20968,29.03126,-95.20968,29.03126,58,3,219,457,104,63,272,81,255,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",172678,23141,29.03126,-95.20968,3,07/18/2018 00:03:28,Argos,0,284,NK,,401677418.6,07/18/2018 00:06:41,1,3,0,-122,401677418.6,-95.20968,29.03126,-95.20968,29.03126,58,3,219,457,104,63,272,83,16,131,220,104,74,185,225,25,0,105,216,146,18,1,18,1,255,36,218,160,255,128,,,,,,,,,
"",172678,23141,29.03217,-95.22047,0,07/18/2018 00:33:40,Argos,0,358,SR,,401677416.68,07/18/2018 00:30:49,1,5,0,-121,401677416.68,-95.22047,29.03217,-95.22047,29.03217,58,3,1926,46493,79,101,1486,95,176,131,220,104,66,185,225,25,0,235,216,148,18,11,18,1,255,44,218,112,255,128,,,,,,,,,
"",172678,23141,29.03217,-95.22047,0,07/18/2018 00:33:40,Argos,0,358,SR,,401677416.68,07/18/2018 00:31:32,1,5,0,-121,401677416.68,-95.22047,29.03217,-95.22047,29.03217,58,3,1926,46493,79,101,1486,90,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
