"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:41:45,1,14,0,-124,401650000,,,,,,,,,,,,95,129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:42:01,1,14,0,-124,401650000,,,,,,,,,,,,111,145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:42:32,2,14,0,-124,401650000,,,,,,,,,,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:43:03,1,14,0,-124,401650000,,,,,,,,,,,,84,134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:43:50,1,14,0,-124,401650000,,,,,,,,,,,,22,75,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:44:37,2,14,0,-124,401650000,,,,,,,,,,,,106,144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:45:39,1,14,0,-124,401650000,,,,,,,,,,,,90,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:45:54,1,14,0,-124,401650000,,,,,,,,,,,,105,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:46:10,1,14,0,-124,401650000,,,,,,,,,,,,82,16,131,220,232,38,62,156,247,190,244,86,88,3,37,32,1,255,255,216,224,0,0,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:46:25,3,14,0,-124,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:46:57,1,14,0,-124,401650000,,,,,,,,,,,,66,148,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,388,MB,,401650000,10/14/2019 15:47:12,1,14,0,-124,401650000,,,,,,,,,,,,84,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,15,MA,,401650000,10/14/2019 16:06:24,1,2,0,-122,401650000,,,,,,,,,,,,105,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,,,,,,,15,MA,,401650000,10/14/2019 16:06:40,1,2,0,-122,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:17:04,1,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,108,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:17:35,1,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:20:42,1,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,68,139,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:23:50,2,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,108,142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:24:21,2,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",181790,27141,30.31194,-87.56714,0,10/14/2019 16:23:09,Argos,0,218,NN,,401650000,10/14/2019 16:25:08,1,3,0,-135,401650000,-87.56714,30.31194,-87.56714,30.31194,40,3,1569,2165,1137,9,281,78,16,131,220,232,38,62,156,247,65,163,211,86,4,81,28,1,255,255,233,80,0,0,,,,,,,,,
