Platform ID ,Platform,Prg No.,Latitude,Lat (DD),Longitude,Lon (DD),Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Alarm,Format name,PTT CURRENT ,BATTERY ,NB OF ,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,,,,,,,,,,,,,,,,
144320,,14230,"26ç 11' 31""N",26.19194444,"51ç 11' 48""E",51.19666667,,,A,16.12.14 09:46:43,0,418,NP,401677436,16.12.14 09:46:37,1,N,FORMAT TEMPL. 31X8-A1 ,,,,6,113,207,75,69,126,151,,,,,,,,,"51ç 11' 48""E","26ç 11' 31""N","65ç 39' 30""E","29ç 17' 59""N",0,3,3,0,-124,677436,171,341,85,87,297,,,,,,,,,,,,,,,,
144320,,14230,"26ç 11' 39""N",26.19416667,"51ç 11' 51""E",51.1975,,,B,16.12.14 22:18:33,0,420,NP,401677440.4,16.12.14 22:15:04,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,136,0,0,0,0,0,0,68,253,108,16,5,0,222,"51ç 11' 51""E","26ç 11' 39""N","51ç 11' 51""E","26ç 11' 39""N",8,3,2,0,-126,677440.4,2116,54898,81,39,5966,,,,,,,,,,,,,,,,
144320,,14230,"26ç 10' 02""N",26.16722222,"51ç 10' 41""E",51.17805556,,,B,17.12.14 11:13:03,0,144,NP,401677438.4,17.12.14 11:11:52,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,232,0,0,0,0,0,0,0,239,1,0,0,0,247,"51ç 10' 41""E","26ç 10' 02""N","51ç 10' 41""E","26ç 10' 02""N",8,3,2,0,-137,677438.4,2838,51537,156,75,8019,,,,,,,,,,,,,,,,
144320,,14230,"26ç 09' 43""N",26.16194444,"51ç 14' 02""E",51.23388889,,,B,18.12.14 18:08:15,0,503,MA,401677447.4,18.12.14 18:08:16,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,8,0,0,0,0,0,0,1,236,3,17,24,196,230,"51ç 14' 02""E","26ç 09' 43""N","51ç 14' 02""E","26ç 09' 43""N",0,3,2,0,-122,677447.4,3206,75846,135,5,9059,,,,,,,,,,,,,,,,
144320,,14230,"26ç 12' 48""N",26.21333333,"51ç 13' 42""E",51.22833333,,,B,20.12.14 23:17:21,0,44,NP,401677447.4,20.12.14 23:17:00,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,232,0,0,0,1,42,194,235,216,46,111,255,254,24,"51ç 13' 42""E","26ç 12' 48""N","51ç 13' 42""E","26ç 12' 48""N",0,3,2,0,-125,677447.4,3570,33784,377,85,10088,,,,,,,,,,,,,,,,
144320,,14230,"26ç 11' 12""N",26.18666667,"51ç 13' 33""E",51.22583333,,,1,22.12.14 06:23:56,0,453,MB,401677443.5,22.12.14 06:28:13,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,40,0,0,0,0,0,0,12,14,222,61,142,239,202,"51ç 13' 33""E","26ç 11' 12""N","51ç 13' 33""E","26ç 11' 12""N",58,3,4,0,-129,677443.5,1315,23814,72,102,1183,,,,,,,,,,,,,,,,
144320,,14230,"26ç 12' 48""N",26.21333333,"51ç 13' 42""E",51.22833333,,,B,20.12.14 23:17:21,0,44,NP,401677447.4,20.12.14 23:17:00,1,N,FORMAT TEMPL. 31X8-A1 ,,,,49,232,0,0,0,1,42,194,235,216,46,111,255,254,24,,,,,,,,,,,,,,,,,"51ç 13' 42""E","26ç 12' 48""N","51ç 13' 42""E","26ç 12' 48""N",0,3,2,0,-125,677447.4,3570,33784,377,85,10088
144320,,14230,"26ç 11' 12""N",26.18666667,"51ç 13' 33""E",51.22583333,,,1,22.12.14 06:23:56,0,453,MB,401677443.5,22.12.14 06:28:13,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,40,0,0,0,0,0,0,12,14,222,61,142,239,202,,,,,,,,,,,,,,,,,"51ç 13' 33""E","26ç 11' 12""N","51ç 13' 33""E","26ç 11' 12""N",58,3,4,0,-129,677443.5,1315,23814,72,102,1183
144320,,14230,"26ç 11' 43""N",26.19527778,"51ç 12' 08""E",51.20222222,,,B,24.12.14 22:28:22,0,142,NP,401677449,24.12.14 22:27:11,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,238,0,0,0,0,0,4,0,0,0,0,0,0,220,,,,,,,,,,,,,,,,,"51ç 12' 08""E","26ç 11' 43""N","51ç 12' 08""E","26ç 11' 43""N",8,3,2,0,-123,677449,1452,35297,59,124,4081
144320,,14230,"26ç 11' 35""N",26.19305556,"51ç 11' 13""E",51.18694444,,,0,26.12.14 09:32:46,0,282,NP,401677442.3,26.12.14 09:33:30,1,N,FORMAT TEMPL. 31X8-A1 ,,,,50,206,0,0,0,0,0,0,249,0,0,0,0,188,213,,,,,,,,,,,,,,,,,"51ç 11' 13""E","26ç 11' 35""N","51ç 11' 13""E","26ç 11' 35""N",40,3,4,0,-131,677442.3,7833,70562,869,80,1475
