,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
142698,08-Feb-2017,17:13:00,1,12.000000,39,6,1,6,25.4116,-80.3057,17:13:11.35 08-Feb-2017,FastGPS,25.4116,-80.3057,,,2.9,-0.6,,,,15,10,12062,,,,31,21695,,,,18,12835,,,,12,3916,,,,32,25305,,,,11,23824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,09-Feb-2017,11:29:57,2,12.000000,42,6,0,6,25.4131,-80.3152,11:30:08.38 09-Feb-2017,FastGPS,25.4131,-80.3152,,,12.4,-0.6,,,,15,15,27071,,,,2,27710,,,,29,4153,,,,5,15100,,,,20,12624,,,,13,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,09-Feb-2017,18:27:36,1,12.000000,43,9,0,7,25.4075,-80.3199,18:27:47.97 09-Feb-2017,FastGPS,25.4075,-80.3199,,1,15.1,-0.0,,,,15,32,2482,,,,25,22688,,,,31,7270,,,,4,5175,,,,14,10414,,,,26,32200,,,,10,5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,13-Feb-2017,15:29:11,1,12.000000,56,39,0,8,25.4116,-80.3142,15:29:22.25 13-Feb-2017,FastGPS,25.4116,-80.3142,,,10.5,-0.7,,,,15,10,716,,,,21,8958,,,,32,27177,,,,12,606,,,,18,26809,,,,24,11824,,,,31,16179,,,,14,23770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,16-Feb-2017,18:51:54,1,12.000000,66,69,0,8,25.4075,-80.3039,18:52:05.025 16-Feb-2017,FastGPS,25.4075,-80.3039,,2,7.3,-1.0,,,,15,31,29190,,,,14,2771,,,,32,14342,,,,22,4488,,,,4,31504,,,,26,20038,,,,29,26748,,,,25,27978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,17-Feb-2017,12:15:35,1,12.000000,68,80,0,7,25.4102,-80.3009,12:15:47.03 17-Feb-2017,FastGPS,25.4102,-80.3009,,,6.6,0.0,,,,15,29,11305,,,,15,5636,,,,18,20221,,,,20,28064,,,,21,6580,,,,24,19126,,,,13,29382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,21-Feb-2017,09:41:15,1,13.000000,81,119,0,6,25.4048,-80.2987,09:41:27.3 21-Feb-2017,FastGPS,25.4048,-80.2987,,,10.3,-0.7,,,,15,29,4821,,,,5,17096,,,,2,25661,,,,13,20143,,,,20,24474,,,,25,26188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,21-Feb-2017,16:25:38,1,13.000000,82,121,0,7,25.4097,-80.3076,16:25:49.8 21-Feb-2017,FastGPS,25.4097,-80.3076,,1,12.5,-1.2,,,,15,10,4669,,,,31,28144,,,,32,20938,,,,25,6218,,,,18,29826,,,,12,18074,,,,4,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,25-Feb-2017,15:55:22,1,13.000000,95,166,0,7,25.4054,-80.2982,15:55:35.1 25-Feb-2017,FastGPS,25.4054,-80.2982,,,5.4,0.1,,,,15,32,19908,,,,31,3504,,,,18,30506,,,,10,11337,,,,14,9491,,,,25,26091,,,,12,9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142698,27-Feb-2017,20:12:51,1,13.000000,102,199,0,7,25.4049,-80.2989,20:13:03.29 27-Feb-2017,FastGPS,25.4049,-80.2989,,,4.2,-0.7,,,,15,26,20733,,,,3,10286,,,,22,24667,,,,27,8278,,,,23,4068,,,,16,23899,,,,31,18093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
