,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Green,08-Feb-2017,17:13:00,1,12.000000,39,6,1,6,,,,,,,,,,,,,,15,10,12062,,,,31,21695,,,,18,12835,,,,12,3916,,,,32,25305,,,,11,23824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,09-Feb-2017,11:29:57,2,12.000000,42,6,0,6,,,,,,,,,,,,,,15,15,27071,,,,2,27710,,,,29,4153,,,,5,15100,,,,20,12624,,,,13,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,09-Feb-2017,18:27:36,1,12.000000,43,9,0,7,,,,,,,,,,,,,,15,32,2482,,,,25,22688,,,,31,7270,,,,4,5175,,,,14,10414,,,,26,32200,,,,10,5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,13-Feb-2017,15:29:11,1,12.000000,56,39,0,8,,,,,,,,,,,,,,15,10,716,,,,21,8958,,,,32,27177,,,,12,606,,,,18,26809,,,,24,11824,,,,31,16179,,,,14,23770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,16-Feb-2017,18:51:54,1,12.000000,66,69,0,8,,,,,,,,,,,,,,15,31,29190,,,,14,2771,,,,32,14342,,,,22,4488,,,,4,31504,,,,26,20038,,,,29,26748,,,,25,27978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,17-Feb-2017,12:15:35,1,12.000000,68,80,0,7,,,,,,,,,,,,,,15,29,11305,,,,15,5636,,,,18,20221,,,,20,28064,,,,21,6580,,,,24,19126,,,,13,29382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,21-Feb-2017,09:41:15,1,13.000000,81,119,0,6,,,,,,,,,,,,,,15,29,4821,,,,5,17096,,,,2,25661,,,,13,20143,,,,20,24474,,,,25,26188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,21-Feb-2017,16:25:38,1,13.000000,82,121,0,7,,,,,,,,,,,,,,15,10,4669,,,,31,28144,,,,32,20938,,,,25,6218,,,,18,29826,,,,12,18074,,,,4,1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,25-Feb-2017,15:55:22,1,13.000000,95,166,0,7,,,,,,,,,,,,,,15,32,19908,,,,31,3504,,,,18,30506,,,,10,11337,,,,14,9491,,,,25,26091,,,,12,9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,27-Feb-2017,20:12:51,1,13.000000,102,199,0,7,,,,,,,,,,,,,,15,26,20733,,,,3,10286,,,,22,24667,,,,27,8278,,,,23,4068,,,,16,23899,,,,31,18093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,03-Mar-2017,05:37:04,1,13.000000,113,241,0,6,,,,,,,,,,,,,,15,19,9207,,,,17,5228,,,,6,4308,,,,12,3340,,,,2,29580,,,,28,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,05-Mar-2017,05:39:29,1,13.000000,120,258,0,6,,,,,,,,,,,,,,15,12,31288,,,,5,4758,,,,17,21406,,,,6,14023,,,,2,29333,,,,19,29760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,06-Mar-2017,16:10:13,2,14.000000,124,283,0,6,,,,,,,,,,,,,,15,32,17086,,,,25,26542,,,,4,6857,,,,31,25173,,,,10,12438,,,,14,19091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,08-Mar-2017,17:38:27,1,14.000000,129,327,0,7,,,,,,,,,,,,,,15,31,28863,,,,16,21434,,,,4,30464,,,,26,17077,,,,32,16842,,,,14,17415,,,,22,8884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,09-Mar-2017,05:51:47,2,14.000000,131,327,0,5,,,,,,,,,,,,,,15,5,23793,,,,12,12844,,,,6,6292,,,,2,16720,,,,9,23475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,09-Mar-2017,21:31:06,1,14.000000,133,336,0,4,,,,,,,,,,,,,,15,9,15470,,,,7,28836,,,,23,15529,,,,8,8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,10-Mar-2017,10:56:31,1,14.000000,135,339,0,7,,,,,,,,,,,,,,15,29,15494,,,,20,13836,,,,21,16583,,,,15,21288,,,,24,815,,,,13,30667,,,,18,19756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,10-Mar-2017,18:09:01,1,14.000000,136,343,0,8,,,,,,,,,,,,,,15,31,21838,,,,26,10346,,,,16,20594,,,,14,1328,,,,32,1048,,,,4,25429,,,,22,15895,,,,3,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
