DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
Green,142698,,Transmission,Mk10,2,16:00:00 08-Feb-2017,00:00:00 09-Feb-2017,,,,3.0,0.00,7.5,0.00,,,,,,,
Green,142698,,Transmission,Mk10,2,00:00:00 11-Feb-2017,08:00:00 11-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,08:00:00 12-Feb-2017,16:00:00 12-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,2,00:00:00 13-Feb-2017,08:00:00 13-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,08:00:00 14-Feb-2017,16:00:00 14-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,00:00:00 15-Feb-2017,08:00:00 15-Feb-2017,,,,7.5,0.00,10.5,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,00:00:00 18-Feb-2017,08:00:00 18-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,08:00:00 22-Feb-2017,16:00:00 22-Feb-2017,,,,7.0,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,08:00:00 23-Feb-2017,16:00:00 23-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,08:00:00 24-Feb-2017,16:00:00 24-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,16:00:00 24-Feb-2017,00:00:00 25-Feb-2017,,,,7.0,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,1,00:00:00 25-Feb-2017,08:00:00 25-Feb-2017,,,,7.5,0.00,11.0,0.00,,,,,,,
Green,142698,,Transmission,Mk10,2,00:00:00 01-Mar-2017,08:00:00 01-Mar-2017,,,,7.0,0.00,11.0,0.00,,,,,,,
