DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
142699,142699,Mk10,04:03:54 01-Jun-2017,Argos,2,28.6574,-82.7117,431,1594,116,57,,,,,,
142699,142699,Mk10,08:28:04 01-Jun-2017,Argos,3,28.6546,-82.7216,124,266,57,110,,,,,,
142699,142699,Mk10,08:28:04 01-Jun-2017,Argos,3,28.6546,-82.7216,124,266,57,110,,,,,,
142699,142699,Mk10,00:52:55 02-Jun-2017,Argos,3,28.6114,-82.7588,151,213,106,85,,,,,,
142699,142699,Mk10,00:56:54 02-Jun-2017,Argos,3,28.6133,-82.7583,138,224,84,76,,,,,,
142699,142699,Mk10,01:54:58 02-Jun-2017,Argos,3,28.6157,-82.7635,229,342,152,88,,,,,,
142699,142699,Mk10,02:49:02 02-Jun-2017,Argos,B,28.6157,-82.7657,3639,4144,3195,89,,,,,,
142699,142699,Mk10,03:35:58 02-Jun-2017,Argos,B,28.6158,-82.7666,4677,5337,4098,83,,,,,,
142699,142699,Mk10,00:26:33 03-Jun-2017,Argos,B,28.6140,-82.8238,2223,30262,163,111,,,,,,
142699,142699,Mk10,00:43:53 03-Jun-2017,Argos,B,28.6154,-82.8270,1349,4292,424,110,,,,,,
142699,142699,Mk10,01:02:29 03-Jun-2017,Argos,B,28.6209,-82.8150,3135,9769,1005,72,,,,,,
142699,142699,Mk10,01:39:08 03-Jun-2017,Argos,B,28.6218,-82.8169,3201,9513,1077,73,,,,,,
142699,142699,Mk10,03:20:18 03-Jun-2017,Argos,B,28.6230,-82.8197,2914,6556,1295,83,,,,,,
142699,142699,Mk10,08:14:02 03-Jun-2017,Argos,A,28.6248,-82.8257,1569,16306,150,88,,,,,,
142699,142699,Mk10,11:33:53 03-Jun-2017,Argos,B,28.6316,-82.8349,2229,5453,910,79,,,,,,
142699,142699,Mk10,11:33:53 03-Jun-2017,Argos,B,28.6338,-82.8345,2069,7995,535,74,,,,,,
142699,142699,Mk10,11:45:58 03-Jun-2017,Argos,B,28.6372,-82.8272,1559,4201,578,82,,,,,,
142699,142699,Mk10,14:00:36 03-Jun-2017,Argos,B,28.6391,-82.8291,2033,2910,1419,78,,,,,,
142699,142699,Mk10,14:51:24 03-Jun-2017,Argos,B,28.6534,-82.8384,1803,6815,476,68,,,,,,
142699,142699,Mk10,15:36:50 03-Jun-2017,Argos,B,28.6586,-82.8400,1980,4753,824,69,,,,,,
142699,142699,Mk10,16:31:31 03-Jun-2017,Argos,B,28.6635,-82.8081,1462,19475,109,35,,,,,,
142699,142699,Mk10,21:14:36 03-Jun-2017,Argos,B,28.6497,-82.7968,1632,10917,243,84,,,,,,
142699,142699,Mk10,23:00:37 03-Jun-2017,Argos,B,28.6529,-82.8198,1463,17718,120,78,,,,,,
142699,142699,Mk10,23:58:17 03-Jun-2017,Argos,B,28.6364,-82.8124,2151,5781,800,92,,,,,,
142699,142699,Mk10,00:37:44 04-Jun-2017,Argos,B,28.6487,-82.8145,1948,22106,171,84,,,,,,
142699,142699,Mk10,00:38:08 04-Jun-2017,Argos,B,28.6485,-82.8165,1659,15784,174,84,,,,,,
142699,142699,Mk10,01:20:46 04-Jun-2017,Argos,B,28.6417,-82.8434,1589,5614,449,96,,,,,,
142699,142699,Mk10,02:59:30 04-Jun-2017,Argos,B,28.6393,-82.8453,1640,16575,162,64,,,,,,
142699,142699,Mk10,04:39:44 04-Jun-2017,Argos,B,28.6404,-82.8561,1913,3234,1131,66,,,,,,
142699,142699,Mk10,09:26:47 04-Jun-2017,Argos,B,28.6412,-82.8420,1881,4772,741,108,,,,,,
142699,142699,Mk10,09:46:13 04-Jun-2017,Argos,B,28.6314,-82.8302,1741,3712,816,89,,,,,,
142699,142699,Mk10,11:07:59 04-Jun-2017,Argos,B,28.6339,-82.8427,1788,4655,686,65,,,,,,
142699,142699,Mk10,11:19:59 04-Jun-2017,Argos,B,28.6473,-82.8248,767,2116,277,133,,,,,,
142699,142699,Mk10,11:19:59 04-Jun-2017,Argos,B,28.6435,-82.8223,651,1963,215,136,,,,,,
142699,142699,Mk10,12:57:37 04-Jun-2017,Argos,B,28.6499,-82.8349,1415,1713,1168,125,,,,,,
142699,142699,Mk10,12:57:37 04-Jun-2017,Argos,B,28.6558,-82.8477,1127,2276,558,7,,,,,,
142699,142699,Mk10,13:41:53 04-Jun-2017,Argos,B,28.6547,-82.8534,1292,1546,1079,14,,,,,,
142699,142699,Mk10,14:40:49 04-Jun-2017,Argos,B,28.6529,-82.8482,1651,1803,1511,32,,,,,,
142699,142699,Mk10,15:25:57 04-Jun-2017,Argos,B,28.6466,-82.8547,1272,7790,207,92,,,,,,
142699,142699,Mk10,16:18:55 04-Jun-2017,Argos,B,28.6510,-82.8458,1300,5635,299,104,,,,,,
142699,142699,Mk10,16:59:37 04-Jun-2017,Argos,B,28.6563,-82.8472,1277,3150,517,93,,,,,,
142699,142699,Mk10,20:58:59 04-Jun-2017,Argos,B,28.6556,-82.8506,1657,18329,149,92,,,,,,
