"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",142700,2278,,,,,,,0,MA,,401650000,05/31/2017 16:49:35,1,1,0,-131,401650000,,,,,,,,,,,,126,168,133,127,5,208,29,5,15,214,163,40,250,6,225,179,123,110,134,194,167,33,63,242,24,116,24,164,0,2,120,
"",142700,2278,,,,,,,0,MA,,401650000,05/31/2017 16:50:21,1,1,0,-131,401650000,,,,,,,,,,,,126,168,133,127,5,208,29,5,15,214,163,40,242,72,253,150,109,39,176,29,222,206,9,161,220,225,183,112,255,35,0,
"",142700,2278,,,,,,,0,SR,,401650000,05/31/2017 22:08:46,1,1,0,-134,401650000,,,,,,,,,,,,43,104,117,127,0,206,2,216,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,374,NK,,401650000,05/31/2017 22:28:17,1,2,0,-128,401650000,,,,,,,,,,,,27,1,188,125,3,102,149,147,220,131,154,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,NK,,401650000,05/31/2017 22:34:31,1,1,0,-128,401650000,,,,,,,,,,,,159,245,37,127,0,32,179,183,166,48,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,NN,,401650000,05/31/2017 23:33:06,1,1,0,-127,401650000,,,,,,,,,,,,126,168,133,127,5,208,29,5,15,214,163,40,250,6,225,179,123,110,134,194,167,33,63,250,24,100,24,165,153,85,51,
"",142700,2278,,,,,,,222,SR,,401650000,05/31/2017 23:45:05,1,2,0,-123,401650000,,,,,,,,,,,,159,245,37,127,0,32,179,183,166,48,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,222,SR,,401650000,05/31/2017 23:48:47,1,2,0,-123,401650000,,,,,,,,,,,,119,108,85,127,102,29,24,215,17,185,30,200,90,145,38,191,104,102,156,98,93,133,135,129,130,0,0,,,,,
"",142700,2278,,,,,,,0,NK,,401650000,06/01/2017 00:18:30,1,1,0,-133,401650000,,,,,,,,,,,,43,104,117,127,0,206,2,216,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,SR,,401650000,06/01/2017 01:24:09,1,1,0,-132,401650000,,,,,,,,,,,,24,15,133,127,38,0,61,198,110,112,6,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,MA,,401650000,06/01/2017 02:20:14,1,1,0,-121,401650000,,,,,,,,,,,,47,230,229,127,32,190,38,122,147,128,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,MB,,401650000,06/01/2017 03:12:32,1,1,0,-132,401650000,,,,,,,,,,,,182,206,117,130,8,1,232,28,0,72,12,192,224,2,64,189,194,0,14,128,219,16,0,76,7,120,128,34,98,99,238,
"",142700,2278,,,,,,,0,MA,,401650000,06/01/2017 04:01:11,1,1,0,-131,401650000,,,,,,,,,,,,186,161,117,127,106,65,132,28,0,72,12,193,0,4,193,19,132,64,0,144,44,210,73,73,36,155,165,108,218,105,40,
"",142700,2278,,,,,,,0,MA,,401650000,06/01/2017 04:04:58,1,1,0,-131,401650000,,,,,,,,,,,,221,248,197,127,8,66,128,60,9,8,136,136,136,136,129,157,218,110,110,101,138,245,29,174,221,209,49,233,125,138,210,
"",142700,2278,,,,,,,0,NP,,401650000,06/01/2017 08:28:40,1,1,0,-137,401650000,,,,,,,,,,,,24,15,133,127,38,0,61,198,110,112,6,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,NP,,401650000,06/01/2017 10:12:58,1,1,0,-129,401650000,,,,,,,,,,,,221,248,197,127,8,66,128,60,9,8,136,136,136,136,129,157,218,110,110,101,138,245,29,174,221,211,102,239,109,238,228,
"",142700,2278,,,,,,,440,SR,,401650000,06/01/2017 10:52:54,1,2,0,-130,401650000,,,,,,,,,,,,190,84,245,127,7,124,243,24,26,56,64,0,144,46,88,128,1,32,151,130,40,0,152,34,120,137,28,8,104,132,28,
"",142700,2278,,,,,,,440,NK,,401650000,06/01/2017 10:52:54,1,2,0,-130,401650000,,,,,,,,,,,,190,84,245,127,7,124,243,24,26,56,64,0,144,46,88,128,1,32,151,130,40,0,152,34,120,136,65,38,60,22,35,
"",142700,2278,,,,,,,440,SR,,401650000,06/01/2017 11:00:14,1,2,0,-130,401650000,,,,,,,,,,,,49,237,133,130,0,52,140,,,,,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,440,NK,,401650000,06/01/2017 11:00:14,1,2,0,-130,401650000,,,,,,,,,,,,49,237,133,130,0,52,140,,,,,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,NK,,401650000,06/01/2017 12:36:01,1,1,0,-123,401650000,,,,,,,,,,,,43,104,117,127,0,206,2,216,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,297,MA,,401650000,06/01/2017 14:44:28,1,3,1,-119,401650000,,,,,,,,,,,,221,248,197,127,8,66,130,72,55,49,68,251,185,17,25,91,226,169,114,93,139,139,240,149,100,103,30,18,181,199,22,
"",142700,2278,,,,,,,297,MA,,401650000,06/01/2017 14:45:24,1,3,1,-119,401650000,,,,,,,,,,,,0,173,112,235,46,2,114,,,,,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,297,MA,,401650000,06/01/2017 14:49:25,1,3,1,-119,401650000,,,,,,,,,,,,181,9,229,127,89,194,254,137,0,18,6,252,17,0,36,9,152,150,94,128,104,246,241,40,59,132,51,244,191,29,255,
"",142700,2278,,,,,,,0,MB,,401650000,06/01/2017 15:42:50,1,1,0,-126,401650000,,,,,,,,,,,,47,230,229,127,32,190,38,122,147,128,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,272,MA,,401650000,06/01/2017 16:19:00,1,2,0,-125,401650000,,,,,,,,,,,,43,104,117,127,0,206,2,216,128,0,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,,,,,,,0,MA,,401650000,06/01/2017 16:23:32,1,1,0,-125,401650000,,,,,,,,,,,,119,108,85,127,102,29,24,215,17,185,30,200,90,145,38,191,104,102,156,98,93,133,135,129,130,0,0,,,,,
"",142700,2278,32.00594,-67.93178,A,06/01/2017 19:55:15,Argos,0,0,NP,,401650000,06/01/2017 19:49:12,1,1,0,-133,401650000,-67.93178,32.00594,-82.72846,28.65585,0,0,0,0,0,88,703,24,15,133,127,38,46,209,192,227,198,28,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,32.00594,-67.93178,A,06/01/2017 19:55:15,Argos,0,0,NP,,401650000,06/01/2017 19:54:51,1,1,0,-133,401650000,-67.93178,32.00594,-82.72846,28.65585,0,0,0,0,0,88,703,65,156,165,127,1,128,96,138,127,176,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,32.00594,-67.93178,A,06/01/2017 19:55:15,Argos,0,0,NP,,401650000,06/01/2017 20:01:44,1,1,0,-133,401650000,-67.93178,32.00594,-82.72846,28.65585,0,0,0,0,0,88,703,159,125,37,127,0,32,179,183,166,48,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,28.65916,-82.72355,A,06/01/2017 21:31:52,Argos,0,0,NP,,401677405.3,06/01/2017 21:31:52,1,1,0,-133,401677405.3,-82.72355,28.65916,-82.72355,28.65916,8,3,0,0,0,5,575,50,167,69,130,100,128,0,4,80,0,0,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,28.65916,-82.72355,A,06/01/2017 21:31:52,Argos,0,0,NP,,401677405.3,06/01/2017 21:37:56,1,1,0,-133,401677405.3,-82.72355,28.65916,-82.72355,28.65916,8,3,0,0,0,5,575,158,49,101,130,96,32,178,18,128,1,145,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,28.65916,-82.72355,A,06/01/2017 21:31:52,Argos,0,0,NP,,401677405.3,06/01/2017 21:40:33,1,1,0,-133,401677405.3,-82.72355,28.65916,-82.72355,28.65916,8,3,0,0,0,5,575,113,245,5,130,70,117,134,180,116,159,5,153,170,225,11,134,18,136,55,42,178,34,81,18,216,124,24,152,0,0,0,
"",142700,2278,28.65954,-82.72295,B,06/01/2017 22:10:34,Argos,0,0,NK,,401677405.63,06/01/2017 22:10:35,1,1,0,-128,401677405.63,-82.72295,28.65954,-82.72295,28.65954,8,3,862,972,764,77,2420,36,106,229,130,96,188,120,,,,,,,,,,,,,,,,,,,,,,,,,
"",142700,2278,28.65322,-82.72261,B,06/01/2017 23:14:00,Argos,0,44,NN,,401677407.93,06/01/2017 23:13:38,1,2,0,-129,401677407.93,-82.72261,28.65322,-82.72261,28.65322,8,3,1091,2277,522,92,3069,185,57,5,131,4,248,19,2,224,136,0,118,5,68,16,0,116,10,46,28,0,232,26,156,64,1,48,44,200,128,0,
"",142700,2278,28.65927,-82.72173,B,06/01/2017 23:14:00,Argos,0,44,SR,,401677407.44,06/01/2017 23:13:38,1,2,0,-124,401677407.44,-82.72173,28.65927,-82.72173,28.65927,8,3,951,4727,191,93,2673,185,57,5,131,4,248,19,2,224,136,0,118,5,68,16,0,116,10,46,28,0,232,26,156,64,1,48,44,200,128,0,
"",142700,2278,28.65322,-82.72261,B,06/01/2017 23:14:00,Argos,0,44,NN,,401677407.93,06/01/2017 23:14:23,1,2,0,-129,401677407.93,-82.72261,28.65322,-82.72261,28.65322,8,3,1091,2277,522,92,3069,191,73,69,130,220,184,9,3,161,9,0,58,6,42,16,0,36,7,40,128,1,32,147,124,32,0,72,20,252,64,0,
"",142700,2278,28.65927,-82.72173,B,06/01/2017 23:14:00,Argos,0,44,SR,,401677407.44,06/01/2017 23:14:23,1,2,0,-124,401677407.44,-82.72173,28.65927,-82.72173,28.65927,8,3,951,4727,191,93,2673,191,73,69,130,220,184,9,3,161,9,0,58,6,42,16,0,36,7,40,128,1,32,147,124,32,0,72,20,252,64,0,
