DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
142703,142703,Mk10,10:11:07 23-Jun-2016,Argos,2,19.4270,-99.0988,306,528,177,96,,,,,,Speed to avg loc 181 x median
142703,142703,Mk10,12:02:06 23-Jun-2016,Argos,B,19.4321,-99.0950,2404,2933,1969,116,,,,,,Speed to avg loc 181 x median
142703,142703,Mk10,00:30:01.55 30-Jun-2016,FastGPS,4,22.0273,-88.8703,,,,,,,,,,Solution error -2.5 sec
142703,142703,Mk10,00:28:40 10-Jul-2016,Argos,B,18.4485,-88.2888,254,488,132,80,,,,,,Speed to avg loc 48 x median
142703,142703,Mk10,00:48:28 10-Jul-2016,Argos,B,18.5015,-88.3269,833,4543,152,53,,,,,,Speed to avg loc 48 x median
142703,142703,Mk10,03:04:08 10-Jul-2016,Argos,3,18.5231,-88.3070,225,916,55,79,,,,,,Speed to avg loc 47 x median
142703,142703,Mk10,12:15:04.98 31-Jul-2016,FastGPS,6,21.2201,-86.7322,,,,,,,,,,
142703,142703,Mk10,12:17:29 31-Jul-2016,Argos,2,21.2189,-86.7390,445,1719,114,104,,,,,,
142703,142703,Mk10,12:39:03 31-Jul-2016,Argos,1,21.2190,-86.7311,848,3168,227,99,,,,,,
142703,142703,Mk10,12:52:59 31-Jul-2016,Argos,1,21.2114,-86.7483,583,1233,275,144,,,,,,
142703,142703,Mk10,14:54:43 31-Jul-2016,Argos,2,21.2408,-86.7498,427,805,226,106,,,,,,
142703,142703,Mk10,15:47:28 31-Jul-2016,Argos,B,21.2503,-86.7528,1008,1091,931,103,,,,,,
142703,142703,Mk10,16:37:09 31-Jul-2016,Argos,A,21.2771,-86.7347,316,573,173,69,,,,,,
142703,142703,Mk10,19:12:10 31-Jul-2016,Argos,B,21.3160,-86.7106,3799,4308,3350,100,,,,,,
142703,142703,Mk10,02:49:24.34 01-Aug-2016,FastGPS,7,21.2644,-86.6878,,,,,,,,,,
142703,142703,Mk10,09:29:22 01-Aug-2016,Argos,B,21.2680,-86.7331,5345,14578,1959,107,,,,,,
142703,142703,Mk10,10:36:49 01-Aug-2016,Argos,B,21.2800,-86.7061,5581,18378,1694,86,,,,,,
142703,142703,Mk10,13:47:04 01-Aug-2016,Argos,B,21.2868,-86.6991,4429,12159,1613,88,,,,,,
142703,142703,Mk10,15:25:55 01-Aug-2016,Argos,B,21.2906,-86.6936,3732,6870,2027,95,,,,,,
142703,142703,Mk10,16:23:39 01-Aug-2016,Argos,B,21.2893,-86.6801,3716,5934,2326,93,,,,,,
142703,142703,Mk10,20:38:36 01-Aug-2016,Argos,B,21.3051,-86.6346,3863,4804,3106,78,,,,,,
142703,142703,Mk10,23:30:36 01-Aug-2016,Argos,B,21.3007,-86.6647,3923,8014,1920,46,,,,,,
142703,142703,Mk10,23:32:18 01-Aug-2016,Argos,0,21.2196,-86.5865,1841,34306,98,71,,,,,,
142703,142703,Mk10,00:25:18.42 02-Aug-2016,FastGPS,9,21.2012,-86.6483,,,,,,,,,,
142703,142703,Mk10,01:15:41 02-Aug-2016,Argos,B,21.2263,-86.5736,2747,3820,1974,77,,,,,,
142703,142703,Mk10,06:43:43.92 02-Aug-2016,FastGPS,7,21.2066,-86.6460,,,,,,,,,,
142703,142703,Mk10,07:32:50 02-Aug-2016,Argos,B,21.2573,-86.5347,4260,6101,2975,66,,,,,,
142703,142703,Mk10,11:43:47 02-Aug-2016,Argos,B,21.2645,-86.5270,5460,10580,2817,63,,,,,,
142703,142703,Mk10,12:02:33 02-Aug-2016,Argos,B,21.2087,-86.5854,2933,11378,756,94,,,,,,
142703,142703,Mk10,12:02:55 02-Aug-2016,Argos,B,21.2087,-86.6505,5622,21545,1467,97,,,,,,
142703,142703,Mk10,13:38:54 02-Aug-2016,Argos,B,21.2173,-86.6388,6444,15494,2680,95,,,,,,
142703,142703,Mk10,13:38:54 02-Aug-2016,Argos,B,21.2135,-86.6431,6155,13172,2875,90,,,,,,
142703,142703,Mk10,14:21:29 02-Aug-2016,Argos,B,21.2173,-86.6378,4645,8943,2412,90,,,,,,
142703,142703,Mk10,15:03:31 02-Aug-2016,Argos,B,21.2192,-86.6346,2403,3600,1603,93,,,,,,
