,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
142706,08-Feb-2017,18:52:00,6,6.000000,30,3,0,7,25.4970,-80.3133,18:52:04.94 08-Feb-2017,FastGPS,25.4970,-80.3133,,1,6.9,-1.1,,,,15,31,8833,,,,14,15902,,,,32,12714,,,,4,25410,,,,26,26823,,,,22,4649,,,,25,17924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,09-Feb-2017,00:52:28,1,6.000000,31,3,0,6,25.4889,-80.3226,00:52:33.72 09-Feb-2017,FastGPS,25.4889,-80.3226,,,6.2,-0.3,,,,15,11,5598,,,,9,22951,,,,7,1764,,,,23,6814,,,,8,18782,,,,27,3938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,11-Feb-2017,01:17:02,1,6.000000,38,19,0,6,25.4922,-80.3226,01:17:06.8 11-Feb-2017,FastGPS,25.4922,-80.3226,,,12.5,-1.2,,,,15,7,11987,,,,8,12078,,,,11,18962,,,,1,1211,,,,9,11357,,,,30,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,13-Feb-2017,00:34:47,1,6.000000,44,49,0,8,25.5113,-80.3115,00:34:51.88 13-Feb-2017,FastGPS,25.5113,-80.3115,,,7.1,-1.1,,,,15,8,5967,,,,11,19739,,,,1,17319,,,,9,10889,,,,7,17107,,,,27,27155,,,,30,11861,,,,28,22643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,13-Feb-2017,16:21:51,1,6.000000,46,56,0,8,25.4778,-80.3179,16:21:56.36 13-Feb-2017,FastGPS,25.4778,-80.3179,,,5.5,-0.6,,,,15,32,2498,,,,31,29150,,,,25,5583,,,,18,19234,,,,12,18908,,,,10,23927,,,,14,5643,,,,21,25233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,14-Feb-2017,12:11:11,1,6.000000,49,60,0,4,25.4837,-80.3104,15:52:34 14-Feb-2017,MB,25.4888,-80.3106,,,0.3,-0.5,,,,15,15,18926,,,,29,12623,,,,20,30424,,,,5,20502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,14-Feb-2017,21:49:46,1,6.000000,50,,0,9,25.4906,-80.3230,21:49:51.93 14-Feb-2017,FastGPS,25.4906,-80.3230,,1,8.4,-0.1,,,,15,27,12850,,,,3,22936,,,,8,5560,,,,26,2032,,,,16,27229,,,,23,18361,,,,9,19556,,,,7,7394,,,,4,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,16-Feb-2017,00:18:00,1,6.000000,54,75,0,6,25.4924,-80.3217,00:18:04.97 16-Feb-2017,FastGPS,25.4924,-80.3217,,,10.9,-1.0,,,,15,7,10023,,,,11,10955,,,,8,18274,,,,9,24698,,,,27,15976,,,,23,21275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,16-Feb-2017,06:30:51,1,6.000000,55,75,0,4,25.4885,-80.3181,14:37:08 15-Feb-2017,MA,25.4897,-80.3219,,,0.1,0.2,,,,15,17,8993,,,,12,32242,,,,2,21350,,,,19,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142706,17-Feb-2017,03:25:40,1,6.000000,58,84,0,8,25.4889,-80.3214,03:25:45.02 17-Feb-2017,FastGPS,25.4889,-80.3214,,,11.0,-1.0,,,,15,17,17892,,,,1,12503,,,,19,32325,,,,30,14088,,,,6,15101,,,,11,8662,,,,3,24369,,,,22,3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
