DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
142713,142713,,Mk10,12:00:00 29-Jul-2016,,,,0.000000,0.000000,Status,9.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 29-Jul-2016,,,,0.000000,0.000000,Behavior,17.000000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 30-Jul-2016,,,,0.000000,0.000000,Behavior,17.000000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 30-Jul-2016,,,,0.000000,0.000000,Behavior,16.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 30-Jul-2016,,,,0.750000,0.500000,TimeSeries,17.000000,1.750000,TimeSeries
142713,142713,,Mk10,00:00:00 31-Jul-2016,,,,14.500000,0.000000,Behavior,14.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 31-Jul-2016,,,,0.000000,0.000000,Behavior,15.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 01-Aug-2016,,,,1.250000,0.500000,TimeSeries,17.000000,1.750000,TimeSeries
142713,142713,,Mk10,06:00:00 01-Aug-2016,,,,5.250000,1.000000,TimeSeries,17.000000,1.750000,TimeSeries
142713,142713,,Mk10,12:00:00 01-Aug-2016,,,,0.000000,0.000000,Fast-GPS,,,
142713,142713,,Mk10,06:00:00 02-Aug-2016,,,,0.000000,0.000000,Behavior,23.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 02-Aug-2016,,,,0.000000,0.000000,Behavior,22.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 02-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 03-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 03-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 03-Aug-2016,,,,0.000000,0.000000,Behavior,22.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 03-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 04-Aug-2016,,,,0.000000,0.000000,Behavior,21.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 04-Aug-2016,,,,0.000000,0.000000,Behavior,19.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 04-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 05-Aug-2016,,,,0.000000,0.000000,Fast-GPS,24.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 05-Aug-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142713,142713,,Mk10,18:00:00 05-Aug-2016,,,,0.000000,0.000000,Fast-GPS,8.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 06-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 06-Aug-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 06-Aug-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 07-Aug-2016,,,,0.000000,0.000000,Behavior,5.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 07-Aug-2016,,,,0.000000,0.000000,Behavior,9.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 07-Aug-2016,,,,0.000000,0.000000,Behavior,13.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 07-Aug-2016,,,,0.000000,0.000000,Behavior,11.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 08-Aug-2016,,,,0.000000,0.000000,Behavior,4.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 08-Aug-2016,,,,0.750000,0.500000,TimeSeries,8.750000,1.000000,TimeSeries
142713,142713,,Mk10,12:00:00 08-Aug-2016,,,,1.250000,0.500000,TimeSeries,12.500000,1.750000,TimeSeries
142713,142713,,Mk10,18:00:00 08-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 09-Aug-2016,,,,0.000000,0.000000,Behavior,5.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 09-Aug-2016,,,,1.250000,0.500000,TimeSeries,4.750000,0.500000,TimeSeries
142713,142713,,Mk10,12:00:00 09-Aug-2016,,,,0.000000,0.000000,Fast-GPS,,,
142713,142713,,Mk10,18:00:00 09-Aug-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 10-Aug-2016,,,,0.750000,0.500000,TimeSeries,9.000000,0.750000,TimeSeries
142713,142713,,Mk10,06:00:00 10-Aug-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 10-Aug-2016,,,,0.000000,0.000000,Fast-GPS,10.000000,0.750000,TimeSeries
142713,142713,,Mk10,18:00:00 10-Aug-2016,,,,0.000000,4.000000,PDT,8.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 11-Aug-2016,,,,0.000000,0.000000,Status,5.000000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 11-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 11-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.750000,TimeSeries
142713,142713,,Mk10,00:00:00 12-Aug-2016,,,,0.000000,0.000000,Behavior,8.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 12-Aug-2016,,,,0.000000,0.000000,Status,,,
142713,142713,,Mk10,00:00:00 13-Aug-2016,,,,0.000000,0.000000,Behavior,4.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 13-Aug-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 13-Aug-2016,,,,1.000000,0.750000,TimeSeries,10.000000,0.750000,TimeSeries
142713,142713,,Mk10,18:00:00 13-Aug-2016,,,,0.000000,0.000000,Status,8.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 14-Aug-2016,,,,0.000000,0.000000,Status,,,
142713,142713,,Mk10,06:00:00 14-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 14-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 14-Aug-2016,,,,0.000000,0.000000,Behavior,8.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 15-Aug-2016,,,,0.000000,0.000000,Status,8.250000,0.500000,TimeSeries
142713,142713,,Mk10,06:00:00 15-Aug-2016,,,,0.000000,0.000000,Behavior,8.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 15-Aug-2016,,,,1.500000,0.750000,TimeSeries,19.000000,1.250000,TimeSeries
142713,142713,,Mk10,18:00:00 15-Aug-2016,,,,0.000000,0.000000,Status,12.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 16-Aug-2016,,,,0.000000,0.000000,Behavior,6.000000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 16-Aug-2016,,,,0.000000,0.000000,Status,4.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 16-Aug-2016,,,,0.000000,0.000000,Status,10.000000,0.750000,TimeSeries
142713,142713,,Mk10,18:00:00 16-Aug-2016,,,,1.000000,0.750000,TimeSeries,9.250000,0.500000,TimeSeries
142713,142713,,Mk10,06:00:00 17-Aug-2016,,,,0.750000,0.500000,TimeSeries,13.750000,1.500000,TimeSeries
142713,142713,,Mk10,12:00:00 17-Aug-2016,,,,3.000000,0.750000,TimeSeries,19.250000,1.500000,TimeSeries
142713,142713,,Mk10,18:00:00 17-Aug-2016,,,,0.000000,0.000000,Status,,,
142713,142713,,Mk10,00:00:00 18-Aug-2016,,,,0.000000,0.000000,Fast-GPS,8.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 18-Aug-2016,,,,0.000000,0.000000,Behavior,15.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 18-Aug-2016,,,,0.625000,0.625000,TimeSeries,11.000000,0.750000,TimeSeries
142713,142713,,Mk10,18:00:00 18-Aug-2016,,,,0.000000,0.000000,Behavior,10.000000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 19-Aug-2016,,,,0.000000,0.000000,Behavior,9.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 19-Aug-2016,,,,0.000000,0.000000,Status,8.000000,4.000000,PDT
142713,142713,,Mk10,12:00:00 19-Aug-2016,,,,0.000000,0.000000,Status,20.000000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 19-Aug-2016,,,,0.000000,0.000000,Behavior,19.000000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 20-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,12:00:00 20-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 20-Aug-2016,,,,0.000000,0.000000,Status,20.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 21-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 21-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 21-Aug-2016,,,,0.750000,0.500000,TimeSeries,19.750000,2.000000,TimeSeries
142713,142713,,Mk10,18:00:00 21-Aug-2016,,,,0.000000,0.000000,Status,19.750000,2.000000,TimeSeries
142713,142713,,Mk10,00:00:00 22-Aug-2016,,,,0.750000,0.500000,TimeSeries,19.750000,2.000000,TimeSeries
142713,142713,,Mk10,06:00:00 22-Aug-2016,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 22-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 22-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 23-Aug-2016,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 23-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 24-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 24-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 24-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 24-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,06:00:00 25-Aug-2016,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 25-Aug-2016,,,,0.000000,4.000000,PDT,24.000000,4.000000,PDT
142713,142713,,Mk10,18:00:00 25-Aug-2016,,,,0.000000,0.000000,Fast-GPS,24.000000,4.000000,PDT
142713,142713,,Mk10,00:00:00 26-Aug-2016,,,,0.000000,0.000000,Status,20.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 26-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 26-Aug-2016,,,,0.000000,0.000000,Behavior,21.500000,0.000000,Behavior
142713,142713,,Mk10,18:00:00 26-Aug-2016,,,,0.000000,0.000000,Behavior,20.000000,0.000000,Behavior
142713,142713,,Mk10,00:00:00 27-Aug-2016,,,,0.000000,0.000000,Behavior,20.500000,0.000000,Behavior
142713,142713,,Mk10,06:00:00 27-Aug-2016,,,,0.000000,0.000000,Status,20.500000,0.000000,Behavior
142713,142713,,Mk10,12:00:00 27-Aug-2016,,,,0.000000,4.000000,PDT,16.000000,4.000000,PDT
142713,142713,,Mk10,18:00:00 27-Aug-2016,,,,0.000000,0.000000,Fast-GPS,,,
142713,142713,,Mk10,00:00:00 28-Aug-2016,,,,0.000000,0.000000,Fast-GPS,20.000000,1.750000,TimeSeries
142713,142713,,Mk10,06:00:00 28-Aug-2016,,,,8.000000,0.750000,TimeSeries,20.000000,1.750000,TimeSeries
142713,142713,,Mk10,12:00:00 28-Aug-2016,,,,0.000000,0.000000,Status,24.000000,4.000000,PDT
142713,142713,,Mk10,18:00:00 28-Aug-2016,,,,0.000000,0.000000,Behavior,20.000000,0.000000,Behavior
