DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Green,162055,Mk10,DS,1,0,1,,,16:22:51 08-Feb-2017,MB,,,,,,,,401650000,-134
Green,162055,Mk10,DS,1,0,1,,,17:03:27 08-Feb-2017,MA,,,,,,,,401650000,-134
Green,162055,Mk10,DS,2,0,1,372,372,19:38:41 08-Feb-2017,NP,,,,,,,,401650000,-120
Green,162055,Mk10,DS,1,0,0,,,21:15:47 08-Feb-2017,NP,,,,,,,,401650000,-136
Green,162055,Mk10,DS,2,0,2,310,310,22:26:32 08-Feb-2017,NK,,,,,,,,401650000,-127
Green,162055,Mk10,DS,1,0,1,,,23:18:47 08-Feb-2017,NN,,,,,,,,401650000,-129
Green,162055,Mk10,DS,1,0,0,,,00:07:12 09-Feb-2017,NK,,,,,,,,401650000,-129
Green,162055,Mk10,DS,1,0,0,,,01:01:48 09-Feb-2017,NN,,,,,,,,401650000,-133
Green,162055,Mk10,DS,1,0,1,,,01:01:48 09-Feb-2017,MA,,,,,,,,401650000,-130
Green,162055,Mk10,DS,2,0,1,246,246,02:34:22 09-Feb-2017,MA,,,,,,,,401650000,-117
Green,162055,Mk10,DS,1,0,0,,,10:54:54 09-Feb-2017,SR,,,,,,,,401650000,-138
Green,162055,Mk10,DS,2,0,0,44,44,11:49:58 09-Feb-2017,NN,,,,,,,,401650000,-126
Green,162055,Mk10,DS,2,0,0,44,44,12:33:13 09-Feb-2017,NK,,,,,,,,401650000,-124
Green,162055,Mk10,DS,1,0,1,,,13:31:26 09-Feb-2017,NN,,,,,,,,401650000,-135
Green,162055,Mk10,DS,1,0,1,,,19:31:08 09-Feb-2017,NP,,,,,,,,401650000,-126
Green,162055,Mk10,DS,3,0,3,178,46,21:05:04 09-Feb-2017,NP,,,,,,,,401650000,-131
Green,162055,Mk10,DS,1,0,1,,,22:01:47 09-Feb-2017,NK,,,,,,,,401650000,-132
Green,162055,Mk10,DS,1,0,1,,,23:05:43 09-Feb-2017,NN,,,,,,,,401650000,-130
Green,162055,Mk10,DS,1,0,1,,,23:05:43 09-Feb-2017,SR,,,,,,,,401650000,-129
Green,162055,Mk10,DS,1,0,1,,,23:47:11 09-Feb-2017,NK,,,,,,,,401650000,-125
Green,162055,Mk10,DS,1,0,0,,,00:45:01 10-Feb-2017,SR,,,,,,,,401650000,-137
Green,162055,Mk10,DS,1,0,1,,,00:56:27 10-Feb-2017,NN,,,,,,,,401650000,-135
Green,162055,Mk10,DS,1,0,1,,,03:07:11 10-Feb-2017,MB,,,,,,,,401650000,-133
Green,162055,Mk10,DS,1,0,1,,,09:33:22 10-Feb-2017,NP,,,,,,,,401650000,-137
Green,162055,Mk10,DS,2,0,1,45,45,11:35:01 10-Feb-2017,NN,,,,,,,,401650000,-133
Green,162055,Mk10,DS,1,0,0,,,11:52:25 10-Feb-2017,SR,,,,,,,,401650000,-130
Green,162055,Mk10,DS,3,0,1,197,139,12:09:59 10-Feb-2017,NK,A,27.9354,-92.3649,25.4091,-80.2976,,,401677372,-123
Green,162055,Mk10,DS,1,0,0,,,15:38:17 10-Feb-2017,MB,B,25.4093,-80.2976,27.8462,-92.4400,8,,401677378,-131
Green,162055,Mk10,DS,2,0,0,95,95,16:19:48 10-Feb-2017,MA,B,25.4092,-80.2960,25.4092,-80.2960,8,,401677376,-126
Green,162055,Mk10,DS,1,0,1,,,20:53:28 10-Feb-2017,NP,B,25.4073,-80.2900,25.4073,-80.2900,8,,401677373,-137
Green,162055,Mk10,DS,1,0,0,,,00:15:25 11-Feb-2017,SR,B,25.4012,-80.2920,25.4012,-80.2920,8,,401677375,-124
Green,162055,Mk10,DS,1,0,1,,,00:37:24 11-Feb-2017,NN,B,25.4065,-80.2942,25.4065,-80.2942,6,,401677379,-133
Green,162055,Mk10,DS,1,0,1,,,01:01:55 11-Feb-2017,NK,B,25.4064,-80.2946,25.4064,-80.2946,6,,401677379,-137
Green,162055,Mk10,DS,2,0,0,45,45,03:37:36 11-Feb-2017,MA,B,25.4100,-80.2980,25.4100,-80.2980,8,,401677380,-121
Green,162055,Mk10,DS,1,0,0,,,11:38:11 11-Feb-2017,NK,B,25.4077,-80.3005,25.4077,-80.3005,8,,401677383,-133
Green,162055,Mk10,DS,1,0,0,,,13:08:57 11-Feb-2017,NN,B,25.4088,-80.2997,25.4088,-80.2997,8,,401677383,-130
Green,162055,Mk10,DS,1,0,0,,,20:49:21 11-Feb-2017,NP,B,25.4038,-80.3029,25.4038,-80.3029,8,,401677378,-135
Green,162055,Mk10,DS,1,0,0,,,22:08:32 11-Feb-2017,SR,B,25.4082,-80.3025,25.4082,-80.3025,8,,401677375,-137
Green,162055,Mk10,DS,1,0,1,,,22:54:37 11-Feb-2017,NK,B,25.4094,-80.3037,25.4094,-80.3037,8,,401677376,-132
Green,162055,Mk10,DS,2,0,0,44,44,01:34:15 12-Feb-2017,MA,B,25.4115,-80.2968,25.4115,-80.2968,8,,401677378,-122
Green,162055,Mk10,DS,1,0,0,,,03:11:45 12-Feb-2017,MA,B,25.4117,-80.2972,25.4117,-80.2972,8,,401677380,-126
Green,162055,Mk10,DS,2,0,0,45,45,09:21:51 12-Feb-2017,NP,B,25.4133,-80.2929,25.4133,-80.2929,8,,401677382,-130
Green,162055,Mk10,DS,1,0,0,,,10:51:17 12-Feb-2017,SR,B,25.4134,-80.2939,25.4134,-80.2939,8,,401677381,-129
Green,162055,Mk10,DS,1,0,1,,,20:37:44 12-Feb-2017,NP,B,25.4001,-80.3060,25.4001,-80.3060,8,,401677376,-126
Green,162055,Mk10,DS,1,0,1,,,23:09:52 12-Feb-2017,SR,B,25.4017,-80.3046,25.4017,-80.3046,8,,401677376,-134
Green,162055,Mk10,DS,1,0,1,,,02:03:02 13-Feb-2017,MB,B,25.4044,-80.3047,25.4044,-80.3047,8,,401677379,-133
Green,162055,Mk10,DS,1,0,0,,,09:07:45 13-Feb-2017,NP,B,25.4032,-80.3046,25.4032,-80.3046,8,,401677380,-127
Green,162055,Mk10,DS,1,0,1,,,10:29:17 13-Feb-2017,SR,B,25.4041,-80.3051,25.4041,-80.3051,8,,401677380,-133
Green,162055,Mk10,DS,1,0,1,,,10:51:39 13-Feb-2017,NK,B,25.4041,-80.3040,25.4041,-80.3040,6,,401677381,-125
Green,162055,Mk10,DS,2,0,1,526,526,12:00:00 13-Feb-2017,SR,B,25.4084,-80.2970,25.4084,-80.2970,8,,401677382,-133
Green,162055,Mk10,DS,2,0,0,44,44,12:43:17 13-Feb-2017,NN,B,25.4056,-80.2970,25.4056,-80.2970,8,,401677381,-130
Green,162055,Mk10,DS,1,0,1,,,15:16:28 13-Feb-2017,MA,B,25.4058,-80.2938,25.4058,-80.2938,8,,401677379,-123
Green,162055,Mk10,DS,1,0,0,,,17:00:27 13-Feb-2017,MA,B,25.4087,-80.2929,25.4087,-80.2929,8,,401677376,-130
Green,162055,Mk10,DS,1,0,1,,,22:00:36 13-Feb-2017,NK,B,25.4086,-80.2886,25.4086,-80.2886,8,,401677374,-135
Green,162055,Mk10,DS,1,0,1,,,22:47:30 13-Feb-2017,SR,B,25.4067,-80.2930,25.4067,-80.2930,8,,401677376,-128
Green,162055,Mk10,DS,1,0,1,,,00:51:05 14-Feb-2017,MA,B,25.4064,-80.2925,25.4064,-80.2925,8,,401677376,-132
Green,162055,Mk10,DS,1,0,0,,,07:16:53 14-Feb-2017,NP,B,25.4022,-80.2915,25.4022,-80.2915,8,,401677378,-133
Green,162055,Mk10,DS,1,0,0,,,08:52:07 14-Feb-2017,NP,B,25.4029,-80.2921,25.4029,-80.2921,8,,401677378,-123
Green,162055,Mk10,DS,1,0,0,,,10:30:55 14-Feb-2017,NK,B,25.4026,-80.2917,25.4026,-80.2917,8,,401677378,-127
