DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,18:54:00 08-Feb-2017,19:26:20 08-Feb-2017,Message,11,,,,1929.000000,1951.000000,,
Green,162055,,Transmission,Mk10,1,18:54:00 08-Feb-2017,18:54:40 08-Feb-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,18:54:40 08-Feb-2017,18:56:30 08-Feb-2017,Dive,1,Square,2.0,2.0,109,111,,
Green,162055,,Transmission,Mk10,1,18:56:30 08-Feb-2017,18:56:40 08-Feb-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,18:56:40 08-Feb-2017,19:03:40 08-Feb-2017,Dive,1,Square,2.0,2.0,419,421,,
Green,162055,,Transmission,Mk10,1,19:03:40 08-Feb-2017,19:04:20 08-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,19:04:20 08-Feb-2017,19:11:20 08-Feb-2017,Dive,1,Square,2.0,2.0,419,421,,
Green,162055,,Transmission,Mk10,1,19:11:20 08-Feb-2017,19:11:50 08-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,19:11:50 08-Feb-2017,19:19:40 08-Feb-2017,Dive,1,Square,2.0,2.0,469,471,,
Green,162055,,Transmission,Mk10,1,19:19:40 08-Feb-2017,19:20:10 08-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,19:20:10 08-Feb-2017,19:25:40 08-Feb-2017,Dive,1,Square,2.0,2.0,329,331,,
Green,162055,,Transmission,Mk10,1,19:25:40 08-Feb-2017,19:26:20 08-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,19:26:00 08-Feb-2017,20:17:00 08-Feb-2017,Message,10,,,,3050.000000,3070.000000,,
Green,162055,,Transmission,Mk10,1,19:26:00 08-Feb-2017,19:38:30 08-Feb-2017,Dive,1,Square,2.5,2.5,749,751,,
Green,162055,,Transmission,Mk10,1,19:38:30 08-Feb-2017,19:38:50 08-Feb-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,19:38:50 08-Feb-2017,19:44:30 08-Feb-2017,Dive,1,Square,2.0,2.0,339,341,,
Green,162055,,Transmission,Mk10,1,19:44:30 08-Feb-2017,19:46:00 08-Feb-2017,Surface,,,,,89,91,52,38
Green,162055,,Transmission,Mk10,1,19:46:00 08-Feb-2017,19:51:40 08-Feb-2017,Dive,1,Square,2.0,2.0,339,341,,
Green,162055,,Transmission,Mk10,1,19:51:40 08-Feb-2017,19:52:10 08-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,19:52:10 08-Feb-2017,20:10:40 08-Feb-2017,Dive,1,Square,2.0,2.0,1109,1111,,
Green,162055,,Transmission,Mk10,1,20:10:40 08-Feb-2017,20:10:50 08-Feb-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,20:10:50 08-Feb-2017,20:16:30 08-Feb-2017,Dive,1,Square,2.0,2.0,339,341,,
Green,162055,,Transmission,Mk10,1,20:16:30 08-Feb-2017,20:17:00 08-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,2,23:28:00 08-Feb-2017,00:18:10 09-Feb-2017,Message,10,,,,3000.000000,3020.000000,,
Green,162055,,Transmission,Mk10,2,23:28:00 08-Feb-2017,23:36:40 08-Feb-2017,Dive,1,Square,2.5,2.5,519,521,,
Green,162055,,Transmission,Mk10,2,23:36:40 08-Feb-2017,23:37:20 08-Feb-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,2,23:37:20 08-Feb-2017,23:47:00 08-Feb-2017,Dive,1,Square,2.5,2.5,579,581,,
Green,162055,,Transmission,Mk10,2,23:47:00 08-Feb-2017,23:47:30 08-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,2,23:47:30 08-Feb-2017,23:56:40 08-Feb-2017,Dive,1,Square,2.5,2.5,549,551,,
Green,162055,,Transmission,Mk10,2,23:56:40 08-Feb-2017,23:57:10 08-Feb-2017,Surface,,,,,29,31,20,10
Green,162055,,Transmission,Mk10,2,23:57:10 08-Feb-2017,00:07:30 09-Feb-2017,Dive,1,Square,2.5,2.5,619,621,,
Green,162055,,Transmission,Mk10,2,00:07:30 09-Feb-2017,00:08:00 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,2,00:08:00 09-Feb-2017,00:18:00 09-Feb-2017,Dive,1,Square,3.0,3.0,599,601,,
Green,162055,,Transmission,Mk10,2,00:18:00 09-Feb-2017,00:18:10 09-Feb-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,00:18:00 09-Feb-2017,01:02:00 09-Feb-2017,Message,10,,,,2630.000000,2650.000000,,
Green,162055,,Transmission,Mk10,1,00:18:00 09-Feb-2017,00:28:00 09-Feb-2017,Dive,1,Square,2.5,2.5,599,601,,
Green,162055,,Transmission,Mk10,1,00:28:00 09-Feb-2017,00:28:40 09-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,00:28:40 09-Feb-2017,00:38:50 09-Feb-2017,Dive,1,Square,3.0,3.0,609,611,,
Green,162055,,Transmission,Mk10,1,00:38:50 09-Feb-2017,00:39:10 09-Feb-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,00:39:10 09-Feb-2017,00:49:00 09-Feb-2017,Dive,1,Square,2.5,2.5,589,591,,
Green,162055,,Transmission,Mk10,1,00:49:00 09-Feb-2017,00:49:30 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,00:49:30 09-Feb-2017,01:00:00 09-Feb-2017,Dive,1,Square,3.0,3.0,629,631,,
Green,162055,,Transmission,Mk10,1,01:00:00 09-Feb-2017,01:00:30 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,01:00:30 09-Feb-2017,01:01:50 09-Feb-2017,Dive,1,Square,2.5,2.5,79,81,,
Green,162055,,Transmission,Mk10,1,01:01:50 09-Feb-2017,01:02:00 09-Feb-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,01:02:00 09-Feb-2017,01:57:50 09-Feb-2017,Message,10,,,,3340.000000,3360.000000,,
Green,162055,,Transmission,Mk10,1,01:02:00 09-Feb-2017,01:13:40 09-Feb-2017,Dive,1,Square,3.0,3.0,699,701,,
Green,162055,,Transmission,Mk10,1,01:13:40 09-Feb-2017,01:14:10 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,01:14:10 09-Feb-2017,01:24:40 09-Feb-2017,Dive,1,Square,2.5,2.5,629,631,,
Green,162055,,Transmission,Mk10,1,01:24:40 09-Feb-2017,01:25:10 09-Feb-2017,Surface,,,,,29,31,20,10
Green,162055,,Transmission,Mk10,1,01:25:10 09-Feb-2017,01:36:20 09-Feb-2017,Dive,1,Square,3.0,3.0,669,671,,
Green,162055,,Transmission,Mk10,1,01:36:20 09-Feb-2017,01:36:50 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,01:36:50 09-Feb-2017,01:46:40 09-Feb-2017,Dive,1,Square,2.5,2.5,589,591,,
Green,162055,,Transmission,Mk10,1,01:46:40 09-Feb-2017,01:47:20 09-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,01:47:20 09-Feb-2017,01:57:20 09-Feb-2017,Dive,1,Square,3.0,3.0,599,601,,
Green,162055,,Transmission,Mk10,1,01:57:20 09-Feb-2017,01:57:50 09-Feb-2017,Surface,,,,,29,31,20,10
Green,162055,,Transmission,Mk10,1,09:09:00 09-Feb-2017,10:28:50 09-Feb-2017,Message,10,,,,4780.000000,4800.000000,,
Green,162055,,Transmission,Mk10,1,09:09:00 09-Feb-2017,09:20:30 09-Feb-2017,Dive,1,Square,2.5,2.5,689,691,,
Green,162055,,Transmission,Mk10,1,09:20:30 09-Feb-2017,09:21:00 09-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,09:21:00 09-Feb-2017,09:32:40 09-Feb-2017,Dive,1,Square,2.0,2.0,699,701,,
Green,162055,,Transmission,Mk10,1,09:32:40 09-Feb-2017,09:33:20 09-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,09:33:20 09-Feb-2017,09:59:20 09-Feb-2017,Dive,1,Square,2.5,2.5,1559,1561,,
Green,162055,,Transmission,Mk10,1,09:59:20 09-Feb-2017,10:00:00 09-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,10:00:00 09-Feb-2017,10:13:40 09-Feb-2017,Dive,1,Square,2.0,2.0,819,821,,
Green,162055,,Transmission,Mk10,1,10:13:40 09-Feb-2017,10:14:20 09-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,10:14:20 09-Feb-2017,10:28:30 09-Feb-2017,Dive,1,Square,2.5,2.5,849,851,,
Green,162055,,Transmission,Mk10,1,10:28:30 09-Feb-2017,10:28:50 09-Feb-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,04:42:00 10-Feb-2017,06:01:00 10-Feb-2017,Message,10,,,,4730.000000,4750.000000,,
Green,162055,,Transmission,Mk10,1,04:42:00 10-Feb-2017,04:56:50 10-Feb-2017,Dive,1,Square,3.0,3.0,889,891,,
Green,162055,,Transmission,Mk10,1,04:56:50 10-Feb-2017,04:57:10 10-Feb-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,04:57:10 10-Feb-2017,05:09:40 10-Feb-2017,Dive,1,Square,3.0,3.0,749,751,,
Green,162055,,Transmission,Mk10,1,05:09:40 10-Feb-2017,05:09:50 10-Feb-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,05:09:50 10-Feb-2017,05:25:40 10-Feb-2017,Dive,1,Square,3.0,3.0,949,951,,
Green,162055,,Transmission,Mk10,1,05:25:40 10-Feb-2017,05:26:10 10-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,05:26:10 10-Feb-2017,05:40:10 10-Feb-2017,Dive,1,Square,3.0,3.0,839,841,,
Green,162055,,Transmission,Mk10,1,05:40:10 10-Feb-2017,05:40:50 10-Feb-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,05:40:50 10-Feb-2017,06:00:20 10-Feb-2017,Dive,1,Square,3.0,3.0,1169,1171,,
Green,162055,,Transmission,Mk10,1,06:00:20 10-Feb-2017,06:01:00 10-Feb-2017,Surface,,,,,39,41,31,9
Green,162055,,Transmission,Mk10,1,06:00:00 10-Feb-2017,07:18:10 10-Feb-2017,Message,10,,,,4680.000000,4700.000000,,
Green,162055,,Transmission,Mk10,1,06:00:00 10-Feb-2017,06:15:00 10-Feb-2017,Dive,1,Square,3.0,3.0,899,901,,
Green,162055,,Transmission,Mk10,1,06:15:00 10-Feb-2017,06:15:40 10-Feb-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,06:15:40 10-Feb-2017,06:29:30 10-Feb-2017,Dive,1,Square,3.0,3.0,829,831,,
Green,162055,,Transmission,Mk10,1,06:29:30 10-Feb-2017,06:30:20 10-Feb-2017,Surface,,,,,49,51,50,0
Green,162055,,Transmission,Mk10,1,06:30:20 10-Feb-2017,06:46:20 10-Feb-2017,Dive,1,Square,2.5,2.5,959,961,,
Green,162055,,Transmission,Mk10,1,06:46:20 10-Feb-2017,06:46:50 10-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,06:46:50 10-Feb-2017,07:01:20 10-Feb-2017,Dive,1,Square,3.0,3.0,869,871,,
Green,162055,,Transmission,Mk10,1,07:01:20 10-Feb-2017,07:02:00 10-Feb-2017,Surface,,,,,39,41,40,0
Green,162055,,Transmission,Mk10,1,07:02:00 10-Feb-2017,07:17:40 10-Feb-2017,Dive,1,Square,3.0,3.0,939,941,,
Green,162055,,Transmission,Mk10,1,07:17:40 10-Feb-2017,07:18:10 10-Feb-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,11:18:00 11-Feb-2017,12:41:50 11-Feb-2017,Message,10,,,,5020.000000,5040.000000,,
Green,162055,,Transmission,Mk10,1,11:18:00 11-Feb-2017,11:37:30 11-Feb-2017,Dive,1,Square,2.5,2.5,1169,1171,,
Green,162055,,Transmission,Mk10,1,11:37:30 11-Feb-2017,11:38:10 11-Feb-2017,Surface,,,,,39,41,31,9
