DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
Green,162055,,Mk10,,,12:00:01 13-Feb-2017,,B,25.4084,-80.2970,CRC,0,0,,1192,3.568,1.024,0.220,21.80,0.5,2.0,0,,,,,,,,,,,255,19,255,78,16,,,,,,,406,29,,,,,
Green,162055,,Mk10,,,08:06:52 18-Feb-2017,,B,25.4113,-80.3071,CRC,0,0,,1960,3.632,1.024,0.180,22.10,0.5,2.0,0,,,,,,,,,,,123,19,255,78,16,,,,,,,455,61,,,,,
Green,162055,,Mk10,,,16:19:27 20-Feb-2017,,B,25.4160,-80.2964,CRC,0,0,,2408,3.568,1.024,0.184,24.70,1.0,2.0,0,,,,,,,,,,,101,18,255,75,16,,,,,,,476,74,,,,,
Green,162055,,Mk10,,00:05:07 21-Feb-2017,00:05:17 21-Feb-2017,10,B,25.4077,-80.3004,CRC,0,0,,,,1.016,0.184,,0.5,2.0,0,,,,,,,,,,,75,18,249,75,16,,,,,,,495,92,,,,,
Green,162055,,Mk10,,,15:49:33 26-Feb-2017,,B,25.4094,-80.2978,,0,0,,3560,3.504,1.024,0.236,23.30,0.0,4.0,0,,,,,,,,,,,,18,255,72,5471,,,,,,,,,,,,,
Green,162055,,Mk10,,,07:57:10 28-Feb-2017,,B,25.3405,-80.2138,CRC,0,0,,3880,3.568,1.024,0.216,24.50,1.0,4.0,0,,,,,,,,,,,106,18,237,68,16,,,,,,,555,125,,,,,
Green,162055,,Mk10,,00:21:20 02-Mar-2017,00:21:30 02-Mar-2017,10,B,25.4095,-80.2945,CRC,0,0,,,,1.024,0.188,,1.0,4.0,0,,,,,,,,,,,177,18,239,68,16,,,,,,,596,161,,,,,
Green,162055,,Mk10,,,10:05:33 07-Mar-2017,,B,25.3928,-80.3088,CRC,0,0,,5160,3.568,1.024,0.192,19.30,1.0,2.0,0,,,,,,,,,,,137,19,247,78,16,,,,,,,651,198,,,,,
Green,162055,,Mk10,,10:44:13 13-Mar-2017,10:44:24 13-Mar-2017,11,B,25.4056,-80.2944,CRC,0,0,,,,1.008,0.176,,1.0,4.0,0,,,,,,,,,,,120,18,231,68,16,,,,,,,711,237,,,,,
Green,162055,,Mk10,,,15:53:18 15-Mar-2017,,A,25.4068,-80.2987,,0,0,,6632,3.568,1.024,0.232,22.10,3.0,4.0,0,,,,,,,,,,,,17,243,64,24,,,,,,,,,,,,,
Green,162055,,Mk10,,11:25:14 16-Mar-2017,11:25:25 16-Mar-2017,11,B,25.4080,-80.2953,CRC,0,0,,,,1.024,0.172,,1.0,4.0,0,,,,,,,,,,,90,18,224,64,16,,,,,,,747,262,,,,,
Green,162055,,Mk10,,02:06:46 19-Mar-2017,02:06:57 19-Mar-2017,11,B,25.4027,-80.3094,CRC,0,0,,,,1.032,0.236,,1.0,4.0,0,,,,,,,,,,,72,19,218,66,16,,,,,,,776,283,,,,,
Green,162055,,Mk10,,01:05:54 20-Mar-2017,01:06:05 20-Mar-2017,11,B,25.4058,-80.3058,CRC,0,0,,,,1.024,0.196,,1.0,4.0,0,,,,,,,,,,,87,18,243,55,16,,,,,,,789,293,,,,,
Green,162055,,Mk10,,,16:06:59 31-Mar-2017,,B,25.4116,-80.2949,,0,0,,8744,3.504,1.392,0.220,25.50,14.0,280.0,-6,,,,,,,,,,,179,14,24,42,1272,,,,,,,53266,13145,,,,,
Green,162055,,Mk10,,,03:41:10 05-Apr-2017,,B,25.4090,-80.2977,CRC,0,0,,9960,3.504,1.024,0.236,27.10,1.0,4.0,0,,,,,,,,,,,90,16,226,60,16,,,,,,,938,385,,,,,
Green,162055,,Mk10,,,22:52:47 05-Apr-2017,,B,25.4089,-80.2971,CRC,0,0,,10216,3.568,1.016,0.228,27.90,1.5,4.0,0,,,,,,,,,,,123,16,226,60,16,,,,,,,953,397,,,,,
Green,162055,,Mk10,,02:41:14 08-Apr-2017,02:41:25 08-Apr-2017,11,B,25.4095,-80.2994,CRC,0,0,,,,1.024,0.200,,1.5,4.0,0,,,,,,,,,,,132,17,238,57,16,,,,,,,971,407,,,,,
Green,162055,,Mk10,,,02:17:58 09-Apr-2017,,B,25.4119,-80.3058,CRC,0,0,,10984,3.632,1.024,0.172,24.00,1.0,4.0,0,,,,,,,,,,,150,17,255,76,16,,,,,,,987,420,,,,,
Green,162055,,Mk10,,,12:16:13 09-Apr-2017,,B,25.4175,-80.2907,CRC,0,0,,11048,3.504,1.032,0.192,22.60,1.5,4.0,0,,,,,,,,,,,103,17,255,76,16,,,,,,,989,420,,,,,
Green,162055,,Mk10,,02:31:21 13-Apr-2017,02:31:33 13-Apr-2017,12,B,25.4076,-80.3012,CRC,0,0,,,,1.024,0.148,,1.0,4.0,0,,,,,,,,,,,122,17,232,66,16,,,,,,,1031,450,,,,,
Green,162055,,Mk10,,14:30:29 24-Apr-2017,14:30:41 24-Apr-2017,12,3,25.4081,-80.2997,CRC,0,0,,,,1.016,0.196,,1.5,4.0,0,,,,,,,,,,,67,17,211,67,16,,,,,,,1141,518,,,,,
Green,162055,,Mk10,,,12:22:11 25-Apr-2017,,1,25.4067,-80.2919,CRC,0,0,,14888,3.568,1.024,0.184,25.60,1.5,4.0,0,,,,,,,,,,,79,16,233,67,16,,,,,,,1152,526,,,,,
Green,162055,,Mk10,,14:10:03 25-Apr-2017,14:10:15 25-Apr-2017,12,A,25.4084,-80.3011,CRC,0,0,,,,1.016,0.160,,2.0,4.0,0,,,,,,,,,,,94,16,233,67,16,,,,,,,1154,527,,,,,
Green,162055,,Mk10,,,03:03:39 26-Apr-2017,,B,25.4097,-80.3042,,0,0,,15080,3.568,1.016,0.196,26.10,-11.0,-26.0,0,,,,,,,,,,,130,85,86,52,64516,,,,,,,,,,,,,
Green,162055,,Mk10,,,10:50:25 26-Apr-2017,,B,25.4125,-80.3006,CRC,0,0,,15144,3.568,1.016,0.160,25.40,1.5,4.0,0,,,,,,,,,,,164,16,255,61,16,,,,,,,1159,529,,,,,
Green,162055,,Mk10,,08:11:25 29-Apr-2017,08:11:37 29-Apr-2017,12,B,25.4082,-80.3039,CRC,0,0,,,,1.016,0.164,,1.0,4.0,0,,,,,,,,,,,84,16,205,60,16,,,,,,,1204,565,,,,,
Green,162055,,Mk10,,,21:14:41 29-Apr-2017,,3,25.4046,-80.2967,,0,0,,16040,3.568,1.280,0.184,28.70,58.5,1900.0,-17,,,,,,,,,,,,45,236,208,15095,,,,,,,,,,,,,
Green,162055,,Mk10,,,03:20:48 05-May-2017,,B,25.4132,-80.2969,CRC,0,0,,17192,3.568,1.016,0.256,29.10,1.5,4.0,0,,,,,,,,,,,117,16,252,62,16,,,,,,,1282,623,,,,,
