DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
162067,162067,,Transmission,Mk10,1,21:08:00 31-Jul-2016,00:43:20 01-Aug-2016,Message,10,,,,12910.000000,12930.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,21:08:00 31-Jul-2016,21:23:10 31-Jul-2016,Dive,1,Square,15.5,15.5,909,911,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,21:23:10 31-Jul-2016,21:23:30 31-Jul-2016,Surface,,,,,19,21,,,,,,,,,,,,,20,0
162067,162067,,Transmission,Mk10,1,21:23:30 31-Jul-2016,21:45:40 31-Jul-2016,Dive,1,Square,15.0,15.0,1329,1331,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,21:45:40 31-Jul-2016,21:46:20 31-Jul-2016,Surface,,,,,39,41,,,,,,,,,,,,,21,19
162067,162067,,Transmission,Mk10,1,21:46:20 31-Jul-2016,22:53:40 31-Jul-2016,Dive,1,Square,15.0,15.0,4039,4041,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,22:53:40 31-Jul-2016,22:53:50 31-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,22:53:50 31-Jul-2016,23:27:50 31-Jul-2016,Dive,1,Square,13.5,13.5,2039,2041,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,23:27:50 31-Jul-2016,23:28:00 31-Jul-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,23:28:00 31-Jul-2016,00:43:10 01-Aug-2016,Dive,1,Square,13.5,13.5,4509,4511,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,00:43:10 01-Aug-2016,00:43:20 01-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,04:22:00 01-Aug-2016,07:33:00 01-Aug-2016,Message,10,,,,11450.000000,11470.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,04:22:00 01-Aug-2016,04:23:30 01-Aug-2016,Surface,,,,,89,91,,,,,,,,,,,,,20,70
162067,162067,,Transmission,Mk10,1,04:23:30 01-Aug-2016,04:55:20 01-Aug-2016,Dive,1,Square,15.0,15.0,1909,1911,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,04:55:20 01-Aug-2016,04:55:30 01-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,04:55:30 01-Aug-2016,05:30:10 01-Aug-2016,Dive,1,Square,15.0,15.0,2079,2081,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,05:30:10 01-Aug-2016,05:30:30 01-Aug-2016,Surface,,,,,19,21,,,,,,,,,,,,,20,0
162067,162067,,Transmission,Mk10,1,05:30:30 01-Aug-2016,06:03:00 01-Aug-2016,Dive,1,Square,15.0,15.0,1949,1951,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,06:03:00 01-Aug-2016,06:03:30 01-Aug-2016,Surface,,,,,29,31,,,,,,,,,,,,,20,10
162067,162067,,Transmission,Mk10,1,06:03:30 01-Aug-2016,06:33:30 01-Aug-2016,Dive,1,Square,15.0,15.0,1799,1801,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,06:33:30 01-Aug-2016,06:34:00 01-Aug-2016,Surface,,,,,29,31,,,,,,,,,,,,,30,0
162067,162067,,Transmission,Mk10,1,06:34:00 01-Aug-2016,07:33:00 01-Aug-2016,Dive,1,Square,15.0,15.0,3539,3541,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,23:40:00 01-Aug-2016,03:14:10 02-Aug-2016,Message,9,,,,12841.000000,12859.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,23:40:00 01-Aug-2016,00:00:00 02-Aug-2016,Dive,1,Square,16.0,16.0,1199,1201,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,00:00:00 02-Aug-2016,00:00:10 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,00:00:10 02-Aug-2016,00:46:50 02-Aug-2016,Dive,1,Square,15.5,15.5,2799,2801,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,00:46:50 02-Aug-2016,00:47:00 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,00:47:00 02-Aug-2016,02:17:30 02-Aug-2016,Dive,1,Square,14.5,14.5,5429,5431,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,02:17:30 02-Aug-2016,02:17:40 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,02:17:40 02-Aug-2016,02:58:40 02-Aug-2016,Dive,1,Square,14.0,14.0,2459,2461,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,02:58:40 02-Aug-2016,02:58:50 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,02:58:50 02-Aug-2016,03:14:10 02-Aug-2016,Dive,1,Square,13.0,13.0,919,921,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,03:14:00 02-Aug-2016,06:11:20 02-Aug-2016,Message,9,,,,10631.000000,10649.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,03:14:00 02-Aug-2016,03:14:20 02-Aug-2016,Surface,,,,,19,21,,,,,,,,,,,,,20,0
162067,162067,,Transmission,Mk10,1,03:14:20 02-Aug-2016,04:04:40 02-Aug-2016,Dive,1,Square,13.5,13.5,3019,3021,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,04:04:40 02-Aug-2016,04:04:50 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,04:04:50 02-Aug-2016,04:40:20 02-Aug-2016,Dive,1,Square,12.0,12.0,2129,2131,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,04:40:20 02-Aug-2016,04:40:30 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,04:40:30 02-Aug-2016,05:07:40 02-Aug-2016,Dive,1,Square,13.5,13.5,1629,1631,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,05:07:40 02-Aug-2016,05:07:50 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,05:07:50 02-Aug-2016,06:10:20 02-Aug-2016,Dive,1,Square,13.5,13.5,3749,3751,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,06:10:20 02-Aug-2016,06:11:20 02-Aug-2016,Surface,,,,,59,61,,,,,,,,,,,,,50,10
162067,162067,,Transmission,Mk10,1,22:24:00 02-Aug-2016,01:17:50 03-Aug-2016,Message,9,,,,10421.000000,10439.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,22:24:00 02-Aug-2016,22:24:10 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,22:24:10 02-Aug-2016,23:33:30 02-Aug-2016,Dive,1,Square,15.5,15.5,4159,4161,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,23:33:30 02-Aug-2016,23:33:40 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,23:33:40 02-Aug-2016,23:41:10 02-Aug-2016,Dive,1,Square,3.5,3.5,449,451,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,23:41:10 02-Aug-2016,23:41:20 02-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,23:41:20 02-Aug-2016,00:34:50 03-Aug-2016,Dive,1,Square,16.0,16.0,3209,3211,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,00:34:50 03-Aug-2016,00:35:00 03-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,00:35:00 03-Aug-2016,01:17:20 03-Aug-2016,Dive,1,Square,14.5,14.5,2539,2541,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,01:17:20 03-Aug-2016,01:17:50 03-Aug-2016,Surface,,,,,29,31,,,,,,,,,,,,,30,0
162067,162067,,Transmission,Mk10,1,09:45:00 09-Aug-2016,16:14:20 09-Aug-2016,Message,9,,,,23351.000000,23369.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,09:45:00 09-Aug-2016,09:45:10 09-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,09:45:10 09-Aug-2016,11:34:10 09-Aug-2016,Dive,1,Square,6.0,6.0,6539,6541,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,11:34:10 09-Aug-2016,11:34:20 09-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,11:34:20 09-Aug-2016,15:36:30 09-Aug-2016,Dive,1,U,11.0,11.0,14529,14531,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,15:36:30 09-Aug-2016,15:36:40 09-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,15:36:40 09-Aug-2016,15:51:40 09-Aug-2016,Dive,1,V,10.0,10.0,899,901,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,15:51:40 09-Aug-2016,15:51:50 09-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,15:51:50 09-Aug-2016,16:14:10 09-Aug-2016,Dive,1,Square,11.0,11.0,1339,1341,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,16:14:10 09-Aug-2016,16:14:20 09-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,01:18:00 13-Aug-2016,09:34:30 13-Aug-2016,Message,9,,,,29781.000000,29799.000000,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,01:18:00 13-Aug-2016,01:18:10 13-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
162067,162067,,Transmission,Mk10,1,01:18:10 13-Aug-2016,03:53:00 13-Aug-2016,Dive,1,Square,8.5,8.5,9289,9291,,,,,,,,,,,,,,
162067,162067,,Transmission,Mk10,1,03:53:00 13-Aug-2016,03:53:10 13-Aug-2016,Surface,,,,,9,11,,,,,,,,,,,,,10,0
