DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
162069,162069,,Mk10,,15:05:27 06-May-2016,15:05:28 06-May-2016,1,3,47.6778,-122.1345,CRC,0,0,,,,1.000,0.112,,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:07:27 06-May-2016,15:07:28 06-May-2016,1,3,47.6778,-122.1345,CRC,0,0,,,,0.992,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:08:28 06-May-2016,,3,47.6778,-122.1345,CRC,0,0,,31,3.504,0.992,0.108,20.40,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:09:27 06-May-2016,15:09:28 06-May-2016,1,3,47.6778,-122.1345,CRC,0,0,,,,0.992,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:20:28 06-May-2016,,3,47.6765,-122.1337,CRC,1,0,,43,3.504,0.992,0.108,20.50,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:21:27 06-May-2016,15:21:28 06-May-2016,1,3,47.6765,-122.1337,CRC,1,0,,,,0.992,0.108,,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:22:28 06-May-2016,,3,47.6765,-122.1337,CRC,1,0,,45,3.504,0.992,0.108,20.50,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:23:27 06-May-2016,15:23:28 06-May-2016,1,3,47.6765,-122.1337,CRC,1,0,,,,0.992,0.108,,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:24:28 06-May-2016,,3,47.6765,-122.1337,CRC,1,0,,47,3.440,0.992,0.112,20.50,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:25:27 06-May-2016,15:25:28 06-May-2016,1,3,47.6765,-122.1337,CRC,1,0,,,,0.992,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:26:28 06-May-2016,,3,47.6765,-122.1337,CRC,1,0,,49,3.504,0.992,0.108,20.50,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,15:27:27 06-May-2016,15:27:28 06-May-2016,1,3,47.6765,-122.1337,CRC,1,0,,,,0.984,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,15:28:28 06-May-2016,,3,47.6765,-122.1337,CRC,1,0,,51,3.440,0.992,0.112,20.60,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,16:08:28 06-May-2016,,A,47.6764,-122.1354,CRC,1,0,,91,3.440,0.992,0.112,20.90,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,16:09:27 06-May-2016,16:09:28 06-May-2016,1,A,47.6764,-122.1354,CRC,1,0,,,,1.000,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,16:48:28 06-May-2016,,A,47.6763,-122.1278,CRC,1,0,,131,3.440,0.992,0.108,21.50,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:02:28 06-May-2016,,A,47.6776,-122.1380,CRC,1,0,,145,3.376,0.992,0.112,21.70,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:04:28 06-May-2016,,2,47.6762,-122.1338,CRC,1,0,,147,3.440,0.992,0.112,21.70,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:06:28 06-May-2016,,2,47.6762,-122.1338,CRC,1,0,,149,3.440,0.992,0.108,21.70,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,17:07:27 06-May-2016,17:07:28 06-May-2016,1,2,47.6762,-122.1338,CRC,1,0,,,,0.984,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,17:47:27 06-May-2016,17:47:28 06-May-2016,1,3,47.6773,-122.1384,CRC,1,0,,,,0.992,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:48:28 06-May-2016,,3,47.6773,-122.1384,CRC,1,0,,191,3.376,0.992,0.108,22.10,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,17:49:27 06-May-2016,17:49:28 06-May-2016,1,3,47.6773,-122.1384,CRC,1,0,,,,0.992,0.112,,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:50:28 06-May-2016,,3,47.6773,-122.1384,CRC,1,0,,193,3.376,0.992,0.108,22.20,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,17:51:27 06-May-2016,17:51:28 06-May-2016,1,3,47.6773,-122.1384,CRC,1,0,,,,0.992,0.112,,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,17:53:27 06-May-2016,17:53:28 06-May-2016,1,3,47.6773,-122.1384,CRC,1,0,,,,0.992,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,17:54:28 06-May-2016,,3,47.6773,-122.1384,CRC,1,0,,197,3.376,0.992,0.108,22.20,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,18:40:28 06-May-2016,,A,47.6771,-122.1355,CRC,1,0,,243,3.376,0.992,0.112,22.50,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,18:43:27 06-May-2016,18:43:28 06-May-2016,1,A,47.6771,-122.1355,CRC,1,0,,,,0.992,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,18:44:28 06-May-2016,,A,47.6771,-122.1355,CRC,1,0,,247,3.376,0.984,0.112,22.50,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,19:29:27 06-May-2016,19:29:28 06-May-2016,1,3,47.6776,-122.1352,CRC,1,0,,,,0.992,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,19:30:28 06-May-2016,,3,47.6776,-122.1352,CRC,1,0,,293,3.312,0.992,0.108,22.80,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,19:31:27 06-May-2016,19:31:28 06-May-2016,1,3,47.6776,-122.1352,CRC,1,0,,,,0.992,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,19:32:28 06-May-2016,,3,47.6776,-122.1352,CRC,1,0,,295,3.312,0.992,0.112,22.80,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,20:36:28 06-May-2016,,3,47.6771,-122.1364,CRC,1,0,,359,3.312,0.992,0.112,23.30,-1.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,20:37:27 06-May-2016,20:37:28 06-May-2016,1,3,47.6771,-122.1364,CRC,1,0,,,,0.992,0.112,,0.0,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,20:38:28 06-May-2016,,3,47.6771,-122.1364,CRC,1,0,,361,3.312,0.992,0.112,23.30,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,20:39:27 06-May-2016,20:39:28 06-May-2016,1,3,47.6771,-122.1364,CRC,1,0,,,,0.992,0.112,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,20:41:27 06-May-2016,20:41:28 06-May-2016,1,3,47.6771,-122.1364,CRC,1,0,,,,0.992,0.108,,-0.5,0.0,0,,,,,,,,,,,255,24,24,80,,,,,,,,,,
162069,162069,,Mk10,,,12:30:01 30-Jul-2016,,3,21.2205,-86.7300,CRC,0,0,,385,3.504,0.992,0.092,28.70,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,,12:31:29 30-Jul-2016,,3,21.2205,-86.7300,CRC,0,0,,387,3.504,0.992,0.092,28.80,1.0,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,12:32:09 30-Jul-2016,12:32:13 30-Jul-2016,4,3,21.2205,-86.7300,CRC,0,0,,,,0.992,0.088,,0.0,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,,12:32:57 30-Jul-2016,,3,21.2205,-86.7300,CRC,0,0,,389,3.504,0.992,0.092,28.80,1.0,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,12:33:37 30-Jul-2016,12:33:41 30-Jul-2016,4,3,21.2205,-86.7300,CRC,0,0,,,,0.992,0.092,,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,,12:34:25 30-Jul-2016,,3,21.2205,-86.7300,CRC,0,0,,391,3.504,0.992,0.092,28.90,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,,12:35:53 30-Jul-2016,,3,21.2205,-86.7300,CRC,0,0,,393,3.504,0.992,0.092,29.00,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,13:15:44 30-Jul-2016,13:15:48 30-Jul-2016,4,B,21.2213,-86.7297,CRC,1,0,,,,0.992,0.112,,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,,15:19:03 30-Jul-2016,,B,21.2017,-86.7340,CRC,0,0,,491,3.376,0.992,0.128,29.50,0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,15:20:34 30-Jul-2016,15:20:38 30-Jul-2016,4,B,21.2017,-86.7340,CRC,0,0,,,,0.992,0.108,,1.0,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,,,
162069,162069,,Mk10,,12:41:58 31-Jul-2016,12:42:02 31-Jul-2016,4,B,21.3100,-86.8139,CRC,0,0,,,,0.992,0.132,,0.5,10.0,0,,,,,,,,,,,110,16,255,80,16,,,,,,,,,
162069,162069,,Mk10,,,23:32:18 31-Jul-2016,,B,21.3073,-86.7893,CRC,0,0,,765,3.376,0.992,0.132,30.20,0.5,10.0,0,,,,,,,,,,,83,16,255,80,16,,,,,,,,,
162069,162069,,Mk10,,14:36:08 01-Aug-2016,14:36:12 01-Aug-2016,4,B,21.3153,-86.7923,CRC,0,0,,,,0.992,0.128,,0.5,10.0,0,,,,,,,,,,,122,16,255,80,16,,,,,,,,,
162069,162069,,Mk10,,07:21:21 12-Aug-2016,07:21:25 12-Aug-2016,4,B,21.2775,-86.7783,CRC,0,0,,,,0.992,0.144,,1.0,10.0,0,,,,,,,,,,,104,16,167,50,16,,,,,,,,,
162069,162069,,Mk10,,,11:33:50 15-Aug-2016,,B,21.2832,-86.7644,CRC,0,0,,3197,3.376,0.992,0.132,26.80,1.0,10.0,0,,,,,,,,,,,136,16,197,60,16,,,,,,,,,
162069,162069,,Mk10,,14:19:26 21-Aug-2016,14:19:30 21-Aug-2016,4,B,21.2735,-86.7628,CRC,0,0,,,,0.992,0.136,,1.0,10.0,0,,,,,,,,,,,75,15,163,50,16,,,,,,,,,
162069,162069,,Mk10,,23:17:50 29-Aug-2016,23:17:55 29-Aug-2016,5,B,21.3058,-86.7473,CRC,0,0,,,,0.992,0.160,,1.0,10.0,0,,,,,,,,,,,64,15,97,50,16,,,,,,,,,
162069,162069,,Mk10,,23:26:33 01-Sep-2016,23:26:38 01-Sep-2016,5,B,21.2812,-86.7721,CRC,0,0,,,,0.984,0.168,,1.0,10.0,0,,,,,,,,,,,58,15,101,50,16,,,,,,,,,
162069,162069,,Mk10,,,19:43:16 02-Sep-2016,,B,21.2819,-86.7625,CRC,0,0,,6461,3.376,0.992,0.148,28.70,1.0,10.0,0,,,,,,,,,,,76,16,98,50,16,,,,,,,,,
162069,162069,,Mk10,,,19:00:21 06-Sep-2016,,B,21.2906,-86.7514,,0,0,,7229,3.376,0.992,0.156,29.60,5.0,-6.0,0,,,,,,,,,,,,12,80,50,14065,,,,,,,,,
162069,162069,,Mk10,,11:27:28 08-Sep-2016,11:27:32 08-Sep-2016,4,B,21.2827,-86.7645,CRC,0,0,,,,1.000,0.152,,0.5,10.0,0,,,,,,,,,,,53,16,80,50,16,,,,,,,,,
162069,162069,,Mk10,,,14:53:54 08-Sep-2016,,B,21.2773,-86.7664,CRC,0,0,,7549,3.376,0.992,0.144,29.10,1.0,10.0,0,,,,,,,,,,,63,16,80,50,16,,,,,,,,,
