

; SN 128354 StartLat 29.94199944 StartLon -88.37701416 Time 06/04/2016 08:42:22 PTT 128354

Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
128354,02-Jun-2016,16:42:00,4,38.000000,42,3,0,5,,,,29.94199944,-88.37701416,,,15811.4,-1.2,,,,15,23,8075,,,,8,23174,,,,9,9564,,,,7,19980,,,,27,16045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,03-Jun-2016,05:28:49,4,38.000000,44,5,0,7,,,,33.59014511,-89.59309387,,3,4636.5,8.7,,,,15,29,1182,,,,15,3866,,,,13,21459,,,,20,1930,,,,21,27148,,,,18,30198,,,,2,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,04-Jun-2016,00:07:30,2,38.000000,47,5,0,8,28.64718628,-82.77401733,00:08:07.83 04-Jun-2016,28.64718628,-82.77401733,,,12.9,-0.2,,,,15,2,29878,,,,28,25501,,,,12,20967,,,,19,14992,,,,5,11484,,,,6,14611,,,,17,10512,,,,24,13548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,05-Jun-2016,07:36:22,1,38.000000,52,,0,8,28.70090485,-82.77249908,07:37:00.3199999 05-Jun-2016,28.70090485,-82.77249908,,,3.1,0.3,,,,15,18,3974,,,,21,17610,,,,10,25280,,,,15,9777,,,,27,22468,,,,24,26431,,,,20,5828,,,,14,10679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,05-Jun-2016,15:03:15,1,38.000000,53,11,0,8,28.68750381,-82.76062012,15:03:53.34 05-Jun-2016,28.68750381,-82.76062012,,1,11.4,0.3,,,,15,23,5731,,,,27,2394,,,,8,29021,,,,16,30284,,,,9,4336,,,,26,88,,,,3,2699,,,,4,27993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,06-Jun-2016,04:32:34,1,38.000000,55,15,0,7,28.67974281,-82.75010681,04:33:11.88 06-Jun-2016,28.67974281,-82.75010681,,,5.3,-0.1,,,,15,13,9334,,,,29,19350,,,,21,2914,,,,5,17453,,,,2,12301,,,,20,32049,,,,15,14646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,06-Jun-2016,12:12:53,1,38.000000,56,,0,8,28.67233658,-82.74275208,12:13:29.89 06-Jun-2016,28.67233658,-82.74275208,,1,8.4,-1.1,,,,15,26,24484,,,,4,26876,,,,22,32690,,,,3,13353,,,,14,14916,,,,16,22894,,,,25,31014,,,,31,20493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,07-Jun-2016,01:48:48,1,38.000000,58,,0,9,28.67700768,-82.74202728,01:49:25.4 07-Jun-2016,28.67700768,-82.74202728,,,12.0,-0.6,,,,15,5,27580,,,,2,6230,,,,19,12922,,,,20,25344,,,,12,10634,,,,9,18169,,,,25,31472,,,,6,7002,,,,29,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,08-Jun-2016,02:50:00,1,38.000000,62,,0,9,28.66259956,-82.74108887,02:50:36.91 08-Jun-2016,28.66259956,-82.74108887,,,13.0,-1.1,,,,15,5,31367,,,,13,28128,,,,12,31542,,,,20,1997,,,,2,19858,,,,19,1498,,,,25,2421,,,,29,5420,,,,15,15839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128354,08-Jun-2016,08:54:33,1,38.000000,63,25,0,7,28.65952301,-82.73465729,08:55:10.43 08-Jun-2016,28.65952301,-82.73465729,,,7.4,-0.6,,,,15,10,3088,,,,18,19806,,,,21,17320,,,,31,31342,,,,14,32442,,,,25,17903,,,,12,20652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
