Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
142708,1-Jun-16,16:53:00,3,12,30,5,0,7,,,,28.65454865,-82.71660614,,,5.8,-1.2,,,,15,27,5445,,,,8,31126,,,,9,12244,,,,23,29376,,,,7,8246,,,,16,31436,,,,30,27482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,2-Jun-16,20:40:13,1,12,34,,0,9,28.742939,-82.73578644,40:24.6,28.742939,-82.73578644,,,8,-0.4,,,,15,28,26466,,,,1,27534,,,,7,20303,,,,17,32199,,,,30,17324,,,,11,29826,,,,22,15992,,,,19,19185,,,,3,22426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,3-Jun-16,21:29:03,1,12,38,17,0,6,28.74696159,-82.72691345,29:14.1,28.74696159,-82.72691345,,,5,-0.8,,,,15,30,26299,,,,6,5023,,,,19,10024,,,,28,6324,,,,22,9152,,,,3,5934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,6-Jun-16,1:22:24,1,12,46,29,0,8,28.73881721,-82.73927307,22:35.1,28.73881721,-82.73927307,,,11.2,-0.8,,,,15,12,2801,,,,5,29299,,,,2,4350,,,,19,29026,,,,6,10490,,,,17,27672,,,,25,10342,,,,9,29719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,7-Jun-16,3:08:14,2,12,50,34,0,4,28.75499916,-82.78900146,6/7/16 12:33,28.74848747,-82.73545837,,,0.8,-0.3,,,,15,2,22500,,,,5,24564,,,,12,25916,,,,20,9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,7-Jun-16,9:16:05,4,12,51,34,0,6,28.76185799,-82.74172974,16:17.1,28.76185799,-82.74172974,,,6.2,0.1,,,,15,31,14976,,,,10,1450,,,,18,14259,,,,14,28751,,,,25,14300,,,,12,20941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,7-Jun-16,22:22:48,1,12,53,38,0,6,28.79709053,-82.91445923,22:59.8,28.79709053,-82.91445923,,,11.1,-0.2,,,,15,6,32507,,,,28,26959,,,,17,19606,,,,2,27792,,,,19,20294,,,,24,12212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,8-Jun-16,4:31:02,1,12,54,38,0,8,28.81247139,-82.94042206,31:12.7,28.81247139,-82.94042206,,,6.3,-1.3,,,,15,5,29921,,,,15,21250,,,,2,22770,,,,13,119,,,,20,29012,,,,21,21229,,,,29,11786,,,,18,5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,8-Jun-16,19:03:06,1,12,56,46,0,7,28.8147068,-82.91104889,03:16.7,28.8147068,-82.91104889,,,4.8,-1.3,,,,15,11,17777,,,,17,16492,,,,30,18023,,,,7,21694,,,,1,17624,,,,8,29033,,,,28,6345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,10-Jun-16,14:41:42,1,12,63,50,0,8,28.73005676,-82.9108429,41:53.2,28.73005676,-82.9108429,,,8,-0.8,,,,15,23,25886,,,,27,20632,,,,3,30765,,,,9,25380,,,,16,24234,,,,22,10324,,,,26,29168,,,,31,17111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,11-Jun-16,9:59:46,1,12,66,54,0,4,28.73500061,-82.89599609,6/11/16 11:47,,,,,,,,,,15,10,28060,,,,31,3040,,,,25,30798,,,,4,10806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,11-Jun-16,16:34:25,1,12,67,56,0,7,28.73019218,-82.91397858,34:35.8,28.73019409,-82.91397858,,,11,-1.2,,,,15,8,2453,,,,27,11380,,,,9,1314,,,,23,1238,,,,11,12283,,,,7,10661,,,,30,8174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142708,11-Jun-16,22:53:40,1,12,68,57,0,7,28.73057365,-82.91584778,53:51.3,28.73057365,-82.91584778,,,14,-0.7,,,,15,6,868,,,,19,28978,,,,17,21944,,,,2,8436,,,,12,26880,,,,28,14636,,,,24,12634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
