Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
128352,17-Jun-14,15:24:00,14,9,31,2,0,7,,,,28.65098,-82.72148895,,,4.9,0,,,,15,31,15489,,,,3,14314,,,,16,1100,,,,20,26346,,,,19,23038,,,,27,8798,,,,14,24156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,18-Jun-14,3:27:21,2,9,33,2,0,8,28.6719799,-82.69878387,27:29.9,28.6719799,-82.69878387,,,11.4,-0.1,,,,15,12,28634,,,,5,23504,,,,26,2383,,,,25,24321,,,,2,20932,,,,15,107,,,,29,44,,,,4,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,18-Jun-14,9:29:19,2,9,34,2,0,7,28.67181396,-82.7024231,29:28.4,28.67181396,-82.7024231,,,9.5,0.5,,,,15,21,19882,,,,18,30820,,,,22,22364,,,,14,10921,,,,12,2075,,,,24,30453,,,,25,22303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,18-Jun-14,15:31:37,2,9,35,,0,8,28.671278,-82.72829437,31:45.9,28.671278,-82.72829437,,,8.9,-0.1,,,,15,23,32036,,,,31,31891,,,,16,5827,,,,27,26898,,,,13,12366,,,,20,13656,,,,3,10401,,,,19,17745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,19-Jun-14,3:34:29,1,9,37,2,0,8,28.67195892,-82.75157166,34:38.5,28.67195892,-82.75157166,,,5.3,0.5,,,,15,12,2956,,,,5,23280,,,,26,21730,,,,29,15948,,,,10,13271,,,,25,25344,,,,2,18522,,,,6,21249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,19-Jun-14,15:35:30,2,9,39,2,0,7,28.66469193,-82.73504639,35:39.5,28.66469193,-82.73504639,,,5.5,0.5,,,,15,20,22125,,,,16,25073,,,,13,6011,,,,23,15466,,,,27,14144,,,,3,5980,,,,31,7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,20-Jun-14,16:12:02,1,9,43,4,0,7,28.66443062,-82.73537445,12:11.5,28.66443062,-82.73537445,,,8.5,0.5,,,,15,23,4690,,,,16,21881,,,,13,32014,,,,3,7612,,,,31,13550,,,,20,10528,,,,27,23221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,21-Jun-14,4:44:44,1,9,45,6,0,6,28.66413689,-82.75063324,6/21/14 4:44,28.66413689,-82.75063324,,,12.1,,,,,15,26,11194,,,,2,24021,,,,15,14077,,,,29,32616,,,,5,10336,,,,12,22935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,22-Jun-14,6:15:28,1,10,49,11,0,4,28.68199921,-82.72900391,6/22/14 10:18,28.67454147,-82.72983551,,,0.5,-0.2,,,,15,15,11470,,,,18,29546,,,,29,13486,,,,21,7331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128352,22-Jun-14,12:21:55,1,9,50,11,0,4,28.68199921,-82.72900391,6/22/14 10:18,28.68484306,-82.71180725,,,0.4,0.5,,,,15,31,9653,,,,14,2256,,,,22,23105,,,,25,3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
