Region,ID,CCL,Life stage,Start,End,Duration,N
GoM,104833,41.7,Juv,2011-10-22,2011-11-26,35,116
GoM,128352,51.9,Juv,2014-06-17,2015-06-29,377,3193
GoM,128355,62.3,Juv,2014-06-18,2014-08-14,57,955
GoM,132008,65.5,Juv,2014-06-18,2014-07-10,22,244
GoM,132010,49.7,Juv,2014-06-18,2014-10-29,133,2386
GoM,142699,66.8,Juv,2014-09-17,2017-06-08,995,97
GoM,142700,54.9,Juv,2014-09-17,2017-07-26,1043,1011
GoM,142708,61,Juv,2014-09-17,2016-08-04,687,1136
GoM,142710,62.5,Juv,2014-09-18,2015-09-06,353,1062
GoM,161459,95.6,Adult,2016-03-31,2017-10-11,559,758
GoM,159774,37.8,Juv,2016-05-02,2016-09-16,137,678
GoM,159776,34.6,Juv,2016-05-02,2016-08-26,116,1041
GoM,159778,34.3,Juv,2016-05-02,2016-05-18,16,164
GoM,159781,35.3,Juv,2016-05-02,2016-09-26,147,607
GoM,159783,34.9,Juv,2016-05-02,2016-06-28,57,60
GoM,162066,106.2,Adult,2016-05-06,2016-11-13,191,735
GoM,162067,91.5,Adult,2016-05-06,2016-10-07,154,655
GoM,162068,96.5,Adult,2016-05-06,2016-08-29,115,255
GoM,162069,95.2,Adult,2016-05-06,2016-09-15,132,605
GoM,142703,96.5,Adult,2016-06-23,2016-09-23,92,552
GoM,142713,94.5,Adult,2016-07-29,2016-09-17,50,655
GoM,142702,106.3,Adult,2016-07-30,2016-09-27,59,699
GoM,162661,90.5,Adult,2016-07-30,2016-10-19,81,832
GoM,142698,54.8,Juv,2017-02-08,2017-05-25,106,1316
GoM,142706,64.7,Juv,2017-02-08,2017-05-29,110,1616
GoM,162055,38,Juv,2017-02-09,2017-05-21,101,1286
GoM,169268,41.9,Juv,2017-04-26,2017-10-02,159,1193
GoM,169270,56.2,Juv,2017-04-26,2017-11-06,194,1262
GoM,169271,42.6,Juv,2017-04-26,2017-12-25,243,1676
GoM,169272,41,Juv,2017-04-26,2017-08-12,108,660
GoM,169273,40,Juv,2017-04-26,2017-09-11,138,1046
GoM,169274,54.1,Juv,2017-04-26,2017-05-24,28,139
GoM,169267,59.1,Juv,2017-04-27,2017-07-17,81,356
GoM,169269,53.2,Juv,2017-04-27,2017-06-26,60,101
GoM,142658,41.5,Juv,2017-06-10,2018-03-10,273,538
GoM,142659,37.9,Juv,2017-06-12,2018-07-03,386,1514
GoM,161466,106,Adult,2017-07-18,2017-08-31,44,438
GoM,172677,83.5,Adult,2017-10-30,2019-09-19,689,1292
GoM,175692,95.3,Adult,2018-04-30,2020-01-16,626,2161
GoM,172678,54.5,Juv,2018-07-16,2018-11-21,128,1276
GoM,181803,102.7,Adult,2019-07-06,2019-09-28,84,1403
GoM,181806,106.7,Adult,2019-07-06,2019-10-20,106,1727
GoM,181802,101.4,Adult,2019-07-09,2019-12-21,165,2270
GoM,181807,101,Adult,2019-07-09,2020-01-16,191,2531
GoM,181790,42,Juv,2019-10-14,2020-03-03,141,1029
GoM,181796,104.5,Adult,2020-06-29,2020-09-22,85,640
GoM,181800,95.5,Adult,2020-07-14,2020-10-09,87,953
GoM,181805,91,Adult,2020-07-17,2020-08-16,30,356
GoM,181798,101.8,Adult,2020-07-25,2020-09-12,49,495
GoM,181797,101.9,Adult,2020-07-26,2020-08-15,20,271
Brazil,160104,42.2,Juv,2016-05-20,2016-12-05,199,1834
Brazil,160105_1,36.5,Juv,2016-05-21,2016-08-02,73,289
Brazil,160106,34.5,Juv,2016-05-24,2016-10-18,147,1594
Brazil,160108,34.8,Juv,2016-05-26,2017-05-06,345,2101
Brazil,160107,31.3,Juv,2016-05-27,2016-09-05,101,613
Brazil,161644,39.2,Juv,2016-09-28,2017-02-21,146,41
Brazil,161642,30,Juv,2016-09-29,2016-12-11,73,807
Brazil,165364,41.1,Juv,2016-09-29,2016-12-15,77,846
Brazil,161641,39.4,Juv,2016-10-01,2016-12-16,76,389
Brazil,165366,37.4,Juv,2016-10-03,2016-12-12,70,553
Brazil,161640,36.4,Juv,2017-02-17,2017-03-27,38,393
Brazil,165365,39.7,Juv,2017-02-17,2017-03-22,33,396
Brazil,165367,38.5,Juv,2017-02-23,2017-05-11,77,741
Brazil,161639,44.2,Juv,2017-03-21,2017-04-15,25,60
Brazil,161643,41,Juv,2017-03-21,2017-06-03,74,320
Brazil,161638,40.2,Juv,2018-03-09,2018-05-28,80,533
Brazil,160105_2,NA,Juv,2018-03-14,2018-07-22,130,1113
Brazil,181925,34.8,Juv,2019-08-30,2020-02-04,158,1130
Brazil,181926,36.5,Juv,2019-08-30,2020-02-05,159,1367
Brazil,195967,106,Adult,2019-12-05,2020-02-20,77,1972
Brazil,205537,104.4,Adult,2020-12-02,2021-06-08,188,4765
Brazil,205538,99.2,Adult,2020-12-02,2021-02-10,70,1627
Brazil,205539,101.3,Adult,2020-12-29,2021-04-04,96,2314
Brazil,205540,103.4,Adult,2021-01-03,2021-05-09,126,3213
Brazil,205541,100,Adult,2021-01-03,2021-08-24,233,4163
Brazil,205542,102.8,Adult,2021-01-11,2021-07-17,187,4151
Brazil,205543,101.5,Adult,2021-01-11,2021-03-27,75,1959
Brazil,205544,102.1,Adult,2021-01-11,2021-05-04,113,1976
Brazil,41587,106,Adult,2021-12-07,2022-07-29,234,2847
Brazil,41588,98,Adult,2021-12-07,2022-04-22,136,876
Brazil,41614,92,Adult,2021-12-08,2022-04-29,142,1871
Brazil,226067,96,Adult,2021-12-26,2022-04-13,108,2139
Brazil,226068,93,Adult,2021-12-26,2022-05-15,140,3715
Brazil,226069,108.3,Adult,2022-01-11,2022-07-29,199,4404
Brazil,226070,103.2,Adult,2022-01-14,2022-05-19,125,3127
Brazil,226071,102.5,Adult,2022-01-14,2022-06-05,142,3262
Brazil,226072,103.5,Adult,2022-01-20,2022-07-17,178,3150
Brazil,226066,108.1,Adult,2022-01-29,2022-07-04,156,4017
Brazil,226073,104.7,Adult,2022-01-29,2022-06-06,128,3838
Qatar,135135,NA,Juv,2014-02-22,2014-04-15,52,241
Qatar,135139,NA,Juv,2014-02-22,2014-06-13,111,380
Qatar,135131,35.1,Juv,2014-03-07,2014-04-18,42,45
