Source,Ptt,Region,Age
Fuentes,159774,GoM,Juv
Fuentes,159776,GoM,Juv
Fuentes,159778,GoM,Juv
Fuentes,159781,GoM,Juv
Fuentes,159783,GoM,Juv
Fuentes,169267,GoM,Juv
Fuentes,169268,GoM,Juv
Fuentes,169269,GoM,Juv
Fuentes,169270,GoM,Juv
Fuentes,169271,GoM,Juv
Fuentes,169272,GoM,Juv
Fuentes,169273,GoM,Juv
Fuentes,169274,GoM,Juv
Fuentes,160104,Brazil,Juv
Fuentes,160105_1,Brazil,Juv
Fuentes,160105_2,Brazil,Juv
Fuentes,160106,Brazil,Juv
Fuentes,160107,Brazil,Juv
Fuentes,160108,Brazil,Juv
Fuentes,195967,Brazil,Adult
Fuentes,205537,Brazil,Adult
Fuentes,205538,Brazil,Adult
Fuentes,205539,Brazil,Adult
Fuentes,205540,Brazil,Adult
Fuentes,205541,Brazil,Adult
Fuentes,205542,Brazil,Adult
Fuentes,205543,Brazil,Adult
Fuentes,205544,Brazil,Adult
Fuentes,226066,Brazil,Adult
Fuentes,226067,Brazil,Adult
Fuentes,226068,Brazil,Adult
Fuentes,226069,Brazil,Adult
Fuentes,226070,Brazil,Adult
Fuentes,226071,Brazil,Adult
Fuentes,226072,Brazil,Adult
Fuentes,226073,Brazil,Adult
Fuentes,41587,Brazil,Adult
Fuentes,41588,Brazil,Adult
Fuentes,41614,Brazil,Adult
Lamont,104833,GoM,Juv
Lamont,142658,GoM,Juv
Lamont,142659,GoM,Juv
Lamont,161459,GoM,Adult
Lamont,161466,GoM,Adult
Lamont,172677,GoM,Adult
Lamont,172678,GoM,Juv
Lamont,175692,GoM,Adult
Lamont,181790,GoM,Juv
Lamont,181796,GoM,Adult
Lamont,181797,GoM,Adult
Lamont,181798,GoM,Adult
Lamont,181800,GoM,Adult
Lamont,181802,GoM,Adult
Lamont,181803,GoM,Adult
Lamont,181805,GoM,Adult
Lamont,181806,GoM,Adult
Lamont,181807,GoM,Adult
Marshall,135131,Qatar,Juv
Marshall,135132,Qatar,Juv
Marshall,135133,Qatar,Juv
Marshall,135134,Qatar,Juv
Marshall,135135,Qatar,Juv
Marshall,135136,Qatar,Juv
Marshall,135138,Qatar,Juv
Marshall,135139,Qatar,Juv
Marshall,144320,Qatar,Juv
Marshall,144321,Qatar,Juv
Sasso,128352,GoM,Juv
Sasso,128355,GoM,Juv
Sasso,132008,GoM,Juv
Sasso,132010,GoM,Juv
Sasso,142698,GoM,Juv
Sasso,142699,GoM,Juv
Sasso,142700,GoM,Juv
Sasso,142702,GoM,Adult
Sasso,142703,GoM,Adult
Sasso,142706,GoM,Juv
Sasso,142708,GoM,Juv
Sasso,142710,GoM,Juv
Sasso,142713,GoM,Adult
Sasso,162055,GoM,Juv
Sasso,162066,GoM,Adult
Sasso,162067,GoM,Adult
Sasso,162068,GoM,Adult
Sasso,162069,GoM,Adult
Sasso,162661,GoM,Adult
Domit,161638,Brazil,Juv
Domit,161639,Brazil,Juv
Domit,161640,Brazil,Juv
Domit,161641,Brazil,Juv
Domit,161642,Brazil,Juv
Domit,161643,Brazil,Juv
Domit,161644,Brazil,Juv
Domit,165364,Brazil,Juv
Domit,165365,Brazil,Juv
Domit,165366,Brazil,Juv
Domit,165367,Brazil,Juv
Domit,181925,Brazil,Juv
Domit,181926,Brazil,Juv
